Format Version,1.23,Take Name,Werikson_IC_Gesto_A_1,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.16.26.467 ,Total Frames in Take,1697,Total Exported Frames,1697,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gestos:Head,Gestos:Head,Gestos:Head,Gestos:Left,Gestos:Left,Gestos:Left,Gestos:Right,Gestos:Right,Gestos:Right
,ID,"7E392F0D89DF11EC7399F96A6AD6E099","7E392F0D89DF11EC7399F96A6AD6E099","7E392F0D89DF11EC7399F96A6AD6E099","7E392F0E89DF11EC7399F96A6AD6E099","7E392F0E89DF11EC7399F96A6AD6E099","7E392F0E89DF11EC7399F96A6AD6E099","7E392F0F89DF11EC7399F96A6AD6E099","7E392F0F89DF11EC7399F96A6AD6E099","7E392F0F89DF11EC7399F96A6AD6E099"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.198343,1.705255,0.069830,0.190933,0.916976,0.026056,-0.317228,0.894876,-0.042078
1,0.004167,-0.198357,1.705277,0.069810,0.190345,0.916720,0.025566,-0.317234,0.894845,-0.042032
2,0.008333,-0.198372,1.705289,0.069803,0.189677,0.916788,0.025963,-0.317240,0.894814,-0.041986
3,0.012500,-0.198389,1.705314,0.069774,0.189080,0.917343,0.026725,-0.317253,0.894788,-0.041939
4,0.016667,-0.198391,1.705298,0.069755,0.188414,0.917351,0.026939,-0.317278,0.894768,-0.041888
5,0.020833,-0.198418,1.705323,0.069736,0.187724,0.916973,0.027320,-0.317310,0.894753,-0.041836
6,0.025000,-0.198412,1.705317,0.069691,0.187211,0.917055,0.027468,-0.317334,0.894734,-0.041788
7,0.029167,-0.198428,1.705338,0.069690,0.186513,0.917148,0.027885,-0.317356,0.894718,-0.041745
8,0.033333,-0.198441,1.705343,0.069661,0.185820,0.917201,0.028164,-0.317379,0.894706,-0.041702
9,0.037500,-0.198461,1.705365,0.069648,0.185292,0.917239,0.028397,-0.317392,0.894693,-0.041666
10,0.041667,-0.198517,1.705430,0.069662,0.184552,0.917182,0.028368,-0.317394,0.894672,-0.041633
11,0.045833,-0.198472,1.705389,0.069609,0.184093,0.917179,0.028519,-0.317394,0.894647,-0.041604
12,0.050000,-0.198560,1.705463,0.069641,0.183454,0.917077,0.028929,-0.317407,0.894626,-0.041575
13,0.054167,-0.198566,1.705463,0.069593,0.182686,0.916937,0.029044,-0.317421,0.894603,-0.041544
14,0.058333,-0.198587,1.705489,0.069583,0.182071,0.917660,0.029732,-0.317426,0.894577,-0.041512
15,0.062500,-0.198594,1.705497,0.069570,0.181537,0.917714,0.029964,-0.317432,0.894553,-0.041482
16,0.066667,-0.198222,1.705242,0.069263,0.180929,0.917716,0.030190,-0.317449,0.894533,-0.041457
17,0.070833,-0.198639,1.705513,0.069206,0.180202,0.917831,0.030672,-0.317462,0.894530,-0.041432
18,0.075000,-0.198639,1.705510,0.069179,0.179603,0.917991,0.030937,-0.317460,0.894539,-0.041402
19,0.079167,-0.198663,1.705520,0.069158,0.178897,0.917633,0.031408,-0.317488,0.894494,-0.041378
20,0.083333,-0.198650,1.705517,0.069148,0.178151,0.917599,0.031273,-0.317564,0.894375,-0.041367
21,0.087500,-0.198657,1.705521,0.069117,0.177350,0.917321,0.030962,-0.317651,0.894242,-0.041358
22,0.091667,-0.198665,1.705538,0.069115,0.176632,0.917450,0.031437,-0.317686,0.894197,-0.041335
23,0.095833,-0.198664,1.705539,0.069092,0.176097,0.917501,0.031724,-0.317695,0.894212,-0.041305
24,0.100000,-0.198694,1.705559,0.069089,0.175440,0.917567,0.032022,-0.317726,0.894205,-0.041281
25,0.104167,-0.198692,1.705559,0.069065,0.174989,0.917589,0.032260,-0.317749,0.894193,-0.041262
