Format Version,1.23,Take Name,Werikson_IC_Gesto_B,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.21.22.268 ,Total Frames in Take,1595,Total Exported Frames,1595,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right,Gesture:Teste1,Gesture:Teste1,Gesture:Teste1
,ID,"67186D7C94E311EC6E30FC7E4D48E899","67186D7C94E311EC6E30FC7E4D48E899","67186D7C94E311EC6E30FC7E4D48E899","67186D7E94E311EC6E30FC7E4D48E899","67186D7E94E311EC6E30FC7E4D48E899","67186D7E94E311EC6E30FC7E4D48E899","67186D8094E311EC6E30FC7E4D48E899","67186D8094E311EC6E30FC7E4D48E899","67186D8094E311EC6E30FC7E4D48E899","9B37ADC794E311EC6E30FC7E4D48E899","9B37ADC794E311EC6E30FC7E4D48E899","9B37ADC794E311EC6E30FC7E4D48E899"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.090868,1.707293,-0.122562,0.420986,0.901178,-0.190286,-0.155528,0.896911,-0.248563,,,
1,0.004167,0.090861,1.707263,-0.122527,0.421017,0.901178,-0.190228,-0.155522,0.896887,-0.248598,,,
2,0.008333,0.090877,1.707241,-0.122206,0.421057,0.901200,-0.190173,-0.155512,0.896881,-0.248619,,,
3,0.012500,0.090864,1.707239,-0.122173,0.421099,0.901216,-0.190114,-0.155512,0.896865,-0.248647,,,
4,0.016667,0.090855,1.707209,-0.122151,0.421213,0.901113,-0.190056,-0.155494,0.896850,-0.248660,,,
5,0.020833,0.090833,1.707192,-0.122128,0.421231,0.901129,-0.189995,-0.155500,0.896849,-0.248678,,,
6,0.025000,0.090818,1.707181,-0.122101,0.421265,0.901135,-0.189937,-0.155515,0.896843,-0.248696,,,
7,0.029167,0.090799,1.707165,-0.122070,0.421298,0.901141,-0.189881,-0.155512,0.896831,-0.248704,,,
8,0.033333,0.090789,1.707162,-0.122033,0.421331,0.901148,-0.189818,-0.155513,0.896820,-0.248705,,,
9,0.037500,0.090762,1.707147,-0.122021,0.421348,0.901160,-0.189748,-0.155508,0.896807,-0.248717,,,
10,0.041667,0.090740,1.707142,-0.121994,0.421374,0.901181,-0.189691,-0.155515,0.896809,-0.248713,,,
