Format Version,1.23,Take Name,Werikson_IC_Gesto_B_002,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.22.31.514 ,Total Frames in Take,1768,Total Exported Frames,1768,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"32C49953958A11EC6E30FC7E4D48E999","32C49953958A11EC6E30FC7E4D48E999","32C49953958A11EC6E30FC7E4D48E999","32C49955958A11EC6E30FC7E4D48E999","32C49955958A11EC6E30FC7E4D48E999","32C49955958A11EC6E30FC7E4D48E999","32C49957958A11EC6E30FC7E4D48E999","32C49957958A11EC6E30FC7E4D48E999","32C49957958A11EC6E30FC7E4D48E999"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.060945,1.716113,-0.170812,0.416072,0.909399,-0.235007,-0.166720,0.900559,-0.287983
1,0.004167,0.060957,1.716114,-0.170779,0.416036,0.909396,-0.235001,-0.166769,0.900581,-0.287961
2,0.008333,0.060954,1.716113,-0.170737,0.415838,0.908820,-0.235475,-0.166769,0.900560,-0.287932
3,0.012500,0.060971,1.716112,-0.170694,0.415946,0.909345,-0.234982,-0.166868,0.900611,-0.287952
4,0.016667,0.060976,1.716097,-0.170644,0.415757,0.908772,-0.235457,-0.166927,0.900640,-0.287915
5,0.020833,0.060974,1.716103,-0.170605,0.415863,0.909308,-0.234959,-0.166972,0.900648,-0.287915
6,0.025000,0.060708,1.716112,-0.170118,0.415673,0.908730,-0.235440,-0.167018,0.900653,-0.287905
7,0.029167,0.060725,1.716104,-0.170076,0.415769,0.909244,-0.234960,-0.167130,0.900571,-0.287927
8,0.033333,0.060721,1.716099,-0.170043,0.415744,0.909238,-0.234946,-0.167193,0.900580,-0.287916
9,0.037500,0.060718,1.716100,-0.169997,0.415700,0.909215,-0.234936,-0.167187,0.900551,-0.287889
10,0.041667,0.060709,1.716092,-0.169967,0.415657,0.909185,-0.234927,-0.167298,0.900573,-0.287809
11,0.045833,0.060724,1.716093,-0.169931,0.415609,0.909166,-0.234917,-0.167283,0.900571,-0.287882
12,0.050000,0.060723,1.716105,-0.169893,0.415565,0.909138,-0.234918,-0.167458,0.900635,-0.287824
13,0.054167,0.060648,1.715984,-0.169848,0.415522,0.909114,-0.234917,-0.167446,0.900603,-0.287809
14,0.058333,0.060721,1.716100,-0.169816,0.415495,0.909104,-0.234904,-0.167485,0.900614,-0.287805
15,0.062500,0.060647,1.715985,-0.169791,0.415440,0.909072,-0.234901,-0.167539,0.900620,-0.287805
16,0.066667,0.060637,1.715985,-0.169760,0.415411,0.909067,-0.234888,-0.167585,0.900641,-0.287797
17,0.070833,0.060634,1.715977,-0.169713,0.415403,0.908968,-0.235005,-0.167623,0.900644,-0.287809
18,0.075000,0.060627,1.715986,-0.169679,0.415349,0.908954,-0.234999,-0.167669,0.900662,-0.287813
19,0.079167,0.060622,1.715980,-0.169647,0.415323,0.908938,-0.234982,-0.167721,0.900668,-0.287816
20,0.083333,0.060638,1.715982,-0.169610,0.415281,0.908920,-0.234983,-0.167753,0.900678,-0.287829
21,0.087500,0.060628,1.715981,-0.169560,0.415243,0.908902,-0.234974,-0.167796,0.900691,-0.287834
22,0.091667,0.060624,1.715981,-0.169523,0.415205,0.908880,-0.234972,-0.167837,0.900695,-0.287832
23,0.095833,0.060620,1.715971,-0.169486,0.415177,0.908865,-0.234956,-0.168015,0.900646,-0.287697
24,0.100000,0.060632,1.715966,-0.169449,0.415128,0.908846,-0.234949,-0.168057,0.900651,-0.287691
25,0.104167,0.060628,1.715977,-0.169402,0.415099,0.908833,-0.234949,-0.167783,0.900182,-0.287226
26,0.108333,0.060602,1.715992,-0.169158,0.415069,0.908821,-0.234932,-0.167690,0.900222,-0.287287
27,0.112500,0.060598,1.715983,-0.169124,0.414934,0.908736,-0.234849,-0.167857,0.900203,-0.287239
28,0.116667,0.060596,1.715977,-0.169084,0.414754,0.908170,-0.235311,-0.168356,0.900780,-0.288012
29,0.120833,0.060594,1.715967,-0.169032,0.414879,0.908704,-0.234826,-0.168392,0.900788,-0.288009
30,0.125000,0.060597,1.715960,-0.168994,0.414840,0.908680,-0.234812,-0.168422,0.900787,-0.288017
31,0.129167,0.060603,1.715944,-0.168942,0.414657,0.908110,-0.235284,-0.168458,0.900803,-0.288015
32,0.133333,0.060597,1.715933,-0.168910,0.414568,0.908558,-0.234837,-0.168485,0.900804,-0.288020
33,0.137500,0.060601,1.715911,-0.168858,0.414748,0.908629,-0.234784,-0.168519,0.900811,-0.288013
34,0.141667,0.060597,1.715902,-0.168815,0.414724,0.908613,-0.234778,-0.168553,0.900809,-0.288019
35,0.145833,0.060587,1.715886,-0.168761,0.414204,0.908283,-0.235112,-0.168584,0.900817,-0.288019
36,0.150000,0.060593,1.715868,-0.168710,0.414455,0.908482,-0.234802,-0.168617,0.900819,-0.288018
37,0.154167,0.060587,1.715847,-0.168668,0.414428,0.908471,-0.234777,-0.168644,0.900830,-0.288010
38,0.158333,0.060593,1.715834,-0.168619,0.414129,0.908227,-0.235086,-0.168664,0.900826,-0.288011
39,0.162500,0.060590,1.715816,-0.168559,0.414108,0.908210,-0.235068,-0.168691,0.900823,-0.288005
40,0.166667,0.060592,1.715807,-0.168505,0.414087,0.908187,-0.235066,-0.168729,0.900835,-0.287997
41,0.170833,0.060602,1.715783,-0.168436,0.414059,0.908175,-0.235045,-0.168753,0.900833,-0.287999
42,0.175000,0.060604,1.715758,-0.168382,0.414035,0.908152,-0.235037,-0.168780,0.900833,-0.287988
43,0.179167,0.060591,1.715747,-0.168323,0.414028,0.908152,-0.235027,-0.168805,0.900834,-0.287977
44,0.183333,0.060621,1.715741,-0.168259,0.414003,0.908129,-0.235009,-0.168846,0.900840,-0.288143
45,0.187500,0.060637,1.715711,-0.167954,0.413973,0.908110,-0.235004,-0.168846,0.900846,-0.287958
46,0.191667,0.060651,1.715690,-0.167880,0.413801,0.907547,-0.235476,-0.168870,0.900847,-0.287949
47,0.195833,0.060661,1.715664,-0.167832,0.413788,0.907535,-0.235464,-0.168890,0.900858,-0.287944
48,0.200000,0.060511,1.715393,-0.167820,0.413926,0.908079,-0.234960,-0.168907,0.900867,-0.287927
49,0.204167,0.060508,1.715384,-0.167756,0.413748,0.907507,-0.235444,-0.168923,0.900860,-0.287901
50,0.208333,0.060533,1.715370,-0.167700,0.413885,0.908056,-0.234935,-0.168937,0.900873,-0.287889
51,0.212500,0.060629,1.715452,-0.167654,0.413868,0.908045,-0.234933,-0.168948,0.900876,-0.287872
52,0.216667,0.060553,1.715333,-0.167593,0.413859,0.908036,-0.234913,-0.168964,0.900876,-0.287851
53,0.220833,0.060526,1.715340,-0.167331,0.413837,0.908029,-0.234902,-0.168981,0.900883,-0.287819
54,0.225000,0.060686,1.715594,-0.167235,0.413819,0.908025,-0.234895,-0.168994,0.900893,-0.287798
55,0.229167,0.060706,1.715579,-0.167190,0.413809,0.908019,-0.234882,-0.169002,0.900891,-0.287781
56,0.233333,0.060707,1.715562,-0.167116,0.413792,0.908009,-0.234863,-0.169116,0.900911,-0.287739
57,0.237500,0.061117,1.715481,-0.166752,0.413786,0.908010,-0.234853,-0.169118,0.900910,-0.287719
58,0.241667,0.061241,1.715580,-0.166713,0.413766,0.908002,-0.234841,-0.169133,0.900912,-0.287696
59,0.245833,0.061255,1.715558,-0.166657,0.413763,0.908006,-0.234828,-0.169142,0.900919,-0.287663
60,0.250000,0.061255,1.715546,-0.166589,0.413751,0.907996,-0.234815,-0.169147,0.900909,-0.287645
61,0.254167,0.061486,1.715314,-0.166645,0.413743,0.907988,-0.234805,-0.169052,0.900895,-0.287609
62,0.258333,0.061502,1.715281,-0.166599,0.413729,0.907989,-0.234800,-0.169156,0.900917,-0.287571
63,0.262500,0.061329,1.714999,-0.166538,0.413723,0.907989,-0.234772,-0.169158,0.900915,-0.287545
64,0.266667,0.061572,1.715098,-0.166418,0.413723,0.907990,-0.234771,-0.169071,0.900893,-0.287528
65,0.270833,0.061412,1.714815,-0.166363,0.413714,0.907984,-0.234755,-0.169168,0.900911,-0.287492
66,0.275000,0.061434,1.714787,-0.166300,0.413709,0.907985,-0.234734,-0.169171,0.900908,-0.287450
67,0.279167,0.061595,1.715055,-0.166237,0.413702,0.907981,-0.234732,-0.169065,0.900898,-0.287427
68,0.283333,0.061600,1.715035,-0.166181,0.413701,0.907969,-0.234708,-0.169069,0.900887,-0.287394
69,0.287500,0.061508,1.714803,-0.166160,0.413696,0.907974,-0.234704,-0.169232,0.900954,-0.287371
70,0.291667,0.061427,1.714884,-0.165975,0.413688,0.907968,-0.234693,-0.169223,0.900954,-0.287337
71,0.295833,0.061098,1.714737,-0.165728,0.413696,0.907978,-0.234670,-0.169226,0.900949,-0.287301
72,0.300000,0.061102,1.714676,-0.165391,0.413696,0.907974,-0.234657,-0.169228,0.900955,-0.287272
73,0.304167,0.061107,1.714656,-0.165315,0.413704,0.907975,-0.234656,-0.169224,0.900945,-0.287230
74,0.308333,0.061116,1.714643,-0.165242,0.413689,0.907960,-0.234639,-0.169225,0.900951,-0.287200
75,0.312500,0.061142,1.714621,-0.165185,0.413701,0.907966,-0.234619,-0.169116,0.900939,-0.287183
76,0.316667,0.061139,1.714601,-0.165122,0.413709,0.907960,-0.234610,-0.169108,0.900935,-0.287146
77,0.320833,0.061171,1.714585,-0.165042,0.413708,0.907951,-0.234598,-0.169106,0.900932,-0.287098
78,0.325000,0.061147,1.714584,-0.164788,0.413992,0.908181,-0.234285,-0.169099,0.900926,-0.287060
79,0.329167,0.061179,1.714568,-0.164715,0.413725,0.907945,-0.234582,-0.169200,0.900929,-0.287008
80,0.333333,0.061175,1.714544,-0.164662,0.413727,0.907939,-0.234571,-0.169001,0.900880,-0.286759
81,0.337500,0.061211,1.714531,-0.164585,0.413749,0.907941,-0.234563,-0.168881,0.900846,-0.286735
82,0.341667,0.061218,1.714515,-0.164510,0.413993,0.908264,-0.233871,-0.168887,0.900844,-0.286694
83,0.345833,0.061224,1.714486,-0.164441,0.413731,0.908035,-0.234164,-0.168972,0.900855,-0.286629
84,0.350000,0.061257,1.714470,-0.164372,0.414053,0.908160,-0.234212,-0.168825,0.900871,-0.286587
85,0.354167,0.061282,1.714453,-0.164294,0.414090,0.907863,-0.233985,-0.168813,0.900864,-0.286543
86,0.358333,0.061289,1.714440,-0.164222,0.414079,0.908151,-0.234198,-0.168807,0.900847,-0.286506
87,0.362500,0.061302,1.714423,-0.164143,0.414112,0.907851,-0.233967,-0.168907,0.900854,-0.286446
88,0.366667,0.061310,1.714415,-0.164084,0.414069,0.908244,-0.233805,-0.168792,0.900833,-0.286412
89,0.370833,0.061329,1.714390,-0.164003,0.414119,0.908149,-0.234164,-0.168789,0.900830,-0.286357
90,0.375000,0.061333,1.714367,-0.163955,0.414112,0.907954,-0.233574,-0.168789,0.900822,-0.286317
91,0.379167,0.061353,1.714356,-0.163886,0.414156,0.907854,-0.233923,-0.168782,0.900811,-0.286258
92,0.383333,0.061783,1.714276,-0.163499,0.414146,0.907956,-0.233546,-0.168778,0.900803,-0.286211
93,0.387500,0.061763,1.714270,-0.163446,0.414163,0.907962,-0.233546,-0.168770,0.900797,-0.286156
94,0.391667,0.061825,1.714334,-0.163450,0.414216,0.907854,-0.233909,-0.168790,0.900783,-0.286110
95,0.395833,0.061821,1.714327,-0.163403,0.414234,0.907870,-0.233890,-0.168801,0.900785,-0.286051
96,0.400000,0.061847,1.714319,-0.163344,0.414261,0.907885,-0.233887,-0.168809,0.900779,-0.285993
97,0.404167,0.061851,1.714311,-0.163280,0.414273,0.907891,-0.233873,-0.168820,0.900777,-0.285945
98,0.408333,0.061855,1.714250,-0.162979,0.414259,0.908002,-0.233494,-0.168843,0.900772,-0.285894
99,0.412500,0.061879,1.714247,-0.162935,0.414280,0.908003,-0.233494,-0.168870,0.900788,-0.285827
100,0.416667,0.061877,1.714251,-0.162880,0.414295,0.908014,-0.233491,-0.168877,0.900789,-0.285619
101,0.420833,0.061898,1.714248,-0.162836,0.414330,0.908041,-0.233478,-0.168917,0.900791,-0.285556
