Format Version,1.23,Take Name,Werikson_IC_Gesto_D_002,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.30.06.235 ,Total Frames in Take,1643,Total Exported Frames,1643,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"512E23BE958D11EC6E30FC7E4D48E999","512E23BE958D11EC6E30FC7E4D48E999","512E23BE958D11EC6E30FC7E4D48E999","512E23C0958D11EC6E30FC7E4D48E999","512E23C0958D11EC6E30FC7E4D48E999","512E23C0958D11EC6E30FC7E4D48E999","512E23C2958D11EC6E30FC7E4D48E999","512E23C2958D11EC6E30FC7E4D48E999","512E23C2958D11EC6E30FC7E4D48E999"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.027861,1.738233,-0.307213,0.314123,0.901481,-0.349892,-0.224127,0.888346,-0.388992
1,0.004167,0.027885,1.738228,-0.307210,0.314041,0.901426,-0.349837,-0.224202,0.888353,-0.389121
2,0.008333,0.027975,1.738328,-0.307235,0.314125,0.901439,-0.349956,-0.224265,0.888346,-0.389247
3,0.012500,0.028023,1.738324,-0.307234,0.313702,0.902943,-0.349076,-0.224320,0.888331,-0.389374
4,0.016667,0.028040,1.738321,-0.307210,0.314139,0.901399,-0.350036,-0.224380,0.888338,-0.389496
5,0.020833,0.028078,1.738308,-0.307196,0.314146,0.901396,-0.350080,-0.224450,0.888352,-0.389591
6,0.025000,0.028118,1.738312,-0.307188,0.314147,0.901359,-0.350114,-0.224511,0.888356,-0.389698
7,0.029167,0.028153,1.738306,-0.307179,0.313725,0.902849,-0.349248,-0.224573,0.888348,-0.389831
8,0.033333,0.028182,1.738301,-0.307158,0.314176,0.901341,-0.350188,-0.224637,0.888344,-0.389943
9,0.037500,0.028226,1.738284,-0.307143,0.314177,0.901309,-0.350241,-0.224694,0.888351,-0.390049
10,0.041667,0.028131,1.738185,-0.307096,0.313764,0.902791,-0.349373,-0.224759,0.888360,-0.390150
11,0.045833,0.028191,1.738185,-0.307091,0.314208,0.901273,-0.350321,-0.224815,0.888358,-0.390266
12,0.050000,0.028215,1.738174,-0.307084,0.313792,0.902752,-0.349468,-0.224868,0.888368,-0.390377
13,0.054167,0.028240,1.738173,-0.307071,0.314409,0.901275,-0.350413,-0.224925,0.888379,-0.390458
14,0.058333,0.028287,1.738168,-0.307069,0.313816,0.902696,-0.349566,-0.224868,0.888284,-0.390522
15,0.062500,0.028318,1.738156,-0.307057,0.313837,0.902700,-0.349604,-0.224918,0.888293,-0.390617
16,0.066667,0.028360,1.738155,-0.307046,0.313849,0.902667,-0.349661,-0.224979,0.888149,-0.390848
17,0.070833,0.028401,1.738148,-0.307044,0.314271,0.901364,-0.350719,-0.225031,0.888161,-0.390935
18,0.075000,0.028429,1.738133,-0.307037,0.314277,0.901344,-0.350772,-0.225070,0.888154,-0.391032
19,0.079167,0.028456,1.738136,-0.307035,0.314129,0.901291,-0.351101,-0.225129,0.888170,-0.391089
20,0.083333,0.028505,1.738141,-0.307029,0.314292,0.901309,-0.351155,-0.225160,0.888168,-0.391167
21,0.087500,0.028539,1.738135,-0.307018,0.314308,0.901287,-0.351206,-0.225221,0.888184,-0.391249
22,0.091667,0.028583,1.738136,-0.307009,0.314320,0.901275,-0.351250,-0.225253,0.888182,-0.391342
23,0.095833,0.028614,1.738132,-0.307011,0.314424,0.901165,-0.351634,-0.225304,0.887989,-0.389427
24,0.100000,0.028641,1.738133,-0.307000,0.314436,0.901149,-0.351681,-0.225339,0.887989,-0.389489
25,0.104167,0.028660,1.738134,-0.307001,0.313970,0.902188,-0.350985,-0.225374,0.888003,-0.389561
26,0.108333,0.028700,1.738133,-0.306996,0.313934,0.902292,-0.350854,-0.225644,0.888307,-0.391980
27,0.112500,0.028735,1.738129,-0.306995,0.314020,0.902207,-0.350860,-0.225679,0.888315,-0.392037
