Format Version,1.23,Take Name,Werikson_IC_Gesto_E,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.32.07.105 ,Total Frames in Take,1482,Total Exported Frames,1482,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"BCFAA665958D11EC6E30FC7E4D48E999","BCFAA665958D11EC6E30FC7E4D48E999","BCFAA665958D11EC6E30FC7E4D48E999","BCFAA667958D11EC6E30FC7E4D48E999","BCFAA667958D11EC6E30FC7E4D48E999","BCFAA667958D11EC6E30FC7E4D48E999","BCFAA669958D11EC6E30FC7E4D48E999","BCFAA669958D11EC6E30FC7E4D48E999","BCFAA669958D11EC6E30FC7E4D48E999"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.074571,1.733051,-0.254894,0.387526,0.903692,-0.335428,-0.177758,0.881580,-0.352550
1,0.004167,0.074559,1.733052,-0.254850,0.387529,0.903612,-0.335516,-0.177745,0.881570,-0.352506
2,0.008333,0.074551,1.732838,-0.254910,0.387475,0.903674,-0.335371,-0.177748,0.881575,-0.352450
3,0.012500,0.074563,1.733058,-0.254753,0.387478,0.903594,-0.335468,-0.177751,0.881579,-0.352402
4,0.016667,0.074732,1.732848,-0.254659,0.387417,0.903667,-0.335319,-0.177752,0.881588,-0.352343
5,0.020833,0.074738,1.732849,-0.254625,0.387438,0.903590,-0.335407,-0.177739,0.881578,-0.352291
6,0.025000,0.074718,1.732855,-0.254571,0.387416,0.903623,-0.335283,-0.177732,0.881586,-0.352236
7,0.029167,0.074556,1.733066,-0.254603,0.387343,0.903636,-0.335235,-0.177724,0.881588,-0.352186
8,0.033333,0.074729,1.732868,-0.254509,0.387351,0.903559,-0.335318,-0.177720,0.881590,-0.352120
9,0.037500,0.074734,1.732865,-0.254468,0.387331,0.903545,-0.335282,-0.177755,0.881603,-0.351732
10,0.041667,0.074735,1.732871,-0.254437,0.387306,0.903529,-0.335255,-0.177745,0.881597,-0.351680
11,0.045833,0.074724,1.732883,-0.254401,0.387285,0.903531,-0.335224,-0.177730,0.881596,-0.351615
12,0.050000,0.074732,1.732883,-0.254379,0.387267,0.903521,-0.335186,-0.177717,0.881603,-0.351556
13,0.054167,0.074735,1.732893,-0.254333,0.387222,0.903499,-0.335154,-0.177691,0.881593,-0.351505
14,0.058333,0.074740,1.732908,-0.254304,0.387206,0.903488,-0.335118,-0.177674,0.881594,-0.351433
15,0.062500,0.074740,1.732915,-0.254277,0.387179,0.903472,-0.335085,-0.177660,0.881596,-0.351377
16,0.066667,0.074735,1.732931,-0.254250,0.387160,0.903457,-0.335047,-0.177641,0.881595,-0.351308
17,0.070833,0.074735,1.732939,-0.254219,0.387135,0.903451,-0.335006,-0.177625,0.881602,-0.351251
18,0.075000,0.074738,1.732939,-0.254189,0.387107,0.903436,-0.334969,-0.177598,0.881595,-0.351180
19,0.079167,0.074748,1.732966,-0.254155,0.387095,0.903434,-0.334935,-0.177510,0.881757,-0.351052
20,0.083333,0.074743,1.732963,-0.254136,0.387064,0.903410,-0.334891,-0.177483,0.881749,-0.350983
21,0.087500,0.074749,1.732981,-0.254104,0.387048,0.903404,-0.334848,-0.177465,0.881743,-0.350934
22,0.091667,0.074750,1.732987,-0.254080,0.387026,0.903396,-0.334818,-0.177444,0.881735,-0.350875
23,0.095833,0.074761,1.732991,-0.254055,0.386998,0.903375,-0.334780,-0.177381,0.881799,-0.350885
24,0.100000,0.074758,1.732993,-0.254030,0.386978,0.903365,-0.334744,-0.177355,0.881785,-0.350842
25,0.104167,0.074751,1.732996,-0.253984,0.386952,0.903360,-0.334699,-0.177332,0.881779,-0.350781
26,0.108333,0.074770,1.732998,-0.253974,0.386933,0.903350,-0.334661,-0.177320,0.881785,-0.350711
27,0.112500,0.074775,1.733010,-0.253933,0.386904,0.903336,-0.334630,-0.177291,0.881772,-0.350667
28,0.116667,0.074782,1.733014,-0.253918,0.386877,0.903323,-0.334578,-0.177272,0.881761,-0.350604
29,0.120833,0.074767,1.733022,-0.253871,0.386897,0.903051,-0.334344,-0.177257,0.881762,-0.350546
30,0.125000,0.074780,1.733034,-0.253854,0.386866,0.903035,-0.334304,-0.177230,0.881750,-0.350503
31,0.129167,0.074762,1.733041,-0.253820,0.386844,0.903023,-0.334264,-0.177200,0.881739,-0.350450
32,0.133333,0.074771,1.733048,-0.253787,0.386826,0.903024,-0.334221,-0.177184,0.881734,-0.350396
33,0.137500,0.074774,1.733068,-0.253762,0.386808,0.903015,-0.334185,-0.177153,0.881720,-0.350355
34,0.141667,0.074760,1.733103,-0.253540,0.386776,0.903003,-0.334148,-0.177133,0.881714,-0.350312
35,0.145833,0.074740,1.733117,-0.253501,0.386751,0.902999,-0.334107,-0.177109,0.881709,-0.350254
36,0.150000,0.074747,1.733125,-0.253473,0.386726,0.902998,-0.334073,-0.177079,0.881689,-0.350205
37,0.154167,0.074806,1.733268,-0.253522,0.386709,0.902995,-0.334029,-0.177149,0.881720,-0.350029
38,0.158333,0.074818,1.733284,-0.253489,0.386678,0.902984,-0.333994,-0.177013,0.881672,-0.350129
39,0.162500,0.074654,1.733499,-0.253543,0.386649,0.902978,-0.333956,-0.177102,0.881707,-0.349952
40,0.166667,0.074656,1.733504,-0.253514,0.386661,0.903297,-0.333656,-0.176972,0.881656,-0.350056
41,0.170833,0.074676,1.733534,-0.253493,0.386635,0.903298,-0.333632,-0.177039,0.881691,-0.349868
42,0.175000,0.074684,1.733541,-0.253483,0.386575,0.903386,-0.333202,-0.176903,0.881656,-0.349879
43,0.179167,0.074695,1.733546,-0.253453,0.386543,0.903381,-0.333168,-0.176986,0.881669,-0.349812
44,0.183333,0.074700,1.733558,-0.253422,0.386521,0.903374,-0.333139,-0.177055,0.881752,-0.349671
45,0.187500,0.074883,1.733368,-0.253337,0.386500,0.903373,-0.333087,-0.177019,0.881735,-0.349647
46,0.191667,0.074731,1.733585,-0.253382,0.386431,0.903247,-0.333101,-0.176868,0.881703,-0.349636
