Format Version,1.23,Take Name,Werikson_IC_Gesto_E_001,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.32.17.401 ,Total Frames in Take,1434,Total Exported Frames,1434,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"F08E087B958D11EC6E30FC7E4D48E999","F08E087B958D11EC6E30FC7E4D48E999","F08E087B958D11EC6E30FC7E4D48E999","F9FE0838958D11EC6E30FC7E4D48E999","F9FE0838958D11EC6E30FC7E4D48E999","F9FE0838958D11EC6E30FC7E4D48E999","F9FE083A958D11EC6E30FC7E4D48E999","F9FE083A958D11EC6E30FC7E4D48E999","F9FE083A958D11EC6E30FC7E4D48E999"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.066507,1.737225,-0.268852,0.355862,0.900684,-0.334217,-0.191683,0.876893,-0.333514
1,0.004167,0.066549,1.737205,-0.269070,0.355868,0.900691,-0.334300,-0.191606,0.876872,-0.333696
2,0.008333,0.066455,1.737206,-0.268836,0.355873,0.900693,-0.334377,-0.191610,0.876856,-0.333800
3,0.012500,0.066424,1.737188,-0.268826,0.355854,0.900679,-0.334464,-0.191614,0.876862,-0.333891
4,0.016667,0.066387,1.737182,-0.268804,0.355833,0.900401,-0.334770,-0.191576,0.876716,-0.333905
5,0.020833,0.066369,1.737172,-0.268794,0.355922,0.900339,-0.334787,-0.191576,0.876706,-0.334003
6,0.025000,0.066343,1.737160,-0.268786,0.355922,0.900337,-0.334874,-0.191583,0.876687,-0.334103
7,0.029167,0.066311,1.737154,-0.268764,0.355918,0.900332,-0.334960,-0.191594,0.876684,-0.334203
8,0.033333,0.066282,1.737153,-0.268742,0.355912,0.900313,-0.335045,-0.191606,0.876665,-0.334302
9,0.037500,0.066260,1.737139,-0.268721,0.355909,0.900312,-0.335151,-0.191751,0.876821,-0.334375
10,0.041667,0.066229,1.737121,-0.268716,0.355911,0.900309,-0.335243,-0.191777,0.876805,-0.334470
11,0.045833,0.066200,1.737102,-0.268703,0.355915,0.900307,-0.335333,-0.191784,0.876793,-0.334574
12,0.050000,0.066270,1.737194,-0.268720,0.355902,0.900287,-0.335428,-0.191804,0.876784,-0.334663
13,0.054167,0.066241,1.737184,-0.268698,0.355903,0.900291,-0.335519,-0.191818,0.876766,-0.334776
14,0.058333,0.066228,1.737175,-0.268688,0.355903,0.900282,-0.335627,-0.191857,0.876700,-0.334815
15,0.062500,0.066192,1.737160,-0.268669,0.355890,0.900236,-0.335990,-0.191886,0.876696,-0.334908
16,0.066667,0.066167,1.737145,-0.268645,0.355878,0.900217,-0.336091,-0.191896,0.876672,-0.335007
17,0.070833,0.066124,1.737130,-0.268648,0.355870,0.900204,-0.336201,-0.191915,0.876645,-0.335104
18,0.075000,0.066086,1.737136,-0.268621,0.355997,0.900434,-0.336043,-0.191934,0.876629,-0.335208
19,0.079167,0.066081,1.737113,-0.268598,0.356000,0.900416,-0.336155,-0.192041,0.876231,-0.335450
20,0.083333,0.066038,1.737112,-0.268582,0.355995,0.900411,-0.336264,-0.192061,0.876208,-0.335539
21,0.087500,0.066014,1.737104,-0.268564,0.355982,0.900393,-0.336375,-0.192090,0.876189,-0.335638
