Format Version,1.23,Take Name,Werikson_IC_Gesto_F_003,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.39.20.816 ,Total Frames in Take,1887,Total Exported Frames,1887,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"45188D44902E11EC6E30FC7E4D48E499","45188D44902E11EC6E30FC7E4D48E499","45188D44902E11EC6E30FC7E4D48E499","45188D46902E11EC6E30FC7E4D48E499","45188D46902E11EC6E30FC7E4D48E499","45188D46902E11EC6E30FC7E4D48E499","45188D48902E11EC6E30FC7E4D48E499","45188D48902E11EC6E30FC7E4D48E499","45188D48902E11EC6E30FC7E4D48E499"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.052242,1.739577,-0.315846,0.319020,0.902777,-0.397858,-0.214145,0.875350,-0.396714
1,0.004167,0.052300,1.739582,-0.315814,0.319011,0.902757,-0.397867,-0.214113,0.875371,-0.396684
2,0.008333,0.052520,1.739685,-0.315598,0.319007,0.902717,-0.397867,-0.214078,0.875383,-0.396634
3,0.012500,0.052574,1.739673,-0.315560,0.319006,0.902688,-0.397875,-0.214048,0.875405,-0.396598
4,0.016667,0.052629,1.739666,-0.315526,0.319124,0.902521,-0.397936,-0.213925,0.875582,-0.396556
5,0.020833,0.052686,1.739665,-0.315487,0.319111,0.902482,-0.397936,-0.213875,0.875594,-0.396518
6,0.025000,0.052760,1.739668,-0.315456,0.319102,0.902450,-0.397941,-0.213835,0.875612,-0.396489
7,0.029167,0.052817,1.739664,-0.315423,0.319097,0.902421,-0.397948,-0.213134,0.875115,-0.396211
8,0.033333,0.052862,1.739658,-0.315387,0.319089,0.902386,-0.397946,-0.213079,0.875126,-0.396182
9,0.037500,0.053144,1.739653,-0.315371,0.319087,0.902361,-0.397950,-0.213042,0.875142,-0.396144
10,0.041667,0.053189,1.739649,-0.315326,0.319069,0.902330,-0.397944,-0.212994,0.875152,-0.396095
11,0.045833,0.053248,1.739637,-0.315295,0.319060,0.902283,-0.397943,-0.212954,0.875173,-0.396058
12,0.050000,0.053305,1.739642,-0.315247,0.319054,0.902259,-0.397953,-0.212904,0.875175,-0.396028
13,0.054167,0.053368,1.739628,-0.315224,0.319049,0.902225,-0.397940,-0.212888,0.875110,-0.395999
14,0.058333,0.053429,1.739629,-0.315178,0.319033,0.902198,-0.397936,-0.212847,0.875119,-0.395968
15,0.062500,0.053483,1.739613,-0.315127,0.319021,0.902162,-0.397932,-0.212816,0.875133,-0.395923
16,0.066667,0.053547,1.739613,-0.315101,0.319523,0.903090,-0.398053,-0.212757,0.875134,-0.395885
17,0.070833,0.053595,1.739608,-0.315051,0.319504,0.903066,-0.398060,-0.212716,0.875138,-0.395837
18,0.075000,0.053649,1.739602,-0.315018,0.319490,0.903029,-0.398046,-0.212693,0.875172,-0.395796
19,0.079167,0.053696,1.739597,-0.314967,0.319475,0.902997,-0.398036,-0.212643,0.875167,-0.395758
20,0.083333,0.053752,1.739587,-0.314922,0.319458,0.902965,-0.398027,-0.212611,0.875189,-0.395718
21,0.087500,0.053805,1.739475,-0.314943,0.319448,0.902941,-0.398018,-0.212569,0.875189,-0.395690
22,0.091667,0.054042,1.739398,-0.314882,0.319431,0.902914,-0.398003,-0.212545,0.875207,-0.395654
23,0.095833,0.054004,1.739450,-0.314719,0.319411,0.902880,-0.397991,-0.212503,0.875209,-0.395612
24,0.100000,0.054064,1.739431,-0.314690,0.319385,0.902848,-0.397971,-0.212454,0.875213,-0.395568
25,0.104167,0.054111,1.739420,-0.314633,0.319378,0.902822,-0.397965,-0.212420,0.875228,-0.395537
