Format Version,1.23,Take Name,Werikson_IC_Gesto_G_003,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.41.57.009 ,Total Frames in Take,1374,Total Exported Frames,1374,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"58B1F287902C11EC6E30FC7E4D48E499","58B1F287902C11EC6E30FC7E4D48E499","58B1F287902C11EC6E30FC7E4D48E499","58B1F289902C11EC6E30FC7E4D48E499","58B1F289902C11EC6E30FC7E4D48E499","58B1F289902C11EC6E30FC7E4D48E499","58B1F28B902C11EC6E30FC7E4D48E499","58B1F28B902C11EC6E30FC7E4D48E499","58B1F28B902C11EC6E30FC7E4D48E499"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.087993,1.734228,-0.235068,0.338043,0.893185,-0.297996,-0.199638,0.875280,-0.313874
1,0.004167,0.087636,1.734209,-0.234970,0.338055,0.893254,-0.297851,-0.199652,0.875257,-0.313902
2,0.008333,0.087515,1.734192,-0.234895,0.338243,0.893725,-0.297861,-0.199670,0.875217,-0.313947
3,0.012500,0.087380,1.734182,-0.234839,0.338119,0.893298,-0.297682,-0.199690,0.875195,-0.313977
4,0.016667,0.087162,1.734355,-0.234925,0.338473,0.893886,-0.297486,-0.199708,0.875163,-0.313994
5,0.020833,0.087008,1.734341,-0.234863,0.338381,0.893918,-0.297272,-0.199734,0.875130,-0.314025
6,0.025000,0.086871,1.734319,-0.234809,0.338376,0.893974,-0.297137,-0.199764,0.875100,-0.314052
7,0.029167,0.086714,1.734311,-0.234747,0.338290,0.894126,-0.296699,-0.199790,0.875088,-0.314069
8,0.033333,0.086518,1.734303,-0.234478,0.338279,0.894170,-0.296574,-0.199836,0.875071,-0.314083
9,0.037500,0.086363,1.734282,-0.234401,0.338278,0.894234,-0.296433,-0.199876,0.875046,-0.314096
10,0.041667,0.086269,1.734228,-0.234417,0.338257,0.894281,-0.296291,-0.199911,0.875023,-0.314122
11,0.045833,0.086111,1.734192,-0.234343,0.338194,0.894194,-0.296341,-0.199962,0.875011,-0.314126
12,0.050000,0.085138,1.733926,-0.234164,0.338177,0.894253,-0.296193,-0.200024,0.875116,-0.314210
13,0.054167,0.085071,1.733984,-0.234184,0.338152,0.894288,-0.296066,-0.200043,0.874972,-0.314141
14,0.058333,0.084928,1.733949,-0.234112,0.338140,0.894351,-0.295939,-0.200120,0.875092,-0.314221
15,0.062500,0.084769,1.733911,-0.234033,0.338124,0.894809,-0.295555,-0.200268,0.875104,-0.314216
16,0.066667,0.084627,1.733861,-0.233947,0.338245,0.894899,-0.295161,-0.200322,0.875090,-0.314217
17,0.070833,0.084468,1.733817,-0.233866,0.338258,0.894883,-0.294988,-0.200496,0.875074,-0.314145
