Format Version,1.23,Take Name,Werikson_IC_Gesto_H,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.43.53.201 ,Total Frames in Take,1305,Total Exported Frames,1305,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"D3DCDB69902B11EC6E30FC7E4D48E499","D3DCDB69902B11EC6E30FC7E4D48E499","D3DCDB69902B11EC6E30FC7E4D48E499","D3DCDB6B902B11EC6E30FC7E4D48E499","D3DCDB6B902B11EC6E30FC7E4D48E499","D3DCDB6B902B11EC6E30FC7E4D48E499","D3DCDB6D902B11EC6E30FC7E4D48E499","D3DCDB6D902B11EC6E30FC7E4D48E499","D3DCDB6D902B11EC6E30FC7E4D48E499"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.155178,1.736764,-0.238653,0.415085,0.876314,-0.338006,-0.123692,0.875892,-0.349732
1,0.004167,0.155365,1.736575,-0.238735,0.415131,0.876305,-0.338017,-0.123910,0.876171,-0.349774
2,0.008333,0.155192,1.736987,-0.238458,0.415168,0.876288,-0.338028,-0.123923,0.876199,-0.349726
3,0.012500,0.155185,1.736976,-0.238406,0.415214,0.876273,-0.338049,-0.123792,0.876042,-0.349726
4,0.016667,0.155374,1.736780,-0.238486,0.415257,0.876270,-0.338057,-0.123955,0.876217,-0.349660
5,0.020833,0.155179,1.736976,-0.238336,0.415609,0.876450,-0.337573,-0.123969,0.876235,-0.349616
6,0.025000,0.155354,1.736550,-0.238511,0.415651,0.876437,-0.337574,-0.123987,0.876260,-0.349576
7,0.029167,0.155367,1.736773,-0.238351,0.415689,0.876416,-0.337592,-0.124018,0.876280,-0.349535
8,0.033333,0.155174,1.736721,-0.238304,0.415727,0.876422,-0.337585,-0.123983,0.876197,-0.349387
9,0.037500,0.155373,1.736756,-0.238264,0.415774,0.876418,-0.337598,-0.124080,0.876320,-0.349458
10,0.041667,0.155347,1.736737,-0.238200,0.415811,0.876396,-0.337610,-0.118356,0.870484,-0.353472
11,0.045833,0.155350,1.736732,-0.238174,0.415847,0.876397,-0.337608,-0.118386,0.870514,-0.353437
12,0.050000,0.155355,1.736723,-0.238105,0.415878,0.876372,-0.337621,-0.118413,0.870525,-0.353390
13,0.054167,0.155350,1.736710,-0.238067,0.415910,0.876351,-0.337628,-0.118456,0.870557,-0.353345
