Format Version,1.23,Take Name,Werikson_IC_Gesto_H_002,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.44.25.751 ,Total Frames in Take,1503,Total Exported Frames,1503,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"41BDBCD2902A11EC6E30FC7E4D48E499","41BDBCD2902A11EC6E30FC7E4D48E499","41BDBCD2902A11EC6E30FC7E4D48E499","41BDBCD4902A11EC6E30FC7E4D48E499","41BDBCD4902A11EC6E30FC7E4D48E499","41BDBCD4902A11EC6E30FC7E4D48E499","41BDBCD6902A11EC6E30FC7E4D48E499","41BDBCD6902A11EC6E30FC7E4D48E499","41BDBCD6902A11EC6E30FC7E4D48E499"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.131334,1.738620,-0.237412,0.431765,0.900126,-0.312028,-0.148191,0.893965,-0.350883
1,0.004167,0.131883,1.738537,-0.237012,0.431668,0.900064,-0.311982,-0.148235,0.894018,-0.350909
2,0.008333,0.131952,1.738514,-0.236964,0.431600,0.900007,-0.311951,-0.148268,0.894065,-0.350950
3,0.012500,0.132048,1.738522,-0.236933,0.431525,0.899959,-0.311908,-0.148314,0.894109,-0.350968
4,0.016667,0.132141,1.738506,-0.236899,0.431435,0.899900,-0.311864,-0.148357,0.894150,-0.350991
5,0.020833,0.132198,1.738355,-0.236526,0.431358,0.899843,-0.311834,-0.146870,0.892300,-0.351229
6,0.025000,0.132285,1.738342,-0.236475,0.431107,0.900095,-0.311378,-0.146902,0.892342,-0.351238
7,0.029167,0.132365,1.738333,-0.236434,0.430808,0.899943,-0.311733,-0.146938,0.892394,-0.351243
8,0.033333,0.132658,1.738122,-0.236497,0.430950,0.899998,-0.311277,-0.146967,0.892421,-0.351247
9,0.037500,0.132739,1.738100,-0.236471,0.430872,0.899941,-0.311232,-0.147002,0.892476,-0.351250
10,0.041667,0.133078,1.738067,-0.236426,0.430461,0.899798,-0.311444,-0.146966,0.892862,-0.351413
11,0.045833,0.133162,1.738055,-0.236387,0.429649,0.900826,-0.311016,-0.146993,0.892909,-0.351401
12,0.050000,0.133258,1.738042,-0.236348,0.429585,0.900790,-0.310959,-0.147020,0.892954,-0.351391
13,0.054167,0.133340,1.738017,-0.236305,0.429508,0.900758,-0.310884,-0.147054,0.892990,-0.351382
14,0.058333,0.133429,1.738000,-0.236280,0.429440,0.900710,-0.310822,-0.146450,0.892448,-0.352333
15,0.062500,0.133504,1.737973,-0.236246,0.429370,0.900689,-0.310744,-0.147662,0.894126,-0.351014
16,0.066667,0.133595,1.737959,-0.236199,0.429295,0.900640,-0.310677,-0.146504,0.892521,-0.352284
17,0.070833,0.133682,1.737938,-0.236155,0.429233,0.900621,-0.310616,-0.147357,0.893648,-0.350893
18,0.075000,0.133690,1.737975,-0.236008,0.429169,0.900586,-0.310550,-0.147858,0.894223,-0.350849
19,0.079167,0.133766,1.737948,-0.235981,0.430029,0.899768,-0.310556,-0.147547,0.893712,-0.350711
20,0.083333,0.133867,1.737936,-0.235946,0.430036,0.899476,-0.310339,-0.147568,0.893756,-0.350672
21,0.087500,0.133947,1.737903,-0.235917,0.429854,0.898767,-0.310405,-0.147602,0.893796,-0.350623
22,0.091667,0.134016,1.737886,-0.235866,0.429790,0.898741,-0.310333,-0.147609,0.893830,-0.350582
