Format Version,1.23,Take Name,Werikson_IC_Gesto_J_004,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 03.01.23.525 ,Total Frames in Take,1494,Total Exported Frames,1494,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"375225E7959711EC6E30FC7E4D48E999","375225E7959711EC6E30FC7E4D48E999","375225E7959711EC6E30FC7E4D48E999","375225E9959711EC6E30FC7E4D48E999","375225E9959711EC6E30FC7E4D48E999","375225E9959711EC6E30FC7E4D48E999","375225EB959711EC6E30FC7E4D48E999","375225EB959711EC6E30FC7E4D48E999","375225EB959711EC6E30FC7E4D48E999"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.097816,1.742647,-0.196613,0.381440,0.905456,-0.312157,-0.189442,0.901858,-0.285293
1,0.004167,0.097778,1.742657,-0.196614,0.381530,0.905397,-0.311940,-0.189381,0.901831,-0.285337
2,0.008333,0.097731,1.742655,-0.196596,0.381562,0.905421,-0.311916,-0.189336,0.901811,-0.285395
3,0.012500,0.097716,1.742638,-0.196579,0.381610,0.905454,-0.311887,-0.189288,0.901786,-0.285451
4,0.016667,0.097688,1.742638,-0.196560,0.381654,0.905476,-0.311852,-0.189241,0.901764,-0.285494
5,0.020833,0.097671,1.742630,-0.196549,0.381632,0.905333,-0.312043,-0.189187,0.901736,-0.285562
6,0.025000,0.097633,1.742615,-0.196521,0.381734,0.905530,-0.311788,-0.189144,0.901717,-0.285622
7,0.029167,0.097628,1.742617,-0.196509,0.381704,0.905367,-0.311973,-0.189091,0.901690,-0.285691
8,0.033333,0.097602,1.742609,-0.196489,0.381748,0.905400,-0.311940,-0.189038,0.901658,-0.285757
9,0.037500,0.097551,1.742589,-0.196473,0.381863,0.905602,-0.311705,-0.188999,0.901635,-0.285821
10,0.041667,0.097547,1.742587,-0.196462,0.381837,0.905441,-0.311871,-0.188940,0.901618,-0.285899
11,0.045833,0.097523,1.742576,-0.196442,0.381869,0.905459,-0.311843,-0.188898,0.901587,-0.285960
12,0.050000,0.097521,1.742566,-0.196427,0.381903,0.905460,-0.311812,-0.188864,0.901572,-0.286021
13,0.054167,0.097491,1.742557,-0.196419,0.381943,0.905490,-0.311770,-0.188817,0.901541,-0.286103
14,0.058333,0.097474,1.742542,-0.196398,0.382157,0.905539,-0.311727,-0.188803,0.901461,-0.286111
15,0.062500,0.097460,1.742541,-0.196387,0.382182,0.905558,-0.311695,-0.188722,0.901482,-0.286177
16,0.066667,0.097445,1.742533,-0.196362,0.382229,0.905579,-0.311657,-0.188675,0.901464,-0.286254
17,0.070833,0.097431,1.742528,-0.196350,0.382255,0.905589,-0.311616,-0.188641,0.901434,-0.286325
18,0.075000,0.097410,1.742512,-0.196331,0.382296,0.905594,-0.311577,-0.188530,0.901354,-0.286386
19,0.079167,0.097403,1.742519,-0.196318,0.382337,0.905617,-0.311525,-0.188497,0.901331,-0.286465
20,0.083333,0.097391,1.742509,-0.196310,0.382358,0.905626,-0.311487,-0.188471,0.901304,-0.286541
21,0.087500,0.097083,1.742524,-0.196072,0.382388,0.905775,-0.311220,-0.188345,0.901235,-0.286712
22,0.091667,0.097074,1.742515,-0.196052,0.382308,0.905755,-0.311073,-0.188321,0.901217,-0.286801
23,0.095833,0.097060,1.742497,-0.196045,0.382331,0.905770,-0.311025,-0.188286,0.901192,-0.286888
24,0.100000,0.097201,1.742297,-0.195952,0.382538,0.905841,-0.310689,-0.188254,0.901159,-0.286977
25,0.104167,0.097189,1.742286,-0.195948,0.382564,0.905843,-0.310648,-0.188240,0.901138,-0.287060
26,0.108333,0.097022,1.742486,-0.196010,0.382587,0.905853,-0.310606,-0.188253,0.900916,-0.287292
27,0.112500,0.097169,1.742278,-0.195924,0.382615,0.905872,-0.310559,-0.188239,0.900897,-0.287382
28,0.116667,0.097143,1.742275,-0.195920,0.382625,0.905876,-0.310513,-0.188214,0.900924,-0.287705
29,0.120833,0.097135,1.742270,-0.195903,0.382640,0.905883,-0.310475,-0.188199,0.900893,-0.287788
30,0.125000,0.097132,1.742272,-0.195906,0.382662,0.905890,-0.310437,-0.188179,0.900869,-0.287868
31,0.129167,0.097120,1.742265,-0.195890,0.382670,0.905891,-0.310379,-0.188164,0.900850,-0.287952
32,0.133333,0.097099,1.742270,-0.195876,0.382754,0.905835,-0.310437,-0.188140,0.900815,-0.288051
33,0.137500,0.097087,1.742266,-0.195865,0.382763,0.905846,-0.310395,-0.188141,0.900801,-0.288138
34,0.141667,0.097079,1.742262,-0.195875,0.382782,0.905850,-0.310344,-0.188124,0.900779,-0.288227
35,0.145833,0.097072,1.742271,-0.195855,0.382785,0.905862,-0.310293,-0.188015,0.900627,-0.288316
36,0.150000,0.097054,1.742260,-0.195841,0.382994,0.905985,-0.310035,-0.188017,0.900615,-0.288405
37,0.154167,0.097049,1.742252,-0.195842,0.382997,0.905988,-0.309966,-0.188007,0.900595,-0.288503
38,0.158333,0.097016,1.742250,-0.195825,0.383011,0.905998,-0.309914,-0.187998,0.900580,-0.288602
39,0.162500,0.097010,1.742250,-0.195815,0.383026,0.906003,-0.309863,-0.187992,0.900562,-0.288700
40,0.166667,0.097000,1.742245,-0.195812,0.383038,0.906010,-0.309801,-0.187980,0.900552,-0.288796
41,0.170833,0.096993,1.742250,-0.195816,0.383051,0.906011,-0.309749,-0.187986,0.900537,-0.288885
42,0.175000,0.096959,1.742268,-0.195799,0.383063,0.906016,-0.309694,-0.187985,0.900533,-0.288990
43,0.179167,0.096953,1.742238,-0.195775,0.383077,0.906031,-0.309633,-0.188011,0.900472,-0.289023
44,0.183333,0.096960,1.742249,-0.195785,0.383090,0.906031,-0.309584,-0.188013,0.900462,-0.289135
45,0.187500,0.096934,1.742244,-0.195763,0.383100,0.906034,-0.309526,-0.188020,0.900459,-0.289227
46,0.191667,0.096913,1.742239,-0.195758,0.383104,0.906046,-0.309475,-0.188025,0.900448,-0.289326
47,0.195833,0.096899,1.742235,-0.195736,0.383112,0.906035,-0.309406,-0.188021,0.900443,-0.289432
48,0.200000,0.096889,1.742223,-0.195745,0.383121,0.906042,-0.309354,-0.188023,0.900434,-0.289534
49,0.204167,0.096887,1.742235,-0.195734,0.383132,0.906054,-0.309299,-0.188040,0.900444,-0.289630
50,0.208333,0.096862,1.742235,-0.195730,0.383132,0.906044,-0.309240,-0.188034,0.900432,-0.289730
51,0.212500,0.096854,1.742229,-0.195714,0.383136,0.906052,-0.309184,-0.188049,0.900440,-0.289831
52,0.216667,0.096854,1.742227,-0.195709,0.383147,0.906066,-0.309117,-0.188039,0.900482,-0.290159
53,0.220833,0.096826,1.742232,-0.195714,0.383047,0.906166,-0.308722,-0.188062,0.900485,-0.290251
54,0.225000,0.096842,1.742234,-0.195703,0.383049,0.906182,-0.308665,-0.188065,0.900477,-0.290346
55,0.229167,0.096810,1.742227,-0.195692,0.383056,0.906175,-0.308608,-0.188076,0.900480,-0.290434
56,0.233333,0.096796,1.742231,-0.195698,0.383064,0.906179,-0.308555,-0.188075,0.900469,-0.290542
57,0.237500,0.096791,1.742217,-0.195670,0.383062,0.906174,-0.308488,-0.188082,0.900470,-0.290641
58,0.241667,0.096794,1.742228,-0.195676,0.383066,0.906183,-0.308429,-0.188320,0.900647,-0.291016
59,0.245833,0.096778,1.742223,-0.195674,0.383063,0.906179,-0.308369,-0.188322,0.900646,-0.291111
60,0.250000,0.096790,1.742224,-0.195680,0.383067,0.906182,-0.308319,-0.188336,0.900641,-0.291205
61,0.254167,0.096770,1.742221,-0.195679,0.383076,0.906189,-0.308254,-0.188350,0.900645,-0.291296
62,0.258333,0.096781,1.742225,-0.195664,0.383133,0.906122,-0.308316,-0.188467,0.900792,-0.291459
63,0.262500,0.096778,1.742227,-0.195643,0.383139,0.906109,-0.308260,-0.188390,0.900757,-0.291643
64,0.266667,0.096762,1.742226,-0.195651,0.383143,0.906112,-0.308201,-0.188484,0.900801,-0.291631
65,0.270833,0.096753,1.742220,-0.195638,0.383154,0.906116,-0.308137,-0.188507,0.900808,-0.291714
66,0.275000,0.096748,1.742229,-0.195635,0.383151,0.906109,-0.308089,-0.188456,0.900717,-0.291834
67,0.279167,0.096754,1.742234,-0.195639,0.383151,0.906108,-0.308036,-0.188480,0.900727,-0.291924
68,0.283333,0.096750,1.742209,-0.195634,0.383165,0.906100,-0.307983,-0.188490,0.900720,-0.291997
69,0.287500,0.096754,1.742224,-0.195642,0.383170,0.906101,-0.307928,-0.188506,0.900722,-0.292093
70,0.291667,0.096756,1.742223,-0.195644,0.383175,0.906095,-0.307881,-0.188518,0.900727,-0.292172
71,0.295833,0.096754,1.742228,-0.195635,0.383212,0.906504,-0.307405,-0.188542,0.900730,-0.292245
72,0.300000,0.096748,1.742223,-0.195634,0.383193,0.906072,-0.307781,-0.188504,0.900692,-0.292343
73,0.304167,0.096757,1.742231,-0.195625,0.383216,0.906071,-0.307726,-0.188489,0.900757,-0.292392
74,0.308333,0.096761,1.742230,-0.195632,0.383227,0.906064,-0.307678,-0.188595,0.900752,-0.292475
75,0.312500,0.096769,1.742231,-0.195626,0.383233,0.906046,-0.307637,-0.188482,0.900640,-0.292450
76,0.316667,0.096757,1.742236,-0.195624,0.383283,0.906469,-0.307165,-0.188500,0.900641,-0.292534
77,0.320833,0.096761,1.742240,-0.195613,0.383271,0.906020,-0.307539,-0.188524,0.900655,-0.292593
78,0.325000,0.096779,1.742244,-0.195613,0.383279,0.906011,-0.307501,-0.188540,0.900709,-0.292907
79,0.329167,0.096788,1.742253,-0.195597,0.383299,0.906004,-0.307453,-0.188565,0.900718,-0.292979
80,0.333333,0.096777,1.742249,-0.195608,0.383308,0.905985,-0.307426,-0.188513,0.900666,-0.293026
81,0.337500,0.096794,1.742248,-0.195607,0.383326,0.905978,-0.307377,-0.188538,0.900667,-0.293107
82,0.341667,0.096805,1.742250,-0.195595,0.383347,0.905958,-0.307337,-0.188561,0.900673,-0.293180
83,0.345833,0.096805,1.742250,-0.195600,0.383363,0.905956,-0.307294,-0.188677,0.900829,-0.293256
84,0.350000,0.097258,1.742180,-0.195239,0.383380,0.905938,-0.307263,-0.188711,0.900832,-0.293326
85,0.354167,0.096806,1.742248,-0.195590,0.383401,0.905914,-0.307236,-0.188734,0.900846,-0.293401
86,0.358333,0.096811,1.742259,-0.195586,0.383312,0.906019,-0.306876,-0.188755,0.900847,-0.293465
87,0.362500,0.097269,1.742183,-0.195240,0.383443,0.905893,-0.307176,-0.188781,0.900861,-0.293534
88,0.366667,0.096822,1.742252,-0.195571,0.383382,0.905931,-0.306889,-0.188858,0.900679,-0.293756
89,0.370833,0.097266,1.742193,-0.195217,0.383478,0.906081,-0.306548,-0.188849,0.900886,-0.293671
90,0.375000,0.096825,1.742260,-0.195556,0.383585,0.905948,-0.306545,-0.188876,0.900893,-0.293743
91,0.379167,0.097294,1.742191,-0.195205,0.383519,0.906052,-0.306497,-0.188906,0.900896,-0.293817
92,0.383333,0.097299,1.742187,-0.195209,0.383552,0.905828,-0.306341,-0.188927,0.900910,-0.293887
93,0.387500,0.097289,1.742197,-0.195195,0.383666,0.905691,-0.306356,-0.188998,0.900720,-0.294099
94,0.391667,0.097309,1.742205,-0.195190,0.383622,0.905703,-0.306296,-0.188987,0.900923,-0.294021
95,0.395833,0.097299,1.742195,-0.195191,0.383639,0.905687,-0.306281,-0.189064,0.900740,-0.294238
96,0.400000,0.097319,1.742207,-0.195170,0.383650,0.905660,-0.306271,-0.189067,0.900694,-0.294311
97,0.404167,0.097315,1.742194,-0.195170,0.383670,0.905648,-0.306259,-0.189375,0.900880,-0.294608
98,0.408333,0.097322,1.742197,-0.195163,0.383685,0.905637,-0.306236,-0.189345,0.900895,-0.294747
99,0.412500,0.097327,1.742203,-0.195154,0.383715,0.905621,-0.306241,-0.189391,0.900908,-0.294817
100,0.416667,0.097340,1.742200,-0.195139,0.384011,0.905625,-0.306049,-0.189424,0.900929,-0.294882
101,0.420833,0.097331,1.742198,-0.195132,0.384030,0.905606,-0.306042,-0.189459,0.900937,-0.294960
102,0.425000,0.097345,1.742190,-0.195128,0.384047,0.905591,-0.306022,-0.189504,0.900955,-0.295019
103,0.429167,0.097373,1.742200,-0.195130,0.384070,0.905581,-0.306023,-0.189538,0.900973,-0.295087
104,0.433333,0.097363,1.742196,-0.195129,0.384085,0.905574,-0.306007,-0.189662,0.900882,-0.295212
105,0.437500,0.097383,1.742198,-0.195104,0.384109,0.905565,-0.305989,-0.189715,0.900907,-0.295283
106,0.441667,0.097386,1.742195,-0.195102,0.384136,0.905559,-0.305988,-0.189751,0.900935,-0.295346
107,0.445833,0.097384,1.742204,-0.195085,0.384160,0.905562,-0.305969,-0.189802,0.901005,-0.295655
108,0.450000,0.097400,1.742197,-0.195077,0.384177,0.905547,-0.305958,-0.189852,0.901019,-0.295724
109,0.454167,0.097386,1.742192,-0.195062,0.384204,0.905549,-0.305947,-0.189902,0.901050,-0.295795
110,0.458333,0.097408,1.742208,-0.195066,0.384234,0.905539,-0.305942,-0.189944,0.901070,-0.295864
111,0.462500,0.097419,1.742191,-0.195055,0.384258,0.905541,-0.305924,-0.190001,0.901094,-0.295934
112,0.466667,0.097411,1.742192,-0.195040,0.384293,0.905546,-0.305909,-0.190056,0.901113,-0.296018
113,0.470833,0.097421,1.742205,-0.195026,0.384323,0.905546,-0.305895,-0.190177,0.901168,-0.296073
114,0.475000,0.097460,1.742206,-0.195038,0.384355,0.905545,-0.305883,-0.190238,0.901191,-0.296149
115,0.479167,0.097458,1.742205,-0.195013,0.384387,0.905538,-0.305871,-0.190300,0.901215,-0.296222
116,0.483333,0.097450,1.742206,-0.195000,0.384425,0.905547,-0.305876,-0.190365,0.901242,-0.296306
117,0.487500,0.097472,1.742215,-0.194988,0.384458,0.905546,-0.305858,-0.190450,0.901279,-0.296379
118,0.491667,0.097477,1.742211,-0.194985,0.384502,0.905551,-0.305847,-0.190514,0.901306,-0.296456
119,0.495833,0.097489,1.742216,-0.194963,0.384546,0.905545,-0.305840,-0.190702,0.901360,-0.296522
120,0.500000,0.097491,1.742211,-0.194951,0.384587,0.905548,-0.305828,-0.190786,0.901390,-0.296596
121,0.504167,0.097502,1.742205,-0.194943,0.384634,0.905563,-0.305814,-0.190866,0.901416,-0.296681
122,0.508333,0.097527,1.742218,-0.194921,0.384669,0.905547,-0.305813,-0.190960,0.901451,-0.296753
123,0.512500,0.097521,1.742225,-0.194721,0.384889,0.905591,-0.305802,-0.191083,0.901419,-0.296773
124,0.516667,0.097547,1.742220,-0.194900,0.384941,0.905596,-0.305797,-0.191187,0.901458,-0.296847
125,0.520833,0.097575,1.742208,-0.194891,0.384992,0.905599,-0.305784,-0.191270,0.901480,-0.296921
126,0.525000,0.097554,1.742222,-0.194680,0.385043,0.905598,-0.305780,-0.191602,0.901677,-0.297305
127,0.529167,0.097592,1.742210,-0.194856,0.385098,0.905602,-0.305780,-0.191706,0.901708,-0.297376
128,0.533333,0.097617,1.742215,-0.194854,0.385147,0.905604,-0.305775,-0.191744,0.901675,-0.297432
129,0.537500,0.097630,1.742195,-0.194842,0.385220,0.905621,-0.305777,-0.191868,0.901714,-0.297517
130,0.541667,0.097824,1.742252,-0.194592,0.385276,0.905616,-0.305784,-0.191924,0.901689,-0.297623
131,0.545833,0.097868,1.742139,-0.194768,0.385334,0.905610,-0.305785,-0.192042,0.901770,-0.297942
132,0.550000,0.097736,1.742314,-0.194863,0.385392,0.905610,-0.305792,-0.192162,0.901795,-0.298020
133,0.554167,0.097929,1.742137,-0.194753,0.385459,0.905605,-0.305800,-0.192284,0.901818,-0.298094
134,0.558333,0.097937,1.742122,-0.194733,0.385522,0.905605,-0.305809,-0.192414,0.901842,-0.298182
135,0.562500,0.097780,1.742561,-0.194508,0.385593,0.905619,-0.305807,-0.192498,0.901739,-0.298171
136,0.566667,0.097979,1.742348,-0.194579,0.385654,0.905604,-0.305821,-0.192735,0.901914,-0.298247
137,0.570833,0.097985,1.742113,-0.194674,0.385717,0.905595,-0.305837,-0.192867,0.901939,-0.298333
138,0.575000,0.098027,1.742361,-0.194534,0.385791,0.905600,-0.305863,-0.193030,0.901979,-0.298413
139,0.579167,0.098041,1.742364,-0.194526,0.385857,0.905594,-0.305863,-0.193216,0.902005,-0.298424
140,0.583333,0.098051,1.742351,-0.194517,0.385925,0.905596,-0.305893,-0.193320,0.902052,-0.298571
141,0.587500,0.098043,1.742214,-0.194207,0.386000,0.905588,-0.305909,-0.193584,0.902115,-0.298636
142,0.591667,0.098063,1.742212,-0.194175,0.386067,0.905579,-0.305929,-0.193795,0.902152,-0.298636
143,0.595833,0.098068,1.742204,-0.194167,0.386152,0.905576,-0.305959,-0.193948,0.902195,-0.298708
144,0.600000,0.098096,1.742200,-0.194134,0.386221,0.905574,-0.305981,-0.194142,0.902188,-0.298703
145,0.604167,0.098108,1.742199,-0.194115,0.386400,0.905462,-0.306344,-0.194534,0.902397,-0.299061
146,0.608333,0.098140,1.742197,-0.194112,0.386662,0.905452,-0.306524,-0.194700,0.902448,-0.299138
147,0.612500,0.098148,1.742198,-0.194072,0.386836,0.905353,-0.306609,-0.194860,0.902488,-0.299193
148,0.616667,0.098153,1.742192,-0.194057,0.386850,0.905376,-0.306602,-0.195109,0.902573,-0.299156
149,0.620833,0.098168,1.742192,-0.194044,0.386937,0.905376,-0.306644,-0.195390,0.902774,-0.299296
150,0.625000,0.098209,1.742187,-0.194028,0.387026,0.905376,-0.306675,-0.195559,0.902809,-0.299365
151,0.629167,0.098221,1.742175,-0.194014,0.387117,0.905380,-0.306730,-0.195729,0.902859,-0.299421
152,0.633333,0.098240,1.742162,-0.193988,0.387211,0.905386,-0.306777,-0.195900,0.902924,-0.299463
153,0.637500,0.098253,1.742162,-0.193952,0.387310,0.905391,-0.306823,-0.196081,0.903029,-0.299743
154,0.641667,0.098271,1.742154,-0.193942,0.387418,0.905404,-0.306862,-0.196214,0.902961,-0.299711
155,0.645833,0.098286,1.742156,-0.193920,0.387704,0.905449,-0.306912,-0.196453,0.902896,-0.299819
156,0.650000,0.098299,1.742139,-0.193902,0.387816,0.905461,-0.306968,-0.196736,0.902986,-0.299857
157,0.654167,0.098308,1.742140,-0.193865,0.388111,0.905585,-0.306813,-0.196901,0.903038,-0.299915
158,0.658333,0.098332,1.742125,-0.193850,0.388242,0.905597,-0.306866,-0.197078,0.903102,-0.299961
159,0.662500,0.098354,1.742116,-0.193825,0.388437,0.905801,-0.306726,-0.197209,0.903131,-0.300017
160,0.666667,0.098355,1.742127,-0.193802,0.388573,0.905811,-0.306772,-0.197389,0.903194,-0.300060
161,0.670833,0.098309,1.742180,-0.193687,0.388674,0.906024,-0.306979,-0.197726,0.903385,-0.300361
162,0.675000,0.098305,1.742179,-0.193657,0.389039,0.906391,-0.307152,-0.197856,0.903502,-0.300384
163,0.679167,0.098335,1.742171,-0.193636,0.389192,0.906419,-0.307212,-0.198028,0.903568,-0.300416
164,0.683333,0.098343,1.742161,-0.193605,0.389283,0.906489,-0.307169,-0.198307,0.903780,-0.300458
165,0.687500,0.098344,1.742163,-0.193580,0.389453,0.906528,-0.307231,-0.198490,0.903856,-0.300495
166,0.691667,0.098341,1.742153,-0.193535,0.389608,0.906529,-0.307297,-0.198677,0.903924,-0.300515
167,0.695833,0.098360,1.742154,-0.193520,0.389959,0.906544,-0.307531,-0.198851,0.903993,-0.300551
168,0.700000,0.098350,1.742157,-0.193486,0.390061,0.906594,-0.307556,-0.199076,0.904014,-0.300599
169,0.704167,0.098391,1.742151,-0.193467,0.390240,0.906611,-0.307642,-0.199229,0.904159,-0.300598
170,0.708333,0.098381,1.742147,-0.193430,0.390513,0.906516,-0.307768,-0.199564,0.904198,-0.300641
171,0.712500,0.098399,1.742129,-0.193415,0.390696,0.906524,-0.307844,-0.199681,0.904156,-0.300493
172,0.716667,0.098403,1.742140,-0.193375,0.391161,0.906480,-0.308271,-0.199909,0.904180,-0.300531
173,0.720833,0.098409,1.742125,-0.193341,0.391349,0.906494,-0.308359,-0.200094,0.904277,-0.300544
174,0.725000,0.098425,1.742110,-0.193336,0.391538,0.905976,-0.308703,-0.200273,0.904343,-0.300569
175,0.729167,0.098416,1.742098,-0.193283,0.391747,0.905993,-0.308790,-0.200603,0.904454,-0.300407
176,0.733333,0.098438,1.742091,-0.193253,0.391940,0.906024,-0.308878,-0.200744,0.904541,-0.300497
177,0.737500,0.098419,1.742083,-0.193217,0.392139,0.906040,-0.308964,-0.200982,0.904612,-0.300433
178,0.741667,0.098421,1.742064,-0.193187,0.392346,0.906056,-0.309060,-0.201120,0.904744,-0.300430
179,0.745833,0.098447,1.742054,-0.193155,0.392735,0.906056,-0.309298,-0.201592,0.904928,-0.300758
180,0.750000,0.098441,1.742038,-0.193126,0.392907,0.906066,-0.309272,-0.201829,0.905095,-0.300866
181,0.754167,0.098447,1.742033,-0.193083,0.393259,0.906119,-0.309110,-0.202022,0.905162,-0.300879
182,0.758333,0.098441,1.742023,-0.193039,0.393407,0.906165,-0.309166,-0.202166,0.905284,-0.300872
