Format Version,1.23,Take Name,Werikson_IC_Gesto_K_004,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 03.06.07.094 ,Total Frames in Take,1493,Total Exported Frames,1493,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"4650F1AD8F6211EC6E30FC7E4D48E399","4650F1AD8F6211EC6E30FC7E4D48E399","4650F1AD8F6211EC6E30FC7E4D48E399","4650F1AF8F6211EC6E30FC7E4D48E399","4650F1AF8F6211EC6E30FC7E4D48E399","4650F1AF8F6211EC6E30FC7E4D48E399","4650F1B18F6211EC6E30FC7E4D48E399","4650F1B18F6211EC6E30FC7E4D48E399","4650F1B18F6211EC6E30FC7E4D48E399"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.185126,1.756910,-0.295775,0.436068,0.919732,-0.349988,-0.097542,0.898011,-0.347177
1,0.004167,0.185118,1.756906,-0.295764,0.436053,0.919719,-0.350021,-0.097510,0.897975,-0.347217
2,0.008333,0.185122,1.756905,-0.295757,0.436032,0.919713,-0.350061,-0.097514,0.897971,-0.347266
3,0.012500,0.185122,1.756893,-0.295741,0.436016,0.919698,-0.350088,-0.097483,0.897942,-0.347318
4,0.016667,0.185106,1.756901,-0.295738,0.435995,0.919681,-0.350119,-0.097468,0.897924,-0.347372
5,0.020833,0.185141,1.756875,-0.295741,0.435990,0.919678,-0.350152,-0.097450,0.897915,-0.347426
6,0.025000,0.185122,1.756893,-0.295728,0.435974,0.919666,-0.350178,-0.097432,0.897897,-0.347462
7,0.029167,0.185121,1.756877,-0.295714,0.435895,0.919760,-0.350195,-0.097417,0.897880,-0.347528
8,0.033333,0.185126,1.756898,-0.295716,0.435944,0.919658,-0.350237,-0.097377,0.897849,-0.347574
9,0.037500,0.185114,1.756875,-0.295710,0.435927,0.919646,-0.350260,-0.097368,0.897847,-0.347626
10,0.041667,0.185149,1.756881,-0.295696,0.435853,0.919733,-0.350279,-0.097352,0.897835,-0.347673
11,0.045833,0.185133,1.756867,-0.295694,0.435893,0.919628,-0.350322,-0.097322,0.897811,-0.347742
12,0.050000,0.185111,1.756874,-0.295687,0.435825,0.919721,-0.350324,-0.097304,0.897796,-0.347795
13,0.054167,0.185124,1.756867,-0.295680,0.435798,0.919703,-0.350353,-0.097352,0.897738,-0.347828
14,0.058333,0.185117,1.756866,-0.295672,0.435787,0.919704,-0.350388,-0.097327,0.897716,-0.347887
15,0.062500,0.185127,1.756865,-0.295673,0.435779,0.919689,-0.350411,-0.097289,0.897694,-0.347942
16,0.066667,0.185100,1.756867,-0.295655,0.435762,0.919690,-0.350440,-0.097283,0.897677,-0.347993
17,0.070833,0.185158,1.756863,-0.295655,0.435747,0.919688,-0.350462,-0.097279,0.897690,-0.348042
18,0.075000,0.185131,1.756853,-0.295653,0.435739,0.919683,-0.350478,-0.097452,0.898354,-0.348320
19,0.079167,0.185138,1.756841,-0.295645,0.435728,0.919677,-0.350502,-0.097233,0.897641,-0.348149
20,0.083333,0.185113,1.756841,-0.295624,0.435723,0.919673,-0.350530,-0.097241,0.897643,-0.348204
21,0.087500,0.185120,1.756844,-0.295620,0.435712,0.919658,-0.350546,-0.096899,0.897551,-0.348419
22,0.091667,0.185131,1.756837,-0.295620,0.435763,0.919558,-0.350588,-0.097194,0.897608,-0.348321
23,0.095833,0.185127,1.756823,-0.295620,0.435694,0.919649,-0.350590,-0.097381,0.898274,-0.348588
24,0.100000,0.185136,1.756829,-0.295602,0.435683,0.919632,-0.350609,-0.096852,0.897510,-0.348600
25,0.104167,0.185141,1.756820,-0.295599,0.435732,0.919523,-0.350653,-0.096854,0.897497,-0.348648
26,0.108333,0.185167,1.756830,-0.295599,0.435660,0.919608,-0.350663,-0.096838,0.897637,-0.349025
27,0.112500,0.185143,1.756826,-0.295576,0.435651,0.919606,-0.350680,-0.096831,0.897639,-0.349083
28,0.116667,0.185127,1.756816,-0.295574,0.435651,0.919590,-0.350695,-0.097002,0.898302,-0.349358
