Format Version,1.23,Take Name,Werikson_IC_Gesto_M_002,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 03.25.38.590 ,Total Frames in Take,1981,Total Exported Frames,1981,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"41D4BD68F5111EC6E30FC7E4D48E399","41D4BD68F5111EC6E30FC7E4D48E399","41D4BD68F5111EC6E30FC7E4D48E399","41D4BD88F5111EC6E30FC7E4D48E399","41D4BD88F5111EC6E30FC7E4D48E399","41D4BD88F5111EC6E30FC7E4D48E399","41D4BDA8F5111EC6E30FC7E4D48E399","41D4BDA8F5111EC6E30FC7E4D48E399","41D4BDA8F5111EC6E30FC7E4D48E399"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.110945,1.759903,-0.320836,0.374104,0.916298,-0.370929,-0.131724,0.895864,-0.355731
1,0.004167,0.110938,1.759910,-0.320851,0.374087,0.916294,-0.370893,-0.132220,0.896135,-0.355141
2,0.008333,0.110920,1.759905,-0.320862,0.374060,0.916286,-0.370857,-0.132715,0.896406,-0.354552
3,0.012500,0.110896,1.759918,-0.320868,0.374038,0.916284,-0.370817,-0.133054,0.896605,-0.354130
4,0.016667,0.110600,1.759926,-0.320864,0.374013,0.916279,-0.370785,-0.133157,0.896693,-0.353959
5,0.020833,0.110580,1.759921,-0.320870,0.373983,0.916280,-0.370751,-0.133075,0.896687,-0.353993
6,0.025000,0.110536,1.759914,-0.320870,0.373958,0.916271,-0.370711,-0.133122,0.896733,-0.353897
7,0.029167,0.110497,1.759907,-0.320889,0.373930,0.916273,-0.370658,-0.133094,0.896772,-0.353870
8,0.033333,0.110461,1.759918,-0.320892,0.373896,0.916261,-0.370627,-0.132952,0.896797,-0.353938
9,0.037500,0.110401,1.759909,-0.320900,0.373871,0.916255,-0.370585,-0.132799,0.896809,-0.354026
10,0.041667,0.110349,1.759900,-0.320895,0.373848,0.916249,-0.370543,-0.132785,0.896826,-0.354004
11,0.045833,0.109843,1.759985,-0.321236,0.373813,0.916247,-0.370501,-0.132811,0.896906,-0.353911
12,0.050000,0.109779,1.759977,-0.321249,0.373789,0.916248,-0.370451,-0.132741,0.897051,-0.353845
13,0.054167,0.109720,1.759956,-0.321251,0.373752,0.916235,-0.370405,-0.132665,0.897212,-0.353808
14,0.058333,0.109641,1.759960,-0.321245,0.373624,0.916205,-0.370267,-0.132657,0.897293,-0.353807
15,0.062500,0.109581,1.759943,-0.321246,0.373593,0.916198,-0.370215,-0.132644,0.897304,-0.353708
16,0.066667,0.109429,1.759746,-0.321294,0.373564,0.916203,-0.370158,-0.132561,0.897318,-0.353459
17,0.070833,0.108966,1.759602,-0.321061,0.373525,0.916195,-0.370098,-0.132681,0.897420,-0.353611
18,0.075000,0.108891,1.759592,-0.321055,0.373480,0.916187,-0.370049,-0.133077,0.897640,-0.354363
19,0.079167,0.108827,1.759587,-0.321061,0.373450,0.916184,-0.369993,-0.132735,0.897557,-0.353496
20,0.083333,0.108764,1.759566,-0.321042,0.373399,0.916183,-0.369939,-0.131278,0.897009,-0.350209
21,0.087500,0.108718,1.759556,-0.321052,0.373355,0.916175,-0.369876,-0.132763,0.897681,-0.353396
22,0.091667,0.108666,1.759539,-0.321058,0.373315,0.916173,-0.369819,-0.138672,0.900190,-0.366287
23,0.095833,0.108597,1.759517,-0.321063,0.373280,0.916181,-0.369745,-0.140665,0.901065,-0.370545
24,0.100000,0.108544,1.759507,-0.321056,0.373229,0.916187,-0.369687,-0.132843,0.897861,-0.353231
25,0.104167,0.108484,1.759494,-0.321061,0.373171,0.916185,-0.369612,-0.136835,0.899566,-0.361801
