Format Version,1.23,Take Name,Werikson_IC_Gesto_N,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 03.26.30.661 ,Total Frames in Take,1436,Total Exported Frames,1436,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"269B9F948B7211EC6E30FC7E4D48E199","269B9F948B7211EC6E30FC7E4D48E199","269B9F948B7211EC6E30FC7E4D48E199","2CA76E438B7211EC6E30FC7E4D48E199","2CA76E438B7211EC6E30FC7E4D48E199","2CA76E438B7211EC6E30FC7E4D48E199","2CA76E458B7211EC6E30FC7E4D48E199","2CA76E458B7211EC6E30FC7E4D48E199","2CA76E458B7211EC6E30FC7E4D48E199"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.091012,1.743952,-0.299317,0.335318,0.908197,-0.398325,-0.162695,0.891576,-0.389260
1,0.004167,0.091014,1.743946,-0.299276,0.335354,0.908193,-0.398356,-0.162703,0.891575,-0.389282
2,0.008333,0.090995,1.743932,-0.299229,0.335516,0.908235,-0.398492,-0.162619,0.891265,-0.389470
3,0.012500,0.090975,1.743934,-0.299172,0.335544,0.908205,-0.398524,-0.162764,0.891609,-0.389345
4,0.016667,0.090974,1.743923,-0.299131,0.335598,0.908190,-0.398555,-0.162775,0.891606,-0.389384
5,0.020833,0.090975,1.743905,-0.299091,0.335637,0.908172,-0.398576,-0.162766,0.891422,-0.389215
6,0.025000,0.091098,1.744022,-0.299092,0.335684,0.908150,-0.398616,-0.162787,0.891433,-0.389242
7,0.029167,0.091120,1.744006,-0.299049,0.335715,0.908134,-0.398650,-0.162798,0.891429,-0.389289
8,0.033333,0.091106,1.744008,-0.298995,0.335758,0.908120,-0.398674,-0.162829,0.891450,-0.389324
9,0.037500,0.091089,1.743989,-0.298950,0.335795,0.908095,-0.398701,-0.162859,0.891461,-0.389365
10,0.041667,0.090508,1.743950,-0.298657,0.335832,0.908075,-0.398724,-0.162883,0.891482,-0.389414
