Format Version,1.23,Take Name,Werikson_IC_Gesto_N_001,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 03.26.39.626 ,Total Frames in Take,1500,Total Exported Frames,1500,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"F2EF8D7C8B6F11EC6E30FC7E4D48E199","F2EF8D7C8B6F11EC6E30FC7E4D48E199","F2EF8D7C8B6F11EC6E30FC7E4D48E199","F2EF8D7E8B6F11EC6E30FC7E4D48E199","F2EF8D7E8B6F11EC6E30FC7E4D48E199","F2EF8D7E8B6F11EC6E30FC7E4D48E199","F2EF8D808B6F11EC6E30FC7E4D48E199","F2EF8D808B6F11EC6E30FC7E4D48E199","F2EF8D808B6F11EC6E30FC7E4D48E199"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.095426,1.750140,-0.307206,0.333368,0.907665,-0.394972,-0.168822,0.891795,-0.418655
1,0.004167,0.095290,1.750192,-0.307132,0.333418,0.907672,-0.394908,-0.168719,0.891763,-0.418715
2,0.008333,0.095282,1.750163,-0.307047,0.333472,0.907676,-0.394852,-0.168629,0.891722,-0.418765
3,0.012500,0.095450,1.749939,-0.306899,0.333506,0.907677,-0.394802,-0.168432,0.891446,-0.419084
4,0.016667,0.095345,1.749568,-0.306805,0.333562,0.907676,-0.394737,-0.168348,0.891421,-0.419130
5,0.020833,0.095329,1.749545,-0.306734,0.333608,0.907682,-0.394696,-0.168257,0.891401,-0.419181
6,0.025000,0.095341,1.749529,-0.306646,0.333650,0.907684,-0.394647,-0.168174,0.891365,-0.419237
7,0.029167,0.095321,1.749505,-0.306553,0.333695,0.907676,-0.394607,-0.168093,0.891335,-0.419281
8,0.033333,0.095445,1.749628,-0.306486,0.333739,0.907685,-0.394565,-0.168015,0.891321,-0.419329
9,0.037500,0.095426,1.749613,-0.306418,0.333951,0.907800,-0.394316,-0.167942,0.891311,-0.419370
10,0.041667,0.095452,1.749593,-0.306346,0.333825,0.907688,-0.394487,-0.167863,0.891274,-0.419419
11,0.045833,0.095453,1.749575,-0.306276,0.334035,0.907810,-0.394237,-0.167785,0.891259,-0.419466
12,0.050000,0.095458,1.749554,-0.306183,0.334268,0.907881,-0.393906,-0.167740,0.891250,-0.419506
13,0.054167,0.095093,1.749402,-0.305885,0.334308,0.907879,-0.393885,-0.167669,0.891228,-0.419547
14,0.058333,0.095086,1.749386,-0.305805,0.334340,0.907885,-0.393862,-0.167612,0.891227,-0.419583
15,0.062500,0.095055,1.749385,-0.305527,0.334366,0.907877,-0.393819,-0.167561,0.891218,-0.419608
16,0.066667,0.095058,1.749359,-0.305452,0.334402,0.907883,-0.393796,-0.167504,0.891279,-0.419577
17,0.070833,0.095121,1.749475,-0.305439,0.334430,0.907900,-0.393772,-0.167465,0.891284,-0.419600
18,0.075000,0.095141,1.749447,-0.305342,0.334387,0.907690,-0.393992,-0.167421,0.891273,-0.419627
19,0.079167,0.095161,1.749422,-0.305277,0.334492,0.907896,-0.393724,-0.167386,0.891268,-0.419643
20,0.083333,0.095093,1.749239,-0.304884,0.334512,0.907898,-0.393691,-0.167286,0.891348,-0.420018
21,0.087500,0.095107,1.749221,-0.304812,0.334546,0.907908,-0.393680,-0.167250,0.891341,-0.420042
22,0.091667,0.095116,1.749206,-0.304726,0.334738,0.907937,-0.393665,-0.167242,0.891339,-0.420050
23,0.095833,0.095117,1.749184,-0.304656,0.334752,0.907933,-0.393639,-0.167223,0.891344,-0.420067
24,0.100000,0.095470,1.748871,-0.304271,0.334628,0.907904,-0.393619,-0.167223,0.891341,-0.420072
25,0.104167,0.095473,1.748854,-0.304182,0.334799,0.907941,-0.393610,-0.167213,0.891346,-0.420067
26,0.108333,0.095485,1.748833,-0.304120,0.334880,0.907866,-0.393707,-0.167219,0.891346,-0.420079
27,0.112500,0.095478,1.748811,-0.304045,0.334845,0.907925,-0.393581,-0.167221,0.891352,-0.420074
28,0.116667,0.095499,1.748784,-0.303977,0.334927,0.907859,-0.393687,-0.167241,0.891353,-0.420064
29,0.120833,0.095497,1.748784,-0.303904,0.334884,0.907910,-0.393575,-0.167269,0.891371,-0.420037
30,0.125000,0.095505,1.748759,-0.303836,0.334961,0.907846,-0.393689,-0.167290,0.891368,-0.420038
31,0.129167,0.095509,1.748743,-0.303762,0.334914,0.907890,-0.393579,-0.167327,0.891380,-0.420017
32,0.133333,0.095506,1.748719,-0.303700,0.334938,0.907883,-0.393587,-0.167444,0.891322,-0.419644
33,0.137500,0.095521,1.748706,-0.303632,0.334954,0.907876,-0.393582,-0.167487,0.891320,-0.419627
34,0.141667,0.095486,1.748698,-0.303367,0.335017,0.907800,-0.393696,-0.167542,0.891330,-0.419600
