Format Version,1.23,Take Name,Werikson_IC_Gesto_A_1_001,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.17.02.503 ,Total Frames in Take,1554,Total Exported Frames,1282,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"6A4BC1AC8B6111EC6E30FC7E4D48E199","6A4BC1AC8B6111EC6E30FC7E4D48E199","6A4BC1AC8B6111EC6E30FC7E4D48E199","6A4BC1AD8B6111EC6E30FC7E4D48E199","6A4BC1AD8B6111EC6E30FC7E4D48E199","6A4BC1AD8B6111EC6E30FC7E4D48E199","6A4BC1AE8B6111EC6E30FC7E4D48E199","6A4BC1AE8B6111EC6E30FC7E4D48E199","6A4BC1AE8B6111EC6E30FC7E4D48E199"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
119,0.495833,-0.025546,1.701834,0.012383,0.346415,0.921554,-0.111680,-0.208099,0.900764,-0.170343
120,0.500000,-0.025572,1.701829,0.012407,0.346414,0.921551,-0.111701,-0.208087,0.900764,-0.170345
121,0.504167,-0.025575,1.701811,0.012433,0.346326,0.921606,-0.111654,-0.208068,0.900765,-0.170350
122,0.508333,-0.025603,1.701796,0.012471,0.346200,0.921405,-0.111109,-0.208016,0.900808,-0.170558
123,0.512500,-0.025600,1.701815,0.012710,0.346402,0.921534,-0.111779,-0.208007,0.900815,-0.170562
124,0.516667,-0.025610,1.701801,0.012750,0.346308,0.921593,-0.111728,-0.207995,0.900803,-0.170564
125,0.520833,-0.025619,1.701787,0.012775,0.346317,0.921596,-0.111738,-0.208005,0.900747,-0.170371
126,0.525000,-0.025865,1.701825,0.012947,0.346345,0.921829,-0.111410,-0.207969,0.900792,-0.170573
127,0.529167,-0.025877,1.701811,0.012989,0.346349,0.921830,-0.111433,-0.207961,0.900786,-0.170577
128,0.533333,-0.025893,1.701798,0.013014,0.346351,0.921828,-0.111446,-0.207947,0.900778,-0.170578
129,0.537500,-0.026236,1.701861,0.013041,0.346198,0.921372,-0.111252,-0.207937,0.900786,-0.170587
130,0.541667,-0.025916,1.701775,0.013078,0.346363,0.921806,-0.111492,-0.207924,0.900775,-0.170594
131,0.545833,-0.026245,1.701847,0.013102,0.346209,0.921373,-0.111299,-0.207921,0.900773,-0.170597
132,0.550000,-0.026271,1.701405,0.013234,0.346217,0.921370,-0.111304,-0.207912,0.900773,-0.170601
133,0.554167,-0.026300,1.701395,0.013262,0.346395,0.921791,-0.111551,-0.207903,0.900775,-0.170610
134,0.558333,-0.026286,1.701388,0.013293,0.346244,0.921348,-0.111352,-0.207936,0.900712,-0.170415
135,0.562500,-0.026309,1.701388,0.013317,0.346404,0.921775,-0.111600,-0.207888,0.900755,-0.170624
136,0.566667,-0.026315,1.701365,0.013338,0.346415,0.921775,-0.111609,-0.207887,0.900754,-0.170636
137,0.570833,-0.026320,1.701364,0.013363,0.346268,0.921333,-0.111403,-0.207887,0.900752,-0.170643
138,0.575000,-0.026336,1.701353,0.013393,0.346277,0.921325,-0.111422,-0.207886,0.900749,-0.170651
139,0.579167,-0.026337,1.701346,0.013420,0.346293,0.921313,-0.111438,-0.207876,0.900735,-0.170657
140,0.583333,-0.026362,1.701332,0.013450,0.346299,0.921303,-0.111460,-0.207878,0.900735,-0.170661
141,0.587500,-0.026360,1.701316,0.013485,0.346467,0.921736,-0.111691,-0.207884,0.900724,-0.170676
142,0.591667,-0.026377,1.701306,0.013506,0.346320,0.921304,-0.111486,-0.207871,0.900720,-0.170687
143,0.595833,-0.026381,1.701298,0.013537,0.346330,0.921289,-0.111500,-0.207870,0.900716,-0.170690
144,0.600000,-0.026385,1.701294,0.013563,0.346334,0.921288,-0.111518,-0.207870,0.900718,-0.170701
145,0.604167,-0.026411,1.701285,0.013588,0.346359,0.921286,-0.111510,-0.207881,0.900709,-0.170713
146,0.608333,-0.026407,1.701274,0.013617,0.346374,0.921282,-0.111532,-0.207874,0.900703,-0.170730
147,0.612500,-0.026383,1.701153,0.013692,0.346542,0.921720,-0.111762,-0.207871,0.900699,-0.170742
148,0.616667,-0.026395,1.701141,0.013718,0.346557,0.921711,-0.111772,-0.207877,0.900687,-0.170752
149,0.620833,-0.026396,1.701142,0.013733,0.346576,0.921715,-0.111779,-0.207882,0.900690,-0.170766
150,0.625000,-0.026411,1.701128,0.013753,0.346423,0.921274,-0.111561,-0.207893,0.900683,-0.170776
151,0.629167,-0.026424,1.701111,0.013762,0.346445,0.921259,-0.111582,-0.208018,0.900715,-0.170950
152,0.633333,-0.026427,1.701118,0.013798,0.346461,0.921267,-0.111597,-0.207902,0.900670,-0.170797
153,0.637500,-0.026435,1.701112,0.013815,0.346482,0.921268,-0.111598,-0.207905,0.900659,-0.170809
154,0.641667,-0.026439,1.701104,0.013832,0.346658,0.921698,-0.111835,-0.208035,0.900696,-0.170985
155,0.645833,-0.026482,1.701035,0.014100,0.346680,0.921710,-0.111847,-0.208034,0.900684,-0.170999
156,0.650000,-0.026305,1.701042,0.013978,0.346690,0.921699,-0.111860,-0.208036,0.900680,-0.171012
157,0.654167,-0.026316,1.701044,0.014001,0.346711,0.921704,-0.111861,-0.208047,0.900681,-0.171031
158,0.658333,-0.026324,1.701018,0.014024,0.346723,0.921713,-0.111858,-0.208060,0.900677,-0.171027
159,0.662500,-0.026304,1.701088,0.014026,0.346746,0.921705,-0.111879,-0.208057,0.900673,-0.171055
160,0.666667,-0.026349,1.701025,0.014066,0.346757,0.921715,-0.111872,-0.208067,0.900667,-0.171066
161,0.670833,-0.026325,1.701065,0.014060,0.346764,0.921701,-0.111886,-0.208068,0.900665,-0.171083
162,0.675000,-0.026240,1.701019,0.014111,0.346780,0.921717,-0.111882,-0.208011,0.900623,-0.171176
163,0.679167,-0.026329,1.701153,0.013985,0.346789,0.921722,-0.111891,-0.208012,0.900617,-0.171196
164,0.683333,-0.026433,1.701198,0.013985,0.346807,0.921723,-0.111903,-0.208023,0.900618,-0.171213
165,0.687500,-0.026358,1.701041,0.014124,0.346809,0.921721,-0.111913,-0.208025,0.900610,-0.171235
166,0.691667,-0.026362,1.701143,0.014046,0.346824,0.921723,-0.111919,-0.208032,0.900602,-0.171250
167,0.695833,-0.026349,1.701126,0.014054,0.346830,0.921723,-0.111914,-0.208040,0.900601,-0.171259
168,0.700000,-0.026356,1.701125,0.014074,0.346847,0.921725,-0.111933,-0.208046,0.900595,-0.171289
169,0.704167,-0.026373,1.701111,0.014095,0.346852,0.921714,-0.111935,-0.208059,0.900587,-0.171300
170,0.708333,-0.026381,1.701107,0.014111,0.346860,0.921719,-0.111935,-0.208069,0.900587,-0.171314
171,0.712500,-0.026492,1.701147,0.014103,0.346868,0.921719,-0.111947,-0.208071,0.900582,-0.171338
172,0.716667,-0.026490,1.701144,0.014128,0.346878,0.921720,-0.111937,-0.208078,0.900573,-0.171351
173,0.720833,-0.026394,1.701094,0.014170,0.346887,0.921716,-0.111949,-0.208094,0.900567,-0.171372
174,0.725000,-0.026399,1.701086,0.014184,0.346889,0.921718,-0.111963,-0.208104,0.900570,-0.171378
175,0.729167,-0.026425,1.701079,0.014201,0.346895,0.921721,-0.111960,-0.208101,0.900561,-0.171408
176,0.733333,-0.026411,1.701072,0.014225,0.346897,0.921713,-0.111961,-0.208118,0.900560,-0.171414
