Format Version,1.23,Take Name,Werikson_IC_Gesto_B_001,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.22.19.067 ,Total Frames in Take,1771,Total Exported Frames,1557,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"51EDED41958911EC6E30FC7E4D48E999","51EDED41958911EC6E30FC7E4D48E999","51EDED41958911EC6E30FC7E4D48E999","51EDED43958911EC6E30FC7E4D48E999","51EDED43958911EC6E30FC7E4D48E999","51EDED43958911EC6E30FC7E4D48E999","51EDED45958911EC6E30FC7E4D48E999","51EDED45958911EC6E30FC7E4D48E999","51EDED45958911EC6E30FC7E4D48E999"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
94,0.391667,0.062075,1.706755,-0.131475,0.424650,0.919502,-0.227140,-0.172025,0.902051,-0.277569
95,0.395833,0.062081,1.706748,-0.131475,0.424626,0.919475,-0.227128,-0.171999,0.902032,-0.277584
96,0.400000,0.062092,1.706757,-0.131447,0.424600,0.919458,-0.227133,-0.171964,0.902020,-0.277582
97,0.404167,0.062084,1.706738,-0.131429,0.424584,0.919443,-0.227108,-0.171940,0.902014,-0.277581
98,0.408333,0.062097,1.706740,-0.131428,0.424568,0.919428,-0.227106,-0.171895,0.901987,-0.277588
99,0.412500,0.062096,1.706734,-0.131407,0.424547,0.919416,-0.227104,-0.171858,0.901967,-0.277598
100,0.416667,0.062110,1.706731,-0.131401,0.424521,0.919396,-0.227095,-0.171813,0.901959,-0.277602
101,0.420833,0.062110,1.706729,-0.131387,0.424499,0.919378,-0.227096,-0.171767,0.901938,-0.277598
102,0.425000,0.062113,1.706742,-0.131368,0.424478,0.919370,-0.227084,-0.171721,0.901924,-0.277602
103,0.429167,0.062145,1.706739,-0.131363,0.424465,0.919355,-0.227087,-0.171681,0.901902,-0.277604
104,0.433333,0.062136,1.706744,-0.131355,0.424449,0.919346,-0.227074,-0.171636,0.901882,-0.277599
105,0.437500,0.062152,1.706743,-0.131346,0.424428,0.919331,-0.227073,-0.171578,0.901864,-0.277601
106,0.441667,0.062159,1.706743,-0.131319,0.424404,0.919321,-0.227076,-0.171517,0.901844,-0.277598
107,0.445833,0.062178,1.706751,-0.131325,0.424400,0.919315,-0.227067,-0.171874,0.902292,-0.278184
108,0.450000,0.062188,1.706757,-0.131303,0.424385,0.919311,-0.227061,-0.171400,0.901809,-0.277595
109,0.454167,0.062183,1.706762,-0.131296,0.424382,0.919298,-0.227061,-0.171336,0.901790,-0.277585
110,0.458333,0.062201,1.706763,-0.131271,0.424356,0.919282,-0.227067,-0.171267,0.901774,-0.277582
111,0.462500,0.062191,1.706768,-0.131283,0.424358,0.919282,-0.227061,-0.171211,0.901749,-0.277573
112,0.466667,0.062079,1.706660,-0.131241,0.424340,0.919283,-0.227062,-0.171138,0.901730,-0.277556
113,0.470833,0.062210,1.706794,-0.131253,0.424345,0.919274,-0.227058,-0.171070,0.901725,-0.277543
114,0.475000,0.062093,1.706678,-0.131225,0.424343,0.919285,-0.227056,-0.171011,0.901717,-0.277517
115,0.479167,0.062098,1.706680,-0.131212,0.424345,0.919285,-0.227063,-0.170954,0.901708,-0.277501
116,0.483333,0.062236,1.706805,-0.131238,0.424343,0.919294,-0.227064,-0.170888,0.901663,-0.277487
117,0.487500,0.062246,1.706798,-0.131234,0.424352,0.919305,-0.227069,-0.170849,0.901662,-0.277469
118,0.491667,0.062100,1.706703,-0.131197,0.424358,0.919328,-0.227082,-0.170808,0.901642,-0.277449
119,0.495833,0.062111,1.706724,-0.131200,0.424373,0.919349,-0.227077,-0.170770,0.901629,-0.277443
120,0.500000,0.062123,1.706722,-0.131201,0.424376,0.919365,-0.227089,-0.170662,0.901605,-0.277515
121,0.504167,0.062113,1.706745,-0.131188,0.424404,0.919381,-0.227104,-0.170704,0.901582,-0.277423
122,0.508333,0.062119,1.706761,-0.131190,0.424414,0.919414,-0.227118,-0.170569,0.901560,-0.277397
123,0.512500,0.062111,1.706770,-0.131165,0.424435,0.919434,-0.227131,-0.170536,0.901538,-0.277412
124,0.516667,0.062131,1.706787,-0.131184,0.424423,0.919527,-0.227029,-0.170516,0.901518,-0.277413
125,0.520833,0.061954,1.706989,-0.131252,0.424446,0.919551,-0.227042,-0.170518,0.901506,-0.277438
126,0.525000,0.062110,1.706812,-0.131164,0.424477,0.919574,-0.227049,-0.170495,0.901485,-0.277460
127,0.529167,0.061946,1.707018,-0.131251,0.424520,0.919610,-0.227054,-0.170486,0.901464,-0.277467
128,0.533333,0.062110,1.706836,-0.131183,0.424550,0.919627,-0.227078,-0.170475,0.901454,-0.277496
129,0.537500,0.061978,1.707052,-0.131237,0.424609,0.919659,-0.227085,-0.170454,0.901428,-0.277507
130,0.541667,0.061970,1.707064,-0.131235,0.424657,0.919681,-0.227106,-0.170449,0.901411,-0.277535
131,0.545833,0.061977,1.707075,-0.131233,0.424718,0.919711,-0.227123,-0.170514,0.901451,-0.277603
132,0.550000,0.061981,1.707092,-0.131226,0.424781,0.919735,-0.227150,-0.170428,0.901365,-0.277572
133,0.554167,0.062303,1.707012,-0.131219,0.424849,0.919756,-0.227161,-0.170417,0.901357,-0.277589
134,0.558333,0.061985,1.707114,-0.131216,0.424913,0.919770,-0.227177,-0.170408,0.901334,-0.277619
135,0.562500,0.062000,1.707125,-0.131215,0.424990,0.919795,-0.227203,-0.170847,0.901778,-0.278278
136,0.566667,0.061989,1.707131,-0.131213,0.425074,0.919808,-0.227230,-0.170392,0.901303,-0.277658
137,0.570833,0.062003,1.707142,-0.131222,0.425179,0.919839,-0.227251,-0.170393,0.901292,-0.277675
138,0.575000,0.062010,1.707144,-0.131211,0.425276,0.919852,-0.227282,-0.170847,0.901737,-0.278339
139,0.579167,0.062356,1.707070,-0.131200,0.425381,0.919868,-0.227318,-0.170901,0.901782,-0.278385
140,0.583333,0.062016,1.707165,-0.131187,0.425580,0.919836,-0.227275,-0.170844,0.901727,-0.278387
141,0.587500,0.062369,1.707092,-0.131173,0.425782,0.919899,-0.227399,-0.170853,0.901717,-0.278388
142,0.591667,0.062348,1.707088,-0.131179,0.425911,0.919918,-0.227444,-0.170846,0.901703,-0.278421
143,0.595833,0.062035,1.707186,-0.131181,0.426032,0.919935,-0.227480,-0.170858,0.901698,-0.278436
144,0.600000,0.062051,1.707190,-0.131185,0.426380,0.920050,-0.227488,-0.170872,0.901698,-0.278454
145,0.604167,0.062396,1.707110,-0.131152,0.426505,0.920068,-0.227529,-0.170887,0.901700,-0.278490
146,0.608333,0.062398,1.707110,-0.131156,0.426696,0.919933,-0.227558,-0.171003,0.901706,-0.278505
147,0.612500,0.062404,1.707118,-0.131154,0.426765,0.920087,-0.227613,-0.171007,0.901712,-0.278538
148,0.616667,0.062431,1.707128,-0.131145,0.426968,0.919972,-0.227645,-0.170939,0.901695,-0.278582
149,0.620833,0.062433,1.707133,-0.131138,0.427101,0.919986,-0.227684,-0.171063,0.901716,-0.278600
150,0.625000,0.062447,1.707133,-0.131128,0.427250,0.920000,-0.227715,-0.171069,0.901714,-0.278640
151,0.629167,0.062461,1.707144,-0.131128,0.427781,0.920440,-0.227228,-0.171106,0.901715,-0.278663
152,0.633333,0.062471,1.707152,-0.131109,0.427885,0.920487,-0.227233,-0.171133,0.901722,-0.278710
153,0.637500,0.062494,1.707154,-0.131106,0.427967,0.919868,-0.227715,-0.171156,0.901719,-0.278742
154,0.641667,0.062516,1.707154,-0.131099,0.428125,0.919880,-0.227744,-0.171182,0.901712,-0.278765
155,0.645833,0.062489,1.707161,-0.131103,0.428276,0.919910,-0.227779,-0.171212,0.901721,-0.278814
156,0.650000,0.062522,1.707176,-0.131088,0.428442,0.919940,-0.227801,-0.170826,0.901242,-0.278244
157,0.654167,0.062518,1.707183,-0.131078,0.428604,0.919966,-0.227818,-0.170870,0.901247,-0.278278
158,0.658333,0.062514,1.707188,-0.131076,0.428953,0.920364,-0.228024,-0.170903,0.901255,-0.278313
159,0.662500,0.062583,1.707279,-0.131145,0.429149,0.920113,-0.227831,-0.170934,0.901254,-0.278355
160,0.666667,0.062575,1.707272,-0.131151,0.429363,0.920479,-0.228142,-0.170997,0.901268,-0.278398
161,0.670833,0.062608,1.707297,-0.131132,0.429566,0.920404,-0.228560,-0.171046,0.901272,-0.278428
162,0.675000,0.062584,1.707217,-0.131068,0.429708,0.920548,-0.228194,-0.171098,0.901272,-0.278478
163,0.679167,0.062607,1.707315,-0.131129,0.429890,0.920590,-0.228214,-0.171147,0.901296,-0.278514
164,0.683333,0.062627,1.707320,-0.131128,0.430105,0.920526,-0.228626,-0.171329,0.901072,-0.278523
165,0.687500,0.062622,1.707322,-0.131140,0.430295,0.920558,-0.228645,-0.171424,0.901160,-0.278884
166,0.691667,0.062641,1.707338,-0.131122,0.430482,0.920593,-0.228655,-0.171501,0.901104,-0.278840
167,0.695833,0.062649,1.707339,-0.131130,0.430640,0.920699,-0.228539,-0.171539,0.901191,-0.278960
168,0.700000,0.062643,1.707341,-0.131135,0.430820,0.920725,-0.228535,-0.171599,0.901205,-0.279002
169,0.704167,0.062650,1.707353,-0.131124,0.431231,0.920847,-0.228519,-0.171654,0.901208,-0.279044
170,0.708333,0.062665,1.707365,-0.131124,0.431421,0.920879,-0.228533,-0.171714,0.901218,-0.279096
171,0.712500,0.062684,1.707365,-0.131112,0.431595,0.920909,-0.228541,-0.171766,0.901239,-0.279127
172,0.716667,0.062752,1.707292,-0.131226,0.432321,0.921211,-0.228113,-0.171820,0.901254,-0.279166
173,0.720833,0.062678,1.707374,-0.131131,0.432502,0.921251,-0.228130,-0.171888,0.901268,-0.279202
174,0.725000,0.062676,1.707396,-0.131113,0.432673,0.921263,-0.228143,-0.171939,0.901273,-0.279245
175,0.729167,0.062705,1.707397,-0.131117,0.432932,0.921352,-0.228245,-0.172006,0.901298,-0.279273
176,0.733333,0.062769,1.707319,-0.131221,0.433105,0.921382,-0.228268,-0.172060,0.901316,-0.279316
177,0.737500,0.062780,1.707331,-0.131213,0.433127,0.921160,-0.228548,-0.172118,0.901333,-0.279343
178,0.741667,0.062800,1.707334,-0.131206,0.433295,0.921180,-0.228576,-0.172182,0.901354,-0.279370
179,0.745833,0.062705,1.707415,-0.131086,0.433459,0.921212,-0.228593,-0.172241,0.901361,-0.279398
180,0.750000,0.062726,1.707415,-0.131088,0.433623,0.921252,-0.228615,-0.172300,0.901389,-0.279413
181,0.754167,0.062806,1.707340,-0.131191,0.434021,0.921364,-0.228595,-0.172350,0.901403,-0.279424
182,0.758333,0.062808,1.707340,-0.131186,0.434183,0.921404,-0.228629,-0.172404,0.901414,-0.279446
183,0.762500,0.062810,1.707346,-0.131177,0.434348,0.921441,-0.228660,-0.172458,0.901437,-0.279449
184,0.766667,0.062821,1.707359,-0.131169,0.434513,0.921474,-0.228691,-0.172510,0.901448,-0.279467
185,0.770833,0.062810,1.707356,-0.131156,0.434630,0.921593,-0.228594,-0.172559,0.901469,-0.279478
186,0.775000,0.062810,1.707360,-0.131154,0.434782,0.921624,-0.228628,-0.172627,0.901488,-0.279494
187,0.779167,0.062741,1.707432,-0.131040,0.434940,0.921655,-0.228648,-0.172667,0.901503,-0.279503
188,0.783333,0.062803,1.707363,-0.131130,0.435095,0.921692,-0.228684,-0.172727,0.901517,-0.279514
189,0.787500,0.062814,1.707360,-0.131126,0.435245,0.921739,-0.228705,-0.172778,0.901537,-0.279531
190,0.791667,0.062801,1.707354,-0.131120,0.435797,0.922207,-0.228203,-0.172837,0.901556,-0.279551
191,0.795833,0.062762,1.707377,-0.130906,0.435936,0.922239,-0.228243,-0.172885,0.901570,-0.279560
192,0.800000,0.062758,1.707375,-0.130895,0.436161,0.922331,-0.228343,-0.172943,0.901584,-0.279584
193,0.804167,0.062769,1.707341,-0.131087,0.436302,0.922378,-0.228372,-0.172995,0.901595,-0.279604
194,0.808333,0.062759,1.707346,-0.131088,0.436694,0.922516,-0.228350,-0.173631,0.902160,-0.280301
195,0.812500,0.062734,1.707371,-0.130849,0.436829,0.922552,-0.228383,-0.173681,0.902173,-0.280321
196,0.816667,0.062714,1.707367,-0.130854,0.436964,0.922602,-0.228416,-0.173727,0.902185,-0.280335
197,0.820833,0.062704,1.707359,-0.130827,0.437107,0.922657,-0.228440,-0.173777,0.902189,-0.280359
198,0.825000,0.062673,1.707353,-0.130811,0.437363,0.922532,-0.228584,-0.173808,0.902187,-0.280387
199,0.829167,0.062586,1.707414,-0.130707,0.437364,0.922756,-0.228511,-0.173847,0.902188,-0.280416
200,0.833333,0.062640,1.707342,-0.130793,0.437623,0.922630,-0.228654,-0.173866,0.902188,-0.280441
201,0.837500,0.062612,1.707337,-0.130763,0.437751,0.922678,-0.228695,-0.173867,0.902185,-0.280461
202,0.841667,0.062608,1.707320,-0.130740,0.437859,0.922728,-0.228737,-0.173875,0.902168,-0.280492
203,0.845833,0.062590,1.707301,-0.130723,0.437971,0.922771,-0.228775,-0.173853,0.902140,-0.280511
204,0.850000,0.062549,1.707213,-0.130420,0.438067,0.922785,-0.229083,-0.173825,0.902120,-0.280539
205,0.854167,0.062535,1.707212,-0.130400,0.438171,0.922851,-0.228858,-0.173784,0.902101,-0.280547
206,0.858333,0.062501,1.707193,-0.130377,0.438267,0.922898,-0.228906,-0.173730,0.902082,-0.280578
207,0.862500,0.062413,1.707242,-0.130261,0.438438,0.922834,-0.229118,-0.173676,0.902072,-0.280586
208,0.866667,0.062124,1.707248,-0.130350,0.438522,0.922884,-0.229167,-0.173617,0.902049,-0.280611
209,0.870833,0.062170,1.707097,-0.130154,0.438602,0.922935,-0.229215,-0.173456,0.902014,-0.280636
210,0.875000,0.062399,1.707088,-0.130282,0.438683,0.922991,-0.229265,-0.173396,0.902013,-0.280640
211,0.879167,0.062109,1.707031,-0.130120,0.438763,0.923053,-0.229337,-0.173336,0.902009,-0.280659
212,0.883333,0.062080,1.707002,-0.130089,0.438919,0.923178,-0.229487,-0.173278,0.902011,-0.280663
213,0.887500,0.062051,1.706977,-0.130072,0.438977,0.923248,-0.229562,-0.173216,0.902021,-0.280675
214,0.891667,0.062022,1.706935,-0.130046,0.439029,0.923340,-0.229637,-0.173180,0.902036,-0.280673
215,0.895833,0.061989,1.706916,-0.130029,0.439063,0.923417,-0.229727,-0.173130,0.902061,-0.280677
216,0.900000,0.061948,1.706876,-0.130009,0.439353,0.923613,-0.229762,-0.173019,0.902079,-0.280766
217,0.904167,0.061677,1.706845,-0.129811,0.439344,0.924018,-0.230098,-0.172989,0.902108,-0.280766
218,0.908333,0.061647,1.706807,-0.129789,0.439358,0.924120,-0.230201,-0.172973,0.902159,-0.280761
219,0.912500,0.061608,1.706782,-0.129763,0.439118,0.924143,-0.230365,-0.172549,0.901708,-0.279969
220,0.916667,0.061579,1.706765,-0.129741,0.439244,0.924518,-0.230326,-0.172539,0.901752,-0.279950
221,0.920833,0.061550,1.706734,-0.129718,0.438992,0.924544,-0.230507,-0.172526,0.901807,-0.279948
222,0.925000,0.061497,1.706728,-0.129693,0.439226,0.924752,-0.230583,-0.172441,0.901841,-0.280012
223,0.929167,0.061476,1.706706,-0.129654,0.438988,0.924790,-0.230759,-0.172457,0.901902,-0.280004
224,0.933333,0.061450,1.706690,-0.129635,0.438963,0.924884,-0.231161,-0.172556,0.901890,-0.279805
225,0.937500,0.061489,1.706773,-0.129635,0.439042,0.924941,-0.231218,-0.172565,0.901929,-0.279783
226,0.941667,0.061434,1.706745,-0.129605,0.439075,0.925039,-0.231397,-0.172573,0.901996,-0.279739
227,0.945833,0.061322,1.706809,-0.129603,0.439040,0.925153,-0.231553,-0.172603,0.902041,-0.279733
228,0.950000,0.061306,1.706789,-0.129581,0.438955,0.925397,-0.231730,-0.172608,0.902090,-0.279714
229,0.954167,0.061265,1.706789,-0.129560,0.438896,0.925795,-0.232124,-0.172571,0.902092,-0.279701
230,0.958333,0.061238,1.706779,-0.129532,0.438892,0.925830,-0.232430,-0.172524,0.902406,-0.279675
231,0.962500,0.061217,1.706770,-0.129511,0.438860,0.925900,-0.232607,-0.172608,0.902159,-0.279662
232,0.966667,0.061181,1.706771,-0.129475,0.438827,0.925973,-0.232785,-0.172498,0.902415,-0.279657
233,0.970833,0.061153,1.706758,-0.129456,0.438372,0.925593,-0.233518,-0.172531,0.902454,-0.279631
234,0.975000,0.061124,1.706755,-0.129425,0.438336,0.925630,-0.233984,-0.172552,0.902470,-0.279614
235,0.979167,0.061106,1.706755,-0.129404,0.438300,0.925693,-0.234173,-0.172569,0.902491,-0.279596
