Format Version,1.23,Take Name,Werikson_IC_Gesto_C_004,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.25.18.418 ,Total Frames in Take,2346,Total Exported Frames,1246,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"C7CC933D958C11EC6E30FC7E4D48E999","C7CC933D958C11EC6E30FC7E4D48E999","C7CC933D958C11EC6E30FC7E4D48E999","CDC397FC958C11EC6E30FC7E4D48E999","CDC397FC958C11EC6E30FC7E4D48E999","CDC397FC958C11EC6E30FC7E4D48E999","CDC397FE958C11EC6E30FC7E4D48E999","CDC397FE958C11EC6E30FC7E4D48E999","CDC397FE958C11EC6E30FC7E4D48E999"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
1100,4.583333,0.034049,1.736164,-0.132823,0.319466,0.910265,-0.205719,-0.233054,0.913437,-0.240467
1101,4.587500,0.034098,1.736167,-0.132775,0.319598,0.910040,-0.205848,-0.233128,0.913163,-0.240634
1102,4.591667,0.034387,1.736144,-0.132753,0.319641,0.909917,-0.205940,-0.232849,0.912994,-0.242208
1103,4.595833,0.034430,1.736148,-0.132701,0.319649,0.909343,-0.206477,-0.233001,0.912461,-0.241422
1104,4.600000,0.034464,1.736163,-0.132654,0.319710,0.909242,-0.206542,-0.232979,0.912018,-0.241850
1105,4.604167,0.034507,1.736165,-0.132605,0.319717,0.909159,-0.206588,-0.232543,0.911945,-0.244439
1106,4.608333,0.034523,1.736191,-0.132358,0.319772,0.909057,-0.206674,-0.232494,0.911455,-0.243781
1107,4.612500,0.034571,1.736199,-0.132300,0.319860,0.908757,-0.206609,-0.232506,0.911124,-0.244090
1108,4.616667,0.034618,1.736197,-0.132475,0.319933,0.908666,-0.206675,-0.232490,0.910805,-0.244448
1109,4.620833,0.034651,1.736197,-0.132428,0.320012,0.908589,-0.206734,-0.232982,0.909769,-0.243686
1110,4.625000,0.034666,1.736216,-0.132166,0.320102,0.908500,-0.206797,-0.233060,0.909331,-0.244049
1111,4.629167,0.034680,1.736216,-0.132109,0.320175,0.908410,-0.206858,-0.232823,0.908592,-0.244747
1112,4.633333,0.034711,1.736228,-0.132079,0.320258,0.908341,-0.206903,-0.232855,0.908281,-0.245050
1113,4.637500,0.034784,1.736345,-0.132101,0.320415,0.908455,-0.206736,-0.232666,0.908626,-0.246294
1114,4.641667,0.034804,1.736356,-0.132049,0.320500,0.908368,-0.206781,-0.232936,0.907703,-0.245806
1115,4.645833,0.035030,1.736116,-0.132099,0.320539,0.908344,-0.206873,-0.233019,0.907986,-0.246989
1116,4.650000,0.035052,1.736126,-0.132068,0.320580,0.907884,-0.206763,-0.233301,0.907620,-0.247388
1117,4.654167,0.035051,1.736122,-0.132030,0.320665,0.907793,-0.206819,-0.233316,0.907386,-0.247553
1118,4.658333,0.034844,1.736371,-0.131888,0.320944,0.907484,-0.207240,-0.233035,0.906625,-0.248200
1119,4.662500,0.035098,1.736118,-0.131967,0.321027,0.907401,-0.207275,-0.233041,0.906349,-0.248423
1120,4.666667,0.034859,1.736371,-0.131821,0.321104,0.907309,-0.207319,-0.233069,0.906191,-0.248722
1121,4.670833,0.034879,1.736383,-0.131767,0.321170,0.907229,-0.207332,-0.233062,0.905943,-0.248912
1122,4.675000,0.035113,1.736140,-0.131832,0.321241,0.907162,-0.207348,-0.233098,0.905431,-0.248947
1123,4.679167,0.035118,1.736131,-0.131797,0.321298,0.907092,-0.207369,-0.233060,0.905171,-0.249114
1124,4.683333,0.034903,1.736388,-0.131663,0.321344,0.907024,-0.207381,-0.232994,0.904832,-0.249200
1125,4.687500,0.035128,1.736150,-0.131722,0.321484,0.906853,-0.207418,-0.233009,0.904603,-0.249625
1126,4.691667,0.035088,1.736034,-0.131375,0.321513,0.906807,-0.207421,-0.232957,0.904394,-0.249758
1127,4.695833,0.035092,1.736041,-0.131339,0.321535,0.906770,-0.207420,-0.233010,0.904052,-0.249839
1128,4.700000,0.035055,1.736372,-0.131271,0.321555,0.906738,-0.207419,-0.232964,0.904003,-0.249781
