Format Version,1.23,Take Name,Werikson_IC_Gesto_D_001,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.29.43.068 ,Total Frames in Take,1750,Total Exported Frames,1374,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"2CDE7332958D11EC6E30FC7E4D48E999","2CDE7332958D11EC6E30FC7E4D48E999","2CDE7332958D11EC6E30FC7E4D48E999","2CDE7334958D11EC6E30FC7E4D48E999","2CDE7334958D11EC6E30FC7E4D48E999","2CDE7334958D11EC6E30FC7E4D48E999","2CDE7347958D11EC6E30FC7E4D48E999","2CDE7347958D11EC6E30FC7E4D48E999","2CDE7347958D11EC6E30FC7E4D48E999"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
376,1.566667,0.035575,1.732273,-0.283401,0.334626,0.905302,-0.338094,-0.352306,0.942190,-0.370707
377,1.570833,0.035673,1.732275,-0.283329,0.334503,0.905208,-0.338214,-0.351139,0.940668,-0.370092
378,1.575000,0.035775,1.732268,-0.283328,0.333515,0.905124,-0.339733,-0.350008,0.940191,-0.370012
379,1.579167,0.035862,1.732266,-0.283256,0.333390,0.905049,-0.339846,-0.348972,0.939835,-0.369886
380,1.583333,0.035976,1.732265,-0.283205,0.333256,0.904978,-0.339969,-0.347636,0.940239,-0.370190
381,1.587500,0.036069,1.732263,-0.283179,0.333117,0.904887,-0.340092,-0.346596,0.939724,-0.369964
382,1.591667,0.036180,1.732261,-0.283142,0.332973,0.904791,-0.340228,-0.345162,0.938055,-0.369505
383,1.595833,0.036715,1.732184,-0.282733,0.332825,0.904703,-0.340355,-0.344099,0.937297,-0.369600
384,1.600000,0.037074,1.732161,-0.282705,0.332680,0.904620,-0.340484,-0.342837,0.937704,-0.370000
385,1.604167,0.037196,1.732168,-0.282663,0.332543,0.904548,-0.340612,-0.341563,0.937063,-0.370088
386,1.608333,0.037292,1.732176,-0.282608,0.332408,0.904454,-0.340728,-0.340459,0.936435,-0.370154
387,1.612500,0.037397,1.732172,-0.282575,0.332275,0.904384,-0.340858,-0.338518,0.935666,-0.370195
388,1.616667,0.037481,1.732044,-0.282218,0.331994,0.903874,-0.341712,-0.337349,0.934651,-0.370171
389,1.620833,0.037604,1.732039,-0.282176,0.331867,0.903800,-0.341827,-0.336075,0.933829,-0.370037
390,1.625000,0.037714,1.732046,-0.282132,0.331760,0.903952,-0.341667,-0.336130,0.934059,-0.368626
391,1.629167,0.037818,1.732056,-0.282078,0.331621,0.903870,-0.341792,-0.332842,0.932089,-0.370202
392,1.633333,0.037927,1.732052,-0.282038,0.331151,0.903588,-0.342109,-0.331575,0.931320,-0.370370
393,1.637500,0.038039,1.732052,-0.282000,0.331021,0.903516,-0.342236,-0.330563,0.930412,-0.369729
394,1.641667,0.038136,1.732062,-0.281962,0.331523,0.903405,-0.341011,-0.328945,0.929447,-0.369716
395,1.645833,0.038659,1.732127,-0.282196,0.331400,0.903332,-0.341153,-0.326609,0.928911,-0.371193
396,1.650000,0.038763,1.732132,-0.282155,0.331741,0.902084,-0.342164,-0.325540,0.927637,-0.370438
397,1.654167,0.038843,1.732138,-0.282117,0.331610,0.902022,-0.342275,-0.323424,0.927034,-0.371388
398,1.658333,0.038953,1.732135,-0.282067,0.331483,0.901963,-0.342390,-0.323268,0.927141,-0.370116
399,1.662500,0.039074,1.732158,-0.282042,0.331353,0.901903,-0.342517,-0.320451,0.924893,-0.370928
400,1.666667,0.039435,1.732141,-0.282021,0.331151,0.901829,-0.342541,-0.319839,0.924392,-0.369881
401,1.670833,0.039547,1.732142,-0.281971,0.331018,0.901778,-0.342656,-0.317437,0.923080,-0.371348
402,1.675000,0.039885,1.731888,-0.282062,0.330891,0.901730,-0.342778,-0.316369,0.922458,-0.370473
403,1.679167,0.040020,1.732152,-0.281878,0.330774,0.901683,-0.342884,-0.314908,0.921602,-0.370725
404,1.683333,0.039977,1.731972,-0.281987,0.330795,0.901520,-0.343381,-0.311496,0.920244,-0.373318
405,1.687500,0.040681,1.732210,-0.281261,0.330692,0.901484,-0.343481,-0.310035,0.919095,-0.372615
406,1.691667,0.040791,1.732225,-0.281217,0.330064,0.902450,-0.342923,-0.308497,0.918048,-0.372972
407,1.695833,0.040620,1.732169,-0.281162,0.328993,0.902516,-0.344855,-0.307739,0.918265,-0.372771
408,1.700000,0.040863,1.732101,-0.281090,0.329716,0.902741,-0.343076,-0.305243,0.916130,-0.373766
409,1.704167,0.041013,1.732399,-0.280923,0.329685,0.902623,-0.343157,-0.304328,0.915510,-0.372778
410,1.708333,0.041108,1.732402,-0.280867,0.329409,0.902560,-0.343308,-0.301684,0.914075,-0.374578
411,1.712500,0.041214,1.732411,-0.280827,0.328410,0.902363,-0.345128,-0.301235,0.913721,-0.373698
412,1.716667,0.041300,1.732405,-0.280771,0.328319,0.902340,-0.345239,-0.299350,0.912469,-0.373808
413,1.720833,0.041409,1.732417,-0.280726,0.328219,0.902312,-0.345355,-0.297630,0.911723,-0.374419
414,1.725000,0.041495,1.732289,-0.280645,0.328136,0.902299,-0.345464,-0.296065,0.910773,-0.374661
415,1.729167,0.041578,1.732294,-0.280595,0.328053,0.902278,-0.345577,-0.294413,0.909936,-0.374790
416,1.733333,0.041651,1.732146,-0.280250,0.327963,0.902253,-0.345700,-0.292826,0.908862,-0.375385
417,1.737500,0.041729,1.732149,-0.280194,0.327892,0.902229,-0.345808,-0.291266,0.907831,-0.375900
418,1.741667,0.042081,1.732135,-0.280164,0.327819,0.902230,-0.345921,-0.290038,0.907080,-0.376235
419,1.745833,0.042154,1.732134,-0.280117,0.327750,0.902212,-0.346034,-0.288330,0.906210,-0.376658
420,1.750000,0.042236,1.732116,-0.280051,0.327676,0.902190,-0.346145,-0.286979,0.905253,-0.377128
421,1.754167,0.042322,1.732121,-0.280003,0.327488,0.901746,-0.347000,-0.285662,0.904338,-0.377693
422,1.758333,0.042378,1.732122,-0.279950,0.327439,0.901740,-0.347106,-0.284294,0.903478,-0.378356
