Format Version,1.23,Take Name,Werikson_IC_Gesto_E_003,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.32.48.722 ,Total Frames in Take,1687,Total Exported Frames,1434,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"504B2E40958E11EC6E30FC7E4D48E999","504B2E40958E11EC6E30FC7E4D48E999","504B2E40958E11EC6E30FC7E4D48E999","504B2E42958E11EC6E30FC7E4D48E999","504B2E42958E11EC6E30FC7E4D48E999","504B2E42958E11EC6E30FC7E4D48E999","504B2E44958E11EC6E30FC7E4D48E999","504B2E44958E11EC6E30FC7E4D48E999","504B2E44958E11EC6E30FC7E4D48E999"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
253,1.054167,0.043494,1.724986,-0.236552,0.367752,0.909664,-0.329724,-0.232101,0.885207,-0.327718
254,1.058333,0.043506,1.724995,-0.236532,0.367736,0.909654,-0.329695,-0.232088,0.885209,-0.327702
255,1.062500,0.043523,1.724988,-0.236514,0.367705,0.909636,-0.329673,-0.231955,0.885196,-0.327739
256,1.066667,0.043543,1.724988,-0.236507,0.367680,0.909619,-0.329654,-0.232072,0.885202,-0.327709
257,1.070833,0.044013,1.724917,-0.236154,0.367664,0.909615,-0.329634,-0.231947,0.885184,-0.327744
258,1.075000,0.043536,1.725011,-0.236252,0.367628,0.909599,-0.329613,-0.231944,0.885190,-0.327749
259,1.079167,0.044172,1.724756,-0.235812,0.367601,0.909576,-0.329588,-0.231933,0.885189,-0.327753
260,1.083333,0.044170,1.724748,-0.235804,0.367328,0.909460,-0.329618,-0.231919,0.885197,-0.327757
261,1.087500,0.044185,1.724741,-0.235787,0.367226,0.909400,-0.329522,-0.231911,0.885187,-0.327767
262,1.091667,0.044213,1.724746,-0.235778,0.367203,0.909391,-0.329503,-0.231901,0.885190,-0.327773
263,1.095833,0.044223,1.724744,-0.235751,0.367181,0.909369,-0.329481,-0.231891,0.885195,-0.327784
264,1.100000,0.044248,1.724746,-0.235738,0.367150,0.909358,-0.329472,-0.231883,0.885196,-0.327803
265,1.104167,0.044260,1.724745,-0.235719,0.367143,0.909353,-0.329455,-0.231876,0.885200,-0.327816
266,1.108333,0.044282,1.724750,-0.235712,0.367118,0.909328,-0.329442,-0.231859,0.885197,-0.327822
267,1.112500,0.044290,1.724749,-0.235694,0.367100,0.909317,-0.329423,-0.231858,0.885201,-0.327838
268,1.116667,0.044317,1.724751,-0.235680,0.367090,0.909315,-0.329413,-0.231859,0.885206,-0.327870
269,1.120833,0.044341,1.724745,-0.235664,0.367071,0.909297,-0.329400,-0.231850,0.885208,-0.327876
270,1.125000,0.044351,1.724749,-0.235630,0.367054,0.909286,-0.329379,-0.231845,0.885230,-0.327891
271,1.129167,0.044370,1.724743,-0.235632,0.367032,0.909265,-0.329375,-0.231842,0.885227,-0.327906
272,1.133333,0.044385,1.724751,-0.235608,0.367031,0.909262,-0.329358,-0.231835,0.885227,-0.327925
273,1.137500,0.044388,1.724761,-0.235582,0.367016,0.909252,-0.329350,-0.231834,0.885234,-0.327935
274,1.141667,0.044422,1.724745,-0.235581,0.366992,0.909238,-0.329335,-0.231831,0.885230,-0.327964
275,1.145833,0.044440,1.724743,-0.235541,0.366985,0.909226,-0.329320,-0.231825,0.885228,-0.327979
