Format Version,1.23,Take Name,Werikson_IC_Gesto_F_004,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.39.33.699 ,Total Frames in Take,1647,Total Exported Frames,1580,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"1E62E9FD902E11EC6E30FC7E4D48E499","1E62E9FD902E11EC6E30FC7E4D48E499","1E62E9FD902E11EC6E30FC7E4D48E499","1E62E9FF902E11EC6E30FC7E4D48E499","1E62E9FF902E11EC6E30FC7E4D48E499","1E62E9FF902E11EC6E30FC7E4D48E499","1E62EA01902E11EC6E30FC7E4D48E499","1E62EA01902E11EC6E30FC7E4D48E499","1E62EA01902E11EC6E30FC7E4D48E499"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
67,0.279167,0.069020,1.733178,-0.308189,0.334528,0.893286,-0.410284,-0.193889,0.874037,-0.422312
68,0.283333,0.069053,1.733175,-0.308197,0.334507,0.893400,-0.410459,-0.193861,0.874033,-0.422342
69,0.287500,0.069241,1.733014,-0.308316,0.334522,0.893384,-0.410469,-0.193857,0.874036,-0.422358
70,0.291667,0.068987,1.733088,-0.308169,0.334545,0.893268,-0.410287,-0.193847,0.874043,-0.422375
71,0.295833,0.068989,1.733081,-0.308188,0.334531,0.893381,-0.410456,-0.194013,0.874364,-0.422522
72,0.300000,0.069013,1.733084,-0.308202,0.334541,0.893380,-0.410453,-0.193808,0.874041,-0.422413
73,0.304167,0.069026,1.733073,-0.308213,0.334587,0.893265,-0.410271,-0.193798,0.874035,-0.422435
74,0.308333,0.069038,1.733087,-0.308224,0.334558,0.893368,-0.410441,-0.193783,0.874040,-0.422445
75,0.312500,0.069064,1.733079,-0.308241,0.334567,0.893361,-0.410438,-0.193755,0.874031,-0.422457
76,0.316667,0.069084,1.733087,-0.308248,0.334583,0.893365,-0.410431,-0.193749,0.874036,-0.422489
77,0.320833,0.069088,1.733097,-0.308261,0.334597,0.893355,-0.410439,-0.193727,0.874031,-0.422507
78,0.325000,0.069268,1.732948,-0.308379,0.334607,0.893351,-0.410419,-0.193735,0.874038,-0.422510
79,0.329167,0.069291,1.732942,-0.308388,0.334605,0.893341,-0.410422,-0.193720,0.874035,-0.422538
80,0.333333,0.069140,1.733114,-0.308310,0.334647,0.893229,-0.410228,-0.193693,0.874032,-0.422549
81,0.337500,0.069146,1.733113,-0.308311,0.334628,0.893349,-0.410389,-0.193665,0.874031,-0.422571
82,0.341667,0.069177,1.733119,-0.308340,0.334640,0.893334,-0.410384,-0.193650,0.874028,-0.422590
83,0.345833,0.069189,1.733123,-0.308347,0.334655,0.893327,-0.410377,-0.193668,0.874045,-0.422606
84,0.350000,0.069202,1.733132,-0.308366,0.334652,0.893317,-0.410371,-0.193640,0.874052,-0.422627
85,0.354167,0.069214,1.733136,-0.308381,0.334668,0.893323,-0.410352,-0.193613,0.874040,-0.422650
86,0.358333,0.069241,1.733141,-0.308394,0.334708,0.893207,-0.410167,-0.193364,0.873928,-0.422815
87,0.362500,0.069251,1.733138,-0.308403,0.334679,0.893311,-0.410338,-0.193745,0.874356,-0.422829
88,0.366667,0.069278,1.733158,-0.308423,0.334702,0.893317,-0.410319,-0.193329,0.873927,-0.422867
89,0.370833,0.069313,1.733154,-0.308429,0.334709,0.893294,-0.410313,-0.193304,0.873936,-0.422874
90,0.375000,0.069323,1.733152,-0.308438,0.334721,0.893297,-0.410297,-0.193288,0.873927,-0.422911
91,0.379167,0.069338,1.733162,-0.308440,0.334737,0.893291,-0.410285,-0.193259,0.873934,-0.422930
92,0.383333,0.069368,1.733176,-0.308462,0.334748,0.893291,-0.410264,-0.193263,0.873940,-0.422946
93,0.387500,0.069541,1.733004,-0.308563,0.334759,0.893280,-0.410256,-0.193243,0.873952,-0.422964
94,0.391667,0.069577,1.733014,-0.308573,0.334764,0.893270,-0.410245,-0.193222,0.873948,-0.422983
95,0.395833,0.069601,1.733016,-0.308587,0.334789,0.893268,-0.410231,-0.193191,0.873935,-0.423002
96,0.400000,0.069621,1.733018,-0.308591,0.334806,0.893250,-0.410223,-0.193176,0.873948,-0.423016
97,0.404167,0.069656,1.733014,-0.308591,0.334808,0.893251,-0.410199,-0.193161,0.873937,-0.423044
98,0.408333,0.069668,1.733019,-0.308606,0.334830,0.893241,-0.410187,-0.193156,0.873957,-0.423061
99,0.412500,0.069712,1.733018,-0.308620,0.334840,0.893232,-0.410175,-0.193128,0.873943,-0.423073
100,0.416667,0.069734,1.733013,-0.308611,0.334860,0.893212,-0.410156,-0.193103,0.873942,-0.423086
101,0.420833,0.069825,1.732996,-0.308827,0.334874,0.893215,-0.410144,-0.193084,0.873943,-0.423105
102,0.425000,0.069789,1.733007,-0.308631,0.334887,0.893186,-0.410131,-0.193098,0.873968,-0.423107
103,0.429167,0.069825,1.733016,-0.308634,0.334915,0.893180,-0.410107,-0.193079,0.873957,-0.423114
104,0.433333,0.069861,1.732742,-0.308846,0.334918,0.893169,-0.410085,-0.193055,0.873950,-0.423127
105,0.437500,0.070080,1.733008,-0.308664,0.334932,0.893157,-0.410072,-0.193027,0.873948,-0.423140
106,0.441667,0.070126,1.732748,-0.308882,0.334961,0.893152,-0.410057,-0.192998,0.873946,-0.423138
107,0.445833,0.070159,1.732745,-0.308881,0.334973,0.893140,-0.410035,-0.192994,0.873955,-0.423141
108,0.450000,0.070176,1.732745,-0.308892,0.334986,0.893128,-0.410017,-0.192982,0.873967,-0.423144
109,0.454167,0.070217,1.732742,-0.308884,0.335007,0.893113,-0.410000,-0.192971,0.873979,-0.423147
110,0.458333,0.070235,1.732794,-0.308982,0.335028,0.893110,-0.409989,-0.192935,0.873967,-0.423164
111,0.462500,0.070236,1.732798,-0.308814,0.335034,0.893097,-0.409961,-0.192923,0.873986,-0.423153
112,0.466667,0.070256,1.732806,-0.308811,0.335050,0.893090,-0.409950,-0.192914,0.874005,-0.423158
113,0.470833,0.070334,1.732795,-0.308995,0.335066,0.893074,-0.409926,-0.192893,0.873994,-0.423163
114,0.475000,0.070363,1.732795,-0.308989,0.335084,0.893072,-0.409910,-0.192867,0.873994,-0.423159
115,0.479167,0.070344,1.732807,-0.308824,0.335094,0.893065,-0.409891,-0.192874,0.874018,-0.423145
116,0.483333,0.070438,1.732791,-0.309004,0.335279,0.893149,-0.409681,-0.192851,0.874028,-0.423142
117,0.487500,0.070466,1.732787,-0.309001,0.335496,0.893201,-0.409349,-0.192830,0.874046,-0.423133
118,0.491667,0.070492,1.732794,-0.309001,0.335136,0.893042,-0.409830,-0.192808,0.874048,-0.423138
119,0.495833,0.070538,1.732793,-0.308999,0.335248,0.893178,-0.409659,-0.192796,0.874063,-0.423124
120,0.500000,0.070558,1.732808,-0.308992,0.335532,0.893185,-0.409274,-0.192794,0.874083,-0.423106
121,0.504167,0.070601,1.732799,-0.309000,0.335542,0.893177,-0.409263,-0.192761,0.874077,-0.423114
122,0.508333,0.070623,1.732796,-0.308991,0.335556,0.893184,-0.409233,-0.192915,0.874409,-0.423236
123,0.512500,0.070650,1.732787,-0.309004,0.335500,0.893217,-0.409248,-0.192745,0.874128,-0.423090
124,0.516667,0.070685,1.732799,-0.309007,0.335512,0.893218,-0.409229,-0.192717,0.874121,-0.423092
125,0.520833,0.070726,1.732793,-0.309007,0.335532,0.893221,-0.409200,-0.192722,0.874145,-0.423062
126,0.525000,0.070761,1.732789,-0.308998,0.335540,0.893217,-0.409176,-0.192702,0.874166,-0.423063
127,0.529167,0.070772,1.732810,-0.308990,0.335613,0.893173,-0.409116,-0.192682,0.874170,-0.423059
128,0.533333,0.070831,1.732804,-0.309009,0.335559,0.893214,-0.409140,-0.192871,0.874515,-0.423173
129,0.537500,0.070797,1.732812,-0.308833,0.335567,0.893218,-0.409109,-0.192662,0.874201,-0.423033
130,0.541667,0.070891,1.732802,-0.309013,0.335571,0.893212,-0.409091,-0.192645,0.874204,-0.423028
131,0.545833,0.070906,1.732809,-0.309008,0.335578,0.893206,-0.409062,-0.192640,0.874219,-0.423020
132,0.550000,0.070947,1.732807,-0.309019,0.335588,0.893206,-0.409049,-0.192728,0.874712,-0.423135
133,0.554167,0.070963,1.732814,-0.309012,0.335598,0.893202,-0.409026,-0.192726,0.874722,-0.423119
134,0.558333,0.070988,1.732827,-0.309007,0.335608,0.893195,-0.409014,-0.192733,0.874753,-0.423097
135,0.562500,0.071008,1.732818,-0.309008,0.335618,0.893192,-0.408986,-0.192703,0.874749,-0.423097
136,0.566667,0.071031,1.732824,-0.309005,0.335623,0.893182,-0.408969,-0.192700,0.874767,-0.423091
137,0.570833,0.071435,1.732930,-0.309280,0.335628,0.893177,-0.408948,-0.192696,0.874771,-0.423071
138,0.575000,0.071096,1.732832,-0.309024,0.335642,0.893170,-0.408927,-0.192682,0.874777,-0.423071
139,0.579167,0.071109,1.732839,-0.309005,0.335647,0.893161,-0.408908,-0.192678,0.874791,-0.423066
140,0.583333,0.071140,1.732838,-0.309014,0.335656,0.893149,-0.408889,-0.192697,0.874823,-0.423045
141,0.587500,0.071165,1.732849,-0.309000,0.335660,0.893138,-0.408871,-0.192646,0.874798,-0.423058
142,0.591667,0.071184,1.732847,-0.309018,0.335679,0.893128,-0.408842,-0.192657,0.874830,-0.423037
143,0.595833,0.071186,1.732850,-0.309001,0.335688,0.893116,-0.408834,-0.192638,0.874821,-0.423046
144,0.600000,0.071583,1.732967,-0.309280,0.335689,0.893093,-0.408808,-0.192633,0.874843,-0.423033
145,0.604167,0.071601,1.732960,-0.309264,0.335696,0.893075,-0.408799,-0.192621,0.874846,-0.423025
146,0.608333,0.071626,1.732970,-0.309265,0.335706,0.893067,-0.408781,-0.192618,0.874859,-0.423027
147,0.612500,0.071647,1.732961,-0.309270,0.335718,0.893052,-0.408753,-0.192591,0.874851,-0.423031
148,0.616667,0.071675,1.732971,-0.309273,0.335724,0.893036,-0.408748,-0.192594,0.874768,-0.423062
149,0.620833,0.071690,1.732984,-0.309255,0.335728,0.893016,-0.408735,-0.192580,0.874896,-0.423020
150,0.625000,0.071712,1.732983,-0.309262,0.335742,0.893000,-0.408710,-0.192544,0.874895,-0.423033
151,0.629167,0.072069,1.733021,-0.309008,0.335750,0.892980,-0.408702,-0.192550,0.874800,-0.423058
152,0.633333,0.072090,1.733024,-0.308998,0.335759,0.892960,-0.408686,-0.192548,0.874815,-0.423057
153,0.637500,0.072094,1.733035,-0.308992,0.335691,0.893037,-0.408528,-0.192502,0.874914,-0.423036
154,0.641667,0.072112,1.733039,-0.308984,0.335692,0.893009,-0.408519,-0.192520,0.874821,-0.423057
155,0.645833,0.072151,1.733052,-0.308984,0.335709,0.892993,-0.408513,-0.192518,0.874831,-0.423067
156,0.650000,0.072148,1.733041,-0.308981,0.335729,0.892975,-0.408497,-0.192504,0.874827,-0.423070
157,0.654167,0.072189,1.733049,-0.308975,0.335721,0.892958,-0.408476,-0.192502,0.874838,-0.423076
158,0.658333,0.072198,1.733047,-0.308980,0.335730,0.892934,-0.408468,-0.192512,0.874846,-0.423081
159,0.662500,0.072388,1.733325,-0.309020,0.335750,0.892913,-0.408456,-0.192490,0.874946,-0.423062
160,0.666667,0.072399,1.733326,-0.309016,0.335947,0.892688,-0.408647,-0.192519,0.874851,-0.423091
161,0.670833,0.072425,1.733339,-0.309014,0.335952,0.892667,-0.408630,-0.192535,0.874860,-0.423100
162,0.675000,0.072448,1.733341,-0.309008,0.335973,0.892641,-0.408632,-0.192556,0.874873,-0.423100
163,0.679167,0.072460,1.733343,-0.309002,0.335977,0.892625,-0.408623,-0.192353,0.874641,-0.422942
164,0.683333,0.072472,1.733337,-0.309007,0.335991,0.892612,-0.408608,-0.192406,0.874552,-0.422990
165,0.687500,0.072514,1.733348,-0.308999,0.335999,0.892588,-0.408596,-0.192618,0.874987,-0.423088
166,0.691667,0.072529,1.733352,-0.308995,0.336008,0.892572,-0.408593,-0.192660,0.875049,-0.423453
167,0.695833,0.072546,1.733359,-0.308988,0.336026,0.892560,-0.408590,-0.192683,0.874904,-0.423143
168,0.700000,0.072485,1.733259,-0.308915,0.336032,0.892529,-0.408584,-0.192698,0.875044,-0.423481
169,0.704167,0.072515,1.733262,-0.308914,0.336055,0.892431,-0.408558,-0.192535,0.874849,-0.423332
170,0.708333,0.072523,1.733263,-0.308903,0.336064,0.892415,-0.408550,-0.192542,0.874842,-0.423353
171,0.712500,0.072566,1.733270,-0.308903,0.336076,0.892401,-0.408554,-0.192569,0.874849,-0.423374
172,0.716667,0.072591,1.733276,-0.308893,0.336084,0.892377,-0.408543,-0.192597,0.874856,-0.423381
173,0.720833,0.072590,1.733284,-0.308881,0.336099,0.892369,-0.408546,-0.192620,0.874857,-0.423404
