Format Version,1.23,Take Name,Werikson_IC_Gesto_G,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.40.14.714 ,Total Frames in Take,1445,Total Exported Frames,1374,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"AF7A8DED902D11EC6E30FC7E4D48E499","AF7A8DED902D11EC6E30FC7E4D48E499","AF7A8DED902D11EC6E30FC7E4D48E499","AF7A8DEF902D11EC6E30FC7E4D48E499","AF7A8DEF902D11EC6E30FC7E4D48E499","AF7A8DEF902D11EC6E30FC7E4D48E499","AF7A8DF1902D11EC6E30FC7E4D48E499","AF7A8DF1902D11EC6E30FC7E4D48E499","AF7A8DF1902D11EC6E30FC7E4D48E499"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
71,0.295833,0.065662,1.733646,-0.207036,0.330203,0.894470,-0.310145,-0.214842,0.885009,-0.305914
72,0.300000,0.065620,1.733633,-0.206900,0.330270,0.893974,-0.310728,-0.214803,0.885000,-0.305957
73,0.304167,0.065707,1.733450,-0.206750,0.330316,0.893868,-0.310928,-0.214750,0.884990,-0.305984
74,0.308333,0.065681,1.733436,-0.206640,0.330367,0.893768,-0.311137,-0.211667,0.882317,-0.304874
75,0.312500,0.065656,1.733420,-0.206519,0.330506,0.893573,-0.311362,-0.213822,0.884131,-0.305117
76,0.316667,0.065640,1.733387,-0.206412,0.330475,0.893522,-0.311497,-0.211471,0.882415,-0.304950
77,0.320833,0.065682,1.733476,-0.206376,0.330686,0.893446,-0.311897,-0.211406,0.882390,-0.305005
78,0.325000,0.065654,1.733443,-0.206256,0.330735,0.893377,-0.312060,-0.211358,0.882383,-0.305056
79,0.329167,0.065635,1.733427,-0.206131,0.330591,0.893209,-0.312429,-0.211291,0.882360,-0.305100
80,0.333333,0.065616,1.733393,-0.206020,0.330802,0.893135,-0.312747,-0.211243,0.882343,-0.305146
81,0.337500,0.065522,1.733241,-0.205604,0.330830,0.893076,-0.312902,-0.211180,0.882330,-0.305212
82,0.341667,0.065465,1.733215,-0.205313,0.330859,0.893012,-0.313063,-0.211126,0.882315,-0.305259
83,0.345833,0.065642,1.733172,-0.205066,0.330881,0.892960,-0.313229,-0.211054,0.882289,-0.305329
84,0.350000,0.065641,1.733144,-0.204960,0.330836,0.892999,-0.313234,-0.211019,0.882282,-0.305376
85,0.354167,0.066002,1.732878,-0.204404,0.330796,0.892979,-0.313348,-0.210960,0.882263,-0.305431
86,0.358333,0.065921,1.733512,-0.204311,0.330824,0.892939,-0.313489,-0.210905,0.882256,-0.305483
87,0.362500,0.065903,1.733484,-0.204174,0.330966,0.892772,-0.314003,-0.210853,0.882242,-0.305559
88,0.366667,0.065497,1.733340,-0.203782,0.330982,0.892341,-0.314510,-0.210813,0.882245,-0.305615
89,0.370833,0.065481,1.733319,-0.203663,0.330999,0.892306,-0.314640,-0.210757,0.882225,-0.305664
90,0.375000,0.065461,1.733285,-0.203544,0.331013,0.892277,-0.314773,-0.210722,0.882226,-0.305722
91,0.379167,0.065548,1.733236,-0.203602,0.331027,0.892255,-0.314895,-0.213704,0.884840,-0.306774
92,0.383333,0.065436,1.733266,-0.203490,0.331037,0.892236,-0.315013,-0.213684,0.884834,-0.306837
93,0.387500,0.065429,1.733245,-0.203375,0.331042,0.892206,-0.315133,-0.213638,0.884842,-0.306900
94,0.391667,0.065396,1.733219,-0.203062,0.331039,0.892184,-0.315251,-0.213603,0.884836,-0.306956
95,0.395833,0.065309,1.733063,-0.202657,0.331041,0.892174,-0.315352,-0.213568,0.884831,-0.307020
96,0.400000,0.065302,1.733028,-0.202534,0.331050,0.892146,-0.315457,-0.213539,0.884833,-0.307074
97,0.404167,0.065320,1.733005,-0.202410,0.331042,0.892129,-0.315560,-0.213493,0.884835,-0.307139
98,0.408333,0.065417,1.732828,-0.202233,0.330969,0.892200,-0.315512,-0.213465,0.884826,-0.307199
99,0.412500,0.065419,1.732800,-0.202114,0.330953,0.892188,-0.315607,-0.210383,0.882201,-0.306286
100,0.416667,0.065437,1.732782,-0.201993,0.330946,0.892176,-0.315694,-0.210351,0.882196,-0.306344
101,0.420833,0.065441,1.732751,-0.201877,0.330786,0.892129,-0.316014,-0.213217,0.884780,-0.307384
102,0.425000,0.065781,1.732994,-0.201556,0.330775,0.892140,-0.316086,-0.210294,0.882182,-0.306460
103,0.429167,0.065778,1.732962,-0.201446,0.330748,0.892131,-0.316152,-0.210000,0.882141,-0.306663
104,0.433333,0.065972,1.732745,-0.201432,0.330843,0.891999,-0.316575,-0.209986,0.882136,-0.306707
105,0.437500,0.065806,1.732913,-0.201218,0.330829,0.892008,-0.316637,-0.209969,0.882132,-0.306767
106,0.441667,0.065949,1.732688,-0.201005,0.330799,0.891994,-0.316680,-0.209934,0.882119,-0.306839
107,0.445833,0.065964,1.732677,-0.200883,0.330770,0.892003,-0.316707,-0.209900,0.882114,-0.306893
108,0.450000,0.066196,1.732435,-0.200199,0.330743,0.892001,-0.316746,-0.209855,0.882095,-0.306953
109,0.454167,0.066272,1.732515,-0.200125,0.330713,0.892015,-0.316768,-0.209845,0.882099,-0.307003
110,0.458333,0.066207,1.732374,-0.199960,0.330678,0.892013,-0.316794,-0.209828,0.882091,-0.307064
111,0.462500,0.066341,1.732449,-0.199888,0.330648,0.892031,-0.316808,-0.209782,0.882062,-0.307120
