Format Version,1.23,Take Name,Werikson_IC_Gesto_G_001,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.40.42.700 ,Total Frames in Take,1523,Total Exported Frames,1374,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"8C9A5D16902D11EC6E30FC7E4D48E499","8C9A5D16902D11EC6E30FC7E4D48E499","8C9A5D16902D11EC6E30FC7E4D48E499","8C9A5D18902D11EC6E30FC7E4D48E499","8C9A5D18902D11EC6E30FC7E4D48E499","8C9A5D18902D11EC6E30FC7E4D48E499","8C9A5D1A902D11EC6E30FC7E4D48E499","8C9A5D1A902D11EC6E30FC7E4D48E499","8C9A5D1A902D11EC6E30FC7E4D48E499"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
149,0.620833,0.050845,1.732245,-0.226974,0.332680,0.891137,-0.313444,-0.205928,0.881405,-0.305568
150,0.625000,0.050870,1.732231,-0.226963,0.332617,0.890965,-0.313623,-0.205852,0.881390,-0.305644
151,0.629167,0.050879,1.732236,-0.226977,0.332673,0.891127,-0.313423,-0.205908,0.881416,-0.305565
152,0.633333,0.050891,1.732239,-0.226980,0.332614,0.890960,-0.313613,-0.205838,0.881408,-0.305638
153,0.637500,0.050889,1.732240,-0.226996,0.332616,0.890965,-0.313617,-0.205825,0.881401,-0.305649
154,0.641667,0.050906,1.732226,-0.227000,0.332597,0.890952,-0.313599,-0.205813,0.881420,-0.305651
155,0.645833,0.050908,1.732227,-0.227011,0.332605,0.890946,-0.313598,-0.205810,0.881420,-0.305652
156,0.650000,0.050912,1.732229,-0.227015,0.332604,0.890935,-0.313581,-0.205799,0.881425,-0.305648
157,0.654167,0.050917,1.732232,-0.227017,0.332652,0.891093,-0.313394,-0.205795,0.881426,-0.305650
158,0.658333,0.050933,1.732210,-0.227029,0.332594,0.890923,-0.313572,-0.205857,0.881437,-0.305583
159,0.662500,0.050945,1.732217,-0.227050,0.332644,0.891099,-0.313377,-0.205780,0.881428,-0.305659
