Format Version,1.23,Take Name,Werikson_IC_Gesto_H_001,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.44.15.207 ,Total Frames in Take,1555,Total Exported Frames,1305,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"7937CDB2902A11EC6E30FC7E4D48E499","7937CDB2902A11EC6E30FC7E4D48E499","7937CDB2902A11EC6E30FC7E4D48E499","81FC4B84902A11EC6E30FC7E4D48E499","81FC4B84902A11EC6E30FC7E4D48E499","81FC4B84902A11EC6E30FC7E4D48E499","81FC4B86902A11EC6E30FC7E4D48E499","81FC4B86902A11EC6E30FC7E4D48E499","81FC4B86902A11EC6E30FC7E4D48E499"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
250,1.041667,0.119097,1.733618,-0.224604,0.399579,0.889834,-0.296392,-0.158124,0.888942,-0.320356
251,1.045833,0.119096,1.733598,-0.224605,0.399599,0.889831,-0.296441,-0.157950,0.888773,-0.320402
252,1.050000,0.119092,1.733601,-0.224589,0.399704,0.889777,-0.296555,-0.157912,0.888750,-0.320411
253,1.054167,0.119106,1.733599,-0.224576,0.399631,0.889835,-0.296517,-0.157868,0.888728,-0.320428
254,1.058333,0.119078,1.733598,-0.224572,0.399741,0.889776,-0.296623,-0.157819,0.888702,-0.320454
255,1.062500,0.119066,1.733583,-0.224576,0.399676,0.889836,-0.296591,-0.157782,0.888677,-0.320459
256,1.066667,0.119066,1.733586,-0.224557,0.399786,0.889784,-0.296691,-0.157738,0.888651,-0.320485
257,1.070833,0.119056,1.733598,-0.224560,0.399746,0.890019,-0.296858,-0.157695,0.888625,-0.320500
258,1.075000,0.119046,1.733580,-0.224550,0.399764,0.890032,-0.296888,-0.157656,0.888605,-0.320504
259,1.079167,0.119048,1.733588,-0.224541,0.399789,0.890027,-0.296917,-0.157606,0.888576,-0.320526
260,1.083333,0.119027,1.733581,-0.224543,0.399805,0.890026,-0.296965,-0.157617,0.888597,-0.320557
261,1.087500,0.119008,1.733579,-0.224534,0.399834,0.890036,-0.296982,-0.157577,0.888588,-0.320575
262,1.091667,0.118998,1.733569,-0.224516,0.399862,0.890036,-0.297015,-0.157540,0.888565,-0.320589
263,1.095833,0.118982,1.733577,-0.224527,0.399890,0.890037,-0.297049,-0.157496,0.888541,-0.320606
264,1.100000,0.118954,1.733580,-0.224503,0.400027,0.889907,-0.297128,-0.157462,0.888521,-0.320615
265,1.104167,0.118935,1.733583,-0.224511,0.400055,0.889913,-0.297147,-0.157422,0.888499,-0.320630
266,1.108333,0.118910,1.733579,-0.224511,0.399975,0.890054,-0.297119,-0.157386,0.888484,-0.320640
267,1.112500,0.118898,1.733584,-0.224499,0.400108,0.889926,-0.297212,-0.157357,0.888472,-0.320661
268,1.116667,0.118874,1.733578,-0.224491,0.400029,0.890063,-0.297169,-0.157311,0.888449,-0.320675
