Format Version,1.23,Take Name,Werikson_IC_Gesto_I_002,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.48.34.351 ,Total Frames in Take,1788,Total Exported Frames,1543,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"6380DCCB902811EC6E30FC7E4D48E499","6380DCCB902811EC6E30FC7E4D48E499","6380DCCB902811EC6E30FC7E4D48E499","6380DCCD902811EC6E30FC7E4D48E499","6380DCCD902811EC6E30FC7E4D48E499","6380DCCD902811EC6E30FC7E4D48E499","6380DCCF902811EC6E30FC7E4D48E499","6380DCCF902811EC6E30FC7E4D48E499","6380DCCF902811EC6E30FC7E4D48E499"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
245,1.020833,0.080328,1.751893,-0.112149,0.331226,0.913019,-0.155904,-0.221099,0.901021,-0.185541
246,1.025000,0.080572,1.751892,-0.112188,0.331169,0.913078,-0.155648,-0.221129,0.901027,-0.185612
247,1.029167,0.080357,1.751896,-0.112239,0.331190,0.913028,-0.155838,-0.221039,0.900969,-0.185696
248,1.033333,0.080603,1.751871,-0.112304,0.331139,0.913086,-0.155605,-0.221043,0.900962,-0.185795
249,1.037500,0.080631,1.751868,-0.112364,0.331112,0.913081,-0.155575,-0.221037,0.900962,-0.185891
250,1.041667,0.080644,1.751873,-0.112424,0.330928,0.913276,-0.155391,-0.221039,0.900966,-0.185986
251,1.045833,0.080657,1.751871,-0.112472,0.331076,0.913091,-0.155540,-0.221044,0.900968,-0.186072
252,1.050000,0.080659,1.751873,-0.112526,0.331050,0.913090,-0.155529,-0.221046,0.900968,-0.186169
253,1.054167,0.080669,1.751870,-0.112585,0.331016,0.913085,-0.155513,-0.220999,0.901016,-0.186261
254,1.058333,0.080689,1.751864,-0.112633,0.330843,0.913283,-0.155319,-0.220997,0.901013,-0.186368
255,1.062500,0.080719,1.751853,-0.112902,0.330817,0.913280,-0.155315,-0.222765,0.901528,-0.188500
256,1.066667,0.080735,1.751847,-0.112960,0.330789,0.913285,-0.155303,-0.222830,0.901705,-0.188716
257,1.070833,0.080758,1.751855,-0.113011,0.330944,0.913095,-0.155460,-0.222812,0.901697,-0.188820
258,1.075000,0.080753,1.751844,-0.113057,0.330750,0.913279,-0.155303,-0.222795,0.901693,-0.188930
259,1.079167,0.080769,1.751850,-0.113120,0.330734,0.913285,-0.155287,-0.222823,0.901610,-0.188941
260,1.083333,0.080787,1.751842,-0.113165,0.330706,0.913280,-0.155299,-0.222801,0.901605,-0.189054
261,1.087500,0.080846,1.751996,-0.113562,0.330690,0.913276,-0.155300,-0.222777,0.901597,-0.189183
262,1.091667,0.080855,1.752000,-0.113612,0.330671,0.913289,-0.155306,-0.220994,0.900906,-0.187717
263,1.095833,0.080893,1.751998,-0.113668,0.330804,0.913076,-0.155499,-0.220964,0.900904,-0.187834
264,1.100000,0.081300,1.752192,-0.113914,0.330611,0.913263,-0.155340,-0.220938,0.900886,-0.187972
265,1.104167,0.081178,1.752005,-0.113974,0.330580,0.913268,-0.155353,-0.220975,0.900933,-0.188338
266,1.108333,0.081196,1.752004,-0.114029,0.330564,0.913263,-0.155386,-0.220823,0.900852,-0.188594
267,1.112500,0.081216,1.752009,-0.114076,0.330542,0.913260,-0.155401,-0.220779,0.900830,-0.188741
268,1.116667,0.081164,1.751883,-0.114047,0.330511,0.913253,-0.155436,-0.220753,0.900828,-0.188868
269,1.120833,0.081161,1.751893,-0.114087,0.330555,0.913175,-0.155589,-0.220711,0.900811,-0.188996
270,1.125000,0.081185,1.751884,-0.114154,0.330529,0.913157,-0.155638,-0.220680,0.900803,-0.189151
271,1.129167,0.081182,1.751891,-0.114189,0.330539,0.913114,-0.155880,-0.220625,0.900772,-0.189289
272,1.133333,0.081196,1.751885,-0.114230,0.330516,0.913106,-0.155916,-0.220583,0.900756,-0.189425
273,1.137500,0.081207,1.751876,-0.114284,0.330496,0.913105,-0.155961,-0.220542,0.900737,-0.189570
274,1.141667,0.081202,1.751879,-0.114331,0.330483,0.913103,-0.155999,-0.220474,0.900789,-0.190016
275,1.145833,0.081211,1.751885,-0.114372,0.330457,0.913092,-0.156056,-0.220425,0.900771,-0.190144
276,1.150000,0.081230,1.751873,-0.114430,0.330437,0.913085,-0.156106,-0.220372,0.900747,-0.190293
277,1.154167,0.081224,1.751888,-0.114458,0.330429,0.913082,-0.156166,-0.220356,0.900651,-0.190365
278,1.158333,0.081217,1.751885,-0.114496,0.330407,0.913082,-0.156218,-0.220306,0.900624,-0.190509
279,1.162500,0.081236,1.751873,-0.114558,0.330383,0.913076,-0.156276,-0.220258,0.900617,-0.190657
280,1.166667,0.081216,1.751886,-0.114577,0.330431,0.913233,-0.156157,-0.220200,0.900582,-0.190814
281,1.170833,0.081217,1.751877,-0.114623,0.330413,0.913221,-0.156228,-0.220156,0.900570,-0.190955
282,1.175000,0.081248,1.751850,-0.114896,0.330405,0.913207,-0.156311,-0.220096,0.900549,-0.191104
283,1.179167,0.081229,1.751851,-0.114934,0.330392,0.913199,-0.156378,-0.220050,0.900519,-0.191259
284,1.183333,0.081223,1.751846,-0.114974,0.330380,0.913183,-0.156464,-0.219990,0.900488,-0.191404
285,1.187500,0.081223,1.751840,-0.115005,0.330361,0.913158,-0.156543,-0.219935,0.900465,-0.191548
286,1.191667,0.081225,1.751834,-0.115039,0.330358,0.913151,-0.156621,-0.219784,0.900360,-0.191694
287,1.195833,0.081363,1.751623,-0.114883,0.330339,0.913127,-0.156711,-0.219732,0.900331,-0.191846
288,1.200000,0.081345,1.751613,-0.114917,0.330320,0.913111,-0.156806,-0.219551,0.900231,-0.192116
289,1.204167,0.081351,1.751613,-0.114957,0.330327,0.913101,-0.156892,-0.219497,0.900210,-0.192267
290,1.208333,0.081333,1.751619,-0.114962,0.330314,0.913075,-0.156980,-0.221230,0.900614,-0.194666
291,1.212500,0.081314,1.751590,-0.115006,0.330298,0.913054,-0.157075,-0.221179,0.900588,-0.194803
292,1.216667,0.081310,1.751602,-0.115025,0.330153,0.913006,-0.157428,-0.219340,0.900116,-0.192925
293,1.220833,0.081270,1.751330,-0.115192,0.330186,0.912936,-0.157729,-0.221131,0.900471,-0.194999
294,1.225000,0.081277,1.751586,-0.115078,0.330186,0.912920,-0.157833,-0.219243,0.900070,-0.193226
295,1.229167,0.081251,1.751586,-0.115100,0.330184,0.912900,-0.157937,-0.219311,0.900230,-0.193450
296,1.233333,0.081210,1.751313,-0.115253,0.330005,0.912777,-0.158223,-0.219276,0.900206,-0.193596
297,1.237500,0.081207,1.751318,-0.115261,0.330009,0.912746,-0.158333,-0.219211,0.900175,-0.193749
298,1.241667,0.081159,1.751314,-0.115279,0.329977,0.912813,-0.158450,-0.219134,0.900198,-0.193880
299,1.245833,0.080919,1.751312,-0.115279,0.330069,0.912806,-0.158664,-0.220873,0.900812,-0.195732
300,1.250000,0.080886,1.751300,-0.115322,0.330075,0.912776,-0.158784,-0.220841,0.900793,-0.195875
301,1.254167,0.080260,1.751614,-0.115861,0.330090,0.912749,-0.158904,-0.220776,0.900774,-0.196007
302,1.258333,0.080248,1.751612,-0.115885,0.330095,0.912716,-0.159028,-0.219927,0.900274,-0.196090
303,1.262500,0.080213,1.751586,-0.115896,0.330191,0.912566,-0.159208,-0.219913,0.900109,-0.196291
