Format Version,1.23,Take Name,Werikson_IC_Gesto_M,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 03.24.50.236 ,Total Frames in Take,1999,Total Exported Frames,1594,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"AE8D68738F4A11EC6E30FC7E4D48E399","AE8D68738F4A11EC6E30FC7E4D48E399","AE8D68738F4A11EC6E30FC7E4D48E399","B9E3AF7E8F4A11EC6E30FC7E4D48E399","B9E3AF7E8F4A11EC6E30FC7E4D48E399","B9E3AF7E8F4A11EC6E30FC7E4D48E399","C020FF418F4A11EC6E30FC7E4D48E399","C020FF418F4A11EC6E30FC7E4D48E399","C020FF418F4A11EC6E30FC7E4D48E399"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
405,1.687500,0.114816,1.747834,-0.295040,0.374420,0.910130,-0.346430,-0.103121,0.885391,-0.360697
406,1.691667,0.114833,1.747824,-0.295024,0.374444,0.910095,-0.346425,-0.103118,0.885386,-0.360713
407,1.695833,0.114854,1.747813,-0.295015,0.374462,0.910069,-0.346418,-0.103132,0.885354,-0.360631
408,1.700000,0.114867,1.747797,-0.295007,0.374470,0.909632,-0.346813,-0.103169,0.885286,-0.360408
409,1.704167,0.114869,1.747789,-0.294986,0.374489,0.909595,-0.346804,-0.103142,0.885184,-0.360234
410,1.708333,0.114875,1.747764,-0.294967,0.374514,0.909979,-0.346389,-0.103020,0.885095,-0.360298
411,1.712500,0.114889,1.747761,-0.294957,0.374568,0.909672,-0.346633,-0.103117,0.885248,-0.360247
412,1.716667,0.114902,1.747736,-0.294950,0.374632,0.909402,-0.346821,-0.103559,0.885647,-0.359818
413,1.720833,0.114899,1.747528,-0.295032,0.374644,0.909371,-0.346821,-0.104649,0.886566,-0.358769
414,1.725000,0.114924,1.747705,-0.294923,0.374673,0.909343,-0.346812,-0.105992,0.887683,-0.357476
415,1.729167,0.114953,1.747700,-0.294913,0.374685,0.909313,-0.346798,-0.107194,0.888674,-0.356313
416,1.733333,0.114965,1.747695,-0.294901,0.374707,0.909277,-0.346801,-0.107863,0.889219,-0.355657
417,1.737500,0.114869,1.746900,-0.294869,0.374734,0.909259,-0.346795,-0.108133,0.889432,-0.355378
418,1.741667,0.114911,1.747100,-0.294749,0.374753,0.909235,-0.346770,-0.107931,0.889247,-0.355531
419,1.745833,0.114915,1.747082,-0.294736,0.374910,0.909227,-0.346534,-0.107935,0.889245,-0.355477
420,1.750000,0.114939,1.747065,-0.294748,0.374929,0.909203,-0.346528,-0.107933,0.889241,-0.355424
421,1.754167,0.115025,1.747640,-0.294844,0.374952,0.909180,-0.346519,-0.107956,0.889250,-0.355365
422,1.758333,0.114832,1.747136,-0.294731,0.374968,0.909160,-0.346520,-0.107990,0.889271,-0.355297
423,1.762500,0.114843,1.747123,-0.294718,0.374995,0.909136,-0.346504,-0.108016,0.889291,-0.355226
424,1.766667,0.114872,1.747111,-0.294713,0.375021,0.909117,-0.346516,-0.108032,0.889309,-0.355158
425,1.770833,0.114779,1.747320,-0.294825,0.375037,0.909095,-0.346508,-0.108042,0.889317,-0.355098
426,1.775000,0.114781,1.747310,-0.294809,0.375062,0.909080,-0.346507,-0.108044,0.889323,-0.355042
427,1.779167,0.114811,1.747297,-0.294809,0.375084,0.909065,-0.346503,-0.108047,0.889337,-0.354980
428,1.783333,0.114831,1.747304,-0.294789,0.375106,0.909046,-0.346504,-0.108065,0.889369,-0.354908
429,1.787500,0.114843,1.747307,-0.294779,0.375129,0.909029,-0.346491,-0.108101,0.889411,-0.354829
430,1.791667,0.114846,1.747277,-0.294784,0.375156,0.909009,-0.346493,-0.108136,0.889450,-0.354746
431,1.795833,0.115031,1.747084,-0.294706,0.375184,0.909005,-0.346493,-0.108144,0.889468,-0.354671
432,1.800000,0.114892,1.747280,-0.294760,0.375217,0.908983,-0.346484,-0.108131,0.889473,-0.354606
433,1.804167,0.115044,1.747069,-0.294678,0.375397,0.909013,-0.346483,-0.108123,0.889487,-0.354543
434,1.808333,0.114910,1.747274,-0.294743,0.375272,0.908956,-0.346474,-0.108145,0.889528,-0.354459
435,1.812500,0.115079,1.747066,-0.294673,0.375301,0.908944,-0.346469,-0.108199,0.889596,-0.354344
436,1.816667,0.114940,1.747266,-0.294716,0.375496,0.908973,-0.346460,-0.108187,0.889607,-0.354281
437,1.820833,0.115086,1.747063,-0.294640,0.375528,0.908966,-0.346454,-0.108060,0.889522,-0.354309
438,1.825000,0.115121,1.747055,-0.294634,0.375564,0.908945,-0.346452,-0.108227,0.889686,-0.354122
439,1.829167,0.115139,1.747056,-0.294638,0.375601,0.908939,-0.346452,-0.108837,0.890222,-0.353604
440,1.833333,0.115149,1.747058,-0.294633,0.375642,0.908935,-0.346433,-0.108267,0.889765,-0.353941
441,1.837500,0.115145,1.747061,-0.294611,0.375670,0.908916,-0.346433,-0.105928,0.887817,-0.355573
442,1.841667,0.115154,1.747050,-0.294613,0.375717,0.908899,-0.346420,-0.108132,0.898748,-0.357387
443,1.845833,0.115196,1.747056,-0.294604,0.375754,0.908889,-0.346413,-0.108133,0.898782,-0.357314
444,1.850000,0.115180,1.747052,-0.294594,0.375800,0.908883,-0.346418,-0.108136,0.898827,-0.357201
445,1.854167,0.115212,1.747048,-0.294586,0.375835,0.908878,-0.346410,-0.108142,0.898870,-0.357115
446,1.858333,0.115221,1.747046,-0.294575,0.375878,0.908864,-0.346405,-0.108149,0.898918,-0.357033
447,1.862500,0.115264,1.747042,-0.294574,0.375920,0.908855,-0.346397,-0.108153,0.898964,-0.356950
448,1.866667,0.115237,1.747057,-0.294393,0.375955,0.908846,-0.346388,-0.108151,0.899005,-0.356865
449,1.870833,0.115275,1.747053,-0.294380,0.375998,0.908844,-0.346391,-0.108146,0.899040,-0.356780
450,1.875000,0.115267,1.747054,-0.294381,0.376043,0.908833,-0.346382,-0.108143,0.899068,-0.356698
451,1.879167,0.115329,1.747044,-0.294534,0.376081,0.908830,-0.346374,-0.108146,0.899101,-0.356621
452,1.883333,0.115354,1.747034,-0.294526,0.376124,0.908816,-0.346377,-0.108153,0.899141,-0.356551
453,1.887500,0.115381,1.747022,-0.294524,0.376344,0.908939,-0.346157,-0.108154,0.899187,-0.356477
