Format Version,1.23,Take Name,Werikson_IC_Gesto_M_003,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 03.25.49.900 ,Total Frames in Take,1683,Total Exported Frames,1594,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"C6F93BB98F5411EC6E30FC7E4D48E399","C6F93BB98F5411EC6E30FC7E4D48E399","C6F93BB98F5411EC6E30FC7E4D48E399","C6F93BBB8F5411EC6E30FC7E4D48E399","C6F93BBB8F5411EC6E30FC7E4D48E399","C6F93BBB8F5411EC6E30FC7E4D48E399","C6F93BBD8F5411EC6E30FC7E4D48E399","C6F93BBD8F5411EC6E30FC7E4D48E399","C6F93BBD8F5411EC6E30FC7E4D48E399"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
89,0.370833,0.089950,1.756801,-0.291669,0.360862,0.919130,-0.365790,-0.149361,0.899477,-0.359945
90,0.375000,0.089937,1.756797,-0.291660,0.362361,0.920249,-0.366040,-0.149415,0.899478,-0.359874
91,0.379167,0.089923,1.756775,-0.291649,0.360935,0.918724,-0.365257,-0.149473,0.899499,-0.359820
92,0.383333,0.089933,1.756783,-0.291633,0.360949,0.919168,-0.365767,-0.149635,0.899649,-0.359859
93,0.387500,0.089934,1.756775,-0.291609,0.362431,0.920274,-0.366011,-0.149617,0.899538,-0.359647
94,0.391667,0.089935,1.756772,-0.291614,0.361185,0.918759,-0.365373,-0.149691,0.899562,-0.359569
95,0.395833,0.089927,1.756756,-0.291589,0.362459,0.920283,-0.366004,-0.149910,0.899684,-0.359397
96,0.400000,0.089786,1.756817,-0.291596,0.361240,0.918781,-0.365366,-0.149968,0.899712,-0.359327
97,0.404167,0.089917,1.756743,-0.291564,0.362517,0.920302,-0.366002,-0.150019,0.899721,-0.359238
98,0.408333,0.089760,1.756654,-0.291264,0.361294,0.918786,-0.365357,-0.150097,0.899733,-0.359194
99,0.412500,0.089754,1.756634,-0.291255,0.362579,0.920327,-0.365990,-0.150147,0.899754,-0.359124
100,0.416667,0.089751,1.756629,-0.291243,0.361345,0.918807,-0.365365,-0.150120,0.900009,-0.358940
101,0.420833,0.089742,1.756618,-0.291213,0.362625,0.920329,-0.365995,-0.150190,0.900020,-0.358874
102,0.425000,0.089907,1.756406,-0.291137,0.361394,0.918810,-0.365361,-0.150241,0.900027,-0.358823
103,0.429167,0.089905,1.756400,-0.291140,0.362682,0.920335,-0.366004,-0.150298,0.900056,-0.358738
104,0.433333,0.089894,1.756373,-0.291122,0.361447,0.918805,-0.365375,-0.150363,0.900067,-0.358695
105,0.437500,0.089902,1.756365,-0.291114,0.362736,0.920336,-0.366023,-0.150408,0.900086,-0.358636
106,0.441667,0.089896,1.756360,-0.291098,0.361504,0.918806,-0.365388,-0.150469,0.900105,-0.358590
107,0.445833,0.089871,1.756348,-0.291097,0.362775,0.920335,-0.366035,-0.150517,0.900114,-0.358538
108,0.450000,0.089875,1.756342,-0.291076,0.361554,0.918803,-0.365410,-0.150602,0.900398,-0.358159
109,0.454167,0.089872,1.756334,-0.291071,0.362819,0.920328,-0.366054,-0.150647,0.900146,-0.358438
110,0.458333,0.089880,1.756324,-0.291061,0.361597,0.918797,-0.365431,-0.150702,0.900445,-0.358062
111,0.462500,0.090006,1.756441,-0.291095,0.362872,0.920326,-0.366080,-0.150968,0.900523,-0.358078
112,0.466667,0.089846,1.756305,-0.291031,0.361649,0.918789,-0.365444,-0.151034,0.900548,-0.358040
113,0.470833,0.089915,1.756410,-0.291073,0.362930,0.920326,-0.366086,-0.151132,0.900492,-0.358131
114,0.475000,0.089975,1.756409,-0.291058,0.361697,0.918791,-0.365465,-0.151176,0.900502,-0.358101
115,0.479167,0.090022,1.756521,-0.291094,0.362990,0.920322,-0.366110,-0.151230,0.900542,-0.358076
116,0.483333,0.089904,1.756388,-0.291053,0.361745,0.918784,-0.365494,-0.151289,0.900548,-0.358049
117,0.487500,0.090049,1.756516,-0.291086,0.363045,0.920334,-0.366137,-0.151340,0.900587,-0.358024
118,0.491667,0.090034,1.756513,-0.291070,0.361798,0.918783,-0.365527,-0.151377,0.900607,-0.357994
119,0.495833,0.090030,1.756508,-0.291061,0.363101,0.920338,-0.366163,-0.151426,0.900628,-0.357991
120,0.500000,0.090027,1.756488,-0.291061,0.361840,0.918783,-0.365550,-0.151476,0.900652,-0.357965
121,0.504167,0.090024,1.756498,-0.291056,0.363164,0.920351,-0.366195,-0.151514,0.900668,-0.357964
122,0.508333,0.090015,1.756486,-0.291046,0.361897,0.918795,-0.365575,-0.151558,0.900696,-0.357939
123,0.512500,0.090017,1.756490,-0.291039,0.363207,0.920355,-0.366215,-0.151604,0.900716,-0.357945
124,0.516667,0.090010,1.756483,-0.291044,0.361952,0.918807,-0.365586,-0.151638,0.900732,-0.357922
125,0.520833,0.090007,1.756476,-0.291041,0.363260,0.920357,-0.366245,-0.151685,0.900758,-0.357938
126,0.525000,0.090027,1.756482,-0.291032,0.362004,0.918807,-0.365628,-0.151718,0.900761,-0.357929
127,0.529167,0.090020,1.756477,-0.291012,0.363321,0.920384,-0.366276,-0.151771,0.900782,-0.357943
128,0.533333,0.090016,1.756484,-0.291023,0.362056,0.918818,-0.365646,-0.151699,0.900674,-0.357811
129,0.537500,0.090021,1.756480,-0.291010,0.363616,0.920720,-0.366060,-0.151735,0.900677,-0.357812
130,0.541667,0.089877,1.756354,-0.290985,0.362107,0.918827,-0.365676,-0.151773,0.900694,-0.357843
131,0.545833,0.090028,1.756488,-0.291007,0.363418,0.920397,-0.366327,-0.151806,0.900708,-0.357864
132,0.550000,0.090031,1.756477,-0.291008,0.362217,0.918796,-0.365942,-0.151841,0.900725,-0.357893
133,0.554167,0.089973,1.756367,-0.290937,0.363473,0.920431,-0.366356,-0.151886,0.900729,-0.357906
134,0.558333,0.090031,1.756496,-0.290987,0.362259,0.919021,-0.365548,-0.151920,0.900736,-0.357946
135,0.562500,0.089974,1.756376,-0.290919,0.363840,0.920774,-0.366460,-0.151950,0.900732,-0.357982
136,0.566667,0.090003,1.756374,-0.290936,0.362355,0.918987,-0.365820,-0.151990,0.900752,-0.357998
137,0.570833,0.089987,1.756378,-0.290910,0.363873,0.920785,-0.366490,-0.152020,0.900747,-0.358042
138,0.575000,0.089965,1.756391,-0.290702,0.362529,0.918880,-0.366051,-0.152181,0.900774,-0.358110
139,0.579167,0.089979,1.756394,-0.290696,0.363926,0.920813,-0.366533,-0.152209,0.900784,-0.358165
140,0.583333,0.090001,1.756395,-0.290677,0.362580,0.918903,-0.366092,-0.152240,0.900776,-0.358225
141,0.587500,0.089992,1.756393,-0.290652,0.362670,0.919468,-0.366631,-0.152279,0.900784,-0.358270
142,0.591667,0.090046,1.756387,-0.290834,0.362617,0.919118,-0.365899,-0.152299,0.900775,-0.358317
143,0.595833,0.090041,1.756389,-0.290627,0.363925,0.920861,-0.366588,-0.152330,0.900775,-0.358391
144,0.600000,0.090052,1.756395,-0.290607,0.362669,0.919131,-0.365954,-0.152357,0.900774,-0.358453
145,0.604167,0.090073,1.756383,-0.290584,0.362694,0.919128,-0.365983,-0.152394,0.900775,-0.358514
146,0.608333,0.090096,1.756384,-0.290562,0.362713,0.919128,-0.366008,-0.152391,0.900858,-0.358459
147,0.612500,0.090111,1.756384,-0.290541,0.362743,0.919139,-0.366042,-0.152426,0.900858,-0.358542
148,0.616667,0.090138,1.756371,-0.290515,0.362745,0.919205,-0.367040,-0.152447,0.900838,-0.358614
149,0.620833,0.090166,1.756370,-0.290484,0.362778,0.919140,-0.366095,-0.152486,0.900840,-0.358685
150,0.625000,0.090204,1.756369,-0.290471,0.362792,0.919203,-0.367099,-0.152507,0.900833,-0.358759
151,0.629167,0.090210,1.756335,-0.290445,0.362800,0.919204,-0.367130,-0.152689,0.900753,-0.358927
152,0.633333,0.090243,1.756340,-0.290412,0.362831,0.919199,-0.367168,-0.152842,0.900636,-0.359100
153,0.637500,0.090269,1.756322,-0.290378,0.362853,0.919209,-0.367202,-0.152803,0.900558,-0.359183
154,0.641667,0.090305,1.756316,-0.290347,0.362875,0.919197,-0.367241,-0.152726,0.900551,-0.359213
155,0.645833,0.090342,1.756308,-0.290326,0.362902,0.919199,-0.367278,-0.152819,0.900594,-0.359276
156,0.650000,0.090587,1.756072,-0.290406,0.362931,0.919194,-0.367313,-0.152971,0.900591,-0.359444
157,0.654167,0.090614,1.756063,-0.290368,0.362951,0.919187,-0.367356,-0.153032,0.900455,-0.359711
158,0.658333,0.091128,1.755981,-0.289985,0.362969,0.919192,-0.367388,-0.153049,0.900310,-0.359965
159,0.662500,0.091171,1.755975,-0.289945,0.363000,0.919188,-0.367436,-0.153085,0.900309,-0.360058
160,0.666667,0.091204,1.755975,-0.289909,0.363016,0.919172,-0.367472,-0.153120,0.900287,-0.360145
161,0.670833,0.091249,1.755954,-0.289883,0.363041,0.919188,-0.367516,-0.153163,0.900292,-0.360255
162,0.675000,0.091284,1.755937,-0.289847,0.363068,0.919179,-0.367560,-0.153197,0.900297,-0.360372
163,0.679167,0.091376,1.756049,-0.289874,0.363090,0.919172,-0.367597,-0.153171,0.900350,-0.360523
164,0.683333,0.091424,1.756035,-0.289843,0.363108,0.919173,-0.367643,-0.153214,0.900337,-0.360628
165,0.687500,0.091466,1.756038,-0.289810,0.363138,0.919171,-0.367690,-0.153258,0.900339,-0.360726
166,0.691667,0.091521,1.756028,-0.289770,0.363320,0.919073,-0.367314,-0.153299,0.900318,-0.360811
167,0.695833,0.091472,1.756094,-0.289647,0.363178,0.919166,-0.367796,-0.153337,0.900317,-0.360917
