Format Version,1.23,Take Name,Werikson_IC_Gesto_N_003,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 03.26.59.930 ,Total Frames in Take,1695,Total Exported Frames,1436,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"F9338BD48B6E11EC6E30FC7E4D48E199","F9338BD48B6E11EC6E30FC7E4D48E199","F9338BD48B6E11EC6E30FC7E4D48E199","F9338BD68B6E11EC6E30FC7E4D48E199","F9338BD68B6E11EC6E30FC7E4D48E199","F9338BD68B6E11EC6E30FC7E4D48E199","F9338BD88B6E11EC6E30FC7E4D48E199","F9338BD88B6E11EC6E30FC7E4D48E199","F9338BD88B6E11EC6E30FC7E4D48E199"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
259,1.079167,0.050282,1.742667,-0.262120,0.337896,0.921239,-0.368502,-0.205530,0.901441,-0.380138
260,1.083333,0.050312,1.742711,-0.262119,0.337966,0.921230,-0.368488,-0.205657,0.901470,-0.380065
261,1.087500,0.050356,1.742744,-0.262136,0.338039,0.921211,-0.368465,-0.205779,0.901508,-0.379993
262,1.091667,0.050375,1.742789,-0.262137,0.338102,0.921211,-0.368441,-0.205895,0.901537,-0.379902
263,1.095833,0.050415,1.742831,-0.262134,0.338167,0.921199,-0.368426,-0.206011,0.901565,-0.379826
264,1.100000,0.050455,1.742873,-0.262149,0.338223,0.921180,-0.368402,-0.206114,0.901594,-0.379740
265,1.104167,0.050505,1.742918,-0.262156,0.338272,0.921168,-0.368373,-0.206230,0.901637,-0.379654
266,1.108333,0.050559,1.742969,-0.262177,0.338325,0.921155,-0.368361,-0.206406,0.901805,-0.379303
267,1.112500,0.050590,1.742999,-0.262180,0.338456,0.921348,-0.368097,-0.204732,0.899609,-0.378282
268,1.116667,0.050811,1.743334,-0.262212,0.338434,0.921150,-0.368317,-0.204733,0.899656,-0.378245
269,1.120833,0.050852,1.743369,-0.262207,0.338869,0.921481,-0.367861,-0.204812,0.899687,-0.378160
270,1.125000,0.050902,1.743384,-0.262218,0.338684,0.921246,-0.368054,-0.204880,0.899717,-0.378086
271,1.129167,0.050959,1.743647,-0.262089,0.338946,0.921466,-0.367817,-0.207073,0.902089,-0.378835
272,1.133333,0.051011,1.743683,-0.262102,0.338907,0.921264,-0.368023,-0.207120,0.902169,-0.378805
