Format Version,1.23,Take Name,Werikson_IC_Gesto_A_1_003,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.18.25.157 ,Total Frames in Take,1720,Total Exported Frames,1720,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"AEE5941A8B6811EC6E30FC7E4D48E199","AEE5941A8B6811EC6E30FC7E4D48E199","AEE5941A8B6811EC6E30FC7E4D48E199","AEE5941C8B6811EC6E30FC7E4D48E199","AEE5941C8B6811EC6E30FC7E4D48E199","AEE5941C8B6811EC6E30FC7E4D48E199","B74664348B6811EC6E30FC7E4D48E199","B74664348B6811EC6E30FC7E4D48E199","B74664348B6811EC6E30FC7E4D48E199"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.023858,1.703809,-0.029819,0.330349,0.904038,-0.119939,-0.193331,0.883188,-0.191795
1,0.004167,-0.023885,1.703273,-0.029660,0.330339,0.904020,-0.119966,-0.193318,0.883179,-0.191809
2,0.008333,-0.023898,1.703302,-0.029402,0.330336,0.904019,-0.120001,-0.193300,0.883164,-0.191822
3,0.012500,-0.023882,1.703263,-0.029641,0.330341,0.904008,-0.120021,-0.193294,0.883162,-0.191829
4,0.016667,-0.023886,1.703290,-0.029395,0.330329,0.904001,-0.120059,-0.193284,0.883152,-0.191831
5,0.020833,-0.023888,1.703274,-0.029395,0.330329,0.903996,-0.120086,-0.193275,0.883151,-0.191838
6,0.025000,-0.023889,1.703262,-0.029378,0.330325,0.903988,-0.120110,-0.193266,0.883147,-0.191847
7,0.029167,-0.023881,1.703248,-0.029365,0.330324,0.903986,-0.120142,-0.193250,0.883138,-0.191862
8,0.033333,-0.023885,1.703252,-0.029349,0.330316,0.903968,-0.120165,-0.194284,0.883875,-0.192173
9,0.037500,-0.023873,1.703237,-0.029345,0.330312,0.903961,-0.120195,-0.193099,0.883083,-0.191877
10,0.041667,-0.023859,1.703229,-0.029338,0.330316,0.903955,-0.120214,-0.194276,0.883861,-0.192177
11,0.045833,-0.023829,1.703109,-0.029279,0.330313,0.903945,-0.120245,-0.193084,0.883075,-0.191878
12,0.050000,-0.023815,1.703102,-0.029260,0.330307,0.903937,-0.120269,-0.193079,0.883076,-0.191885
13,0.054167,-0.023821,1.703089,-0.029245,0.330313,0.903923,-0.120304,-0.193074,0.883073,-0.191884
14,0.058333,-0.023761,1.703155,-0.029310,0.330255,0.903980,-0.120203,-0.193064,0.883062,-0.191891
15,0.062500,-0.023759,1.703143,-0.029303,0.330314,0.903902,-0.120337,-0.193064,0.883058,-0.191894
16,0.066667,-0.023776,1.703230,-0.029338,0.330258,0.903955,-0.120252,-0.194228,0.883833,-0.192191
17,0.070833,-0.023738,1.703122,-0.029278,0.330267,0.903943,-0.120279,-0.193047,0.883053,-0.191910
18,0.075000,-0.023715,1.703125,-0.029266,0.330265,0.903944,-0.120290,-0.193050,0.883056,-0.191892
19,0.079167,-0.023711,1.703121,-0.029265,0.330273,0.903933,-0.120305,-0.194204,0.883817,-0.192196
20,0.083333,-0.023689,1.703118,-0.029248,0.330268,0.903919,-0.120328,-0.193038,0.883050,-0.191894
21,0.087500,-0.023675,1.703108,-0.029240,0.330277,0.903915,-0.120353,-0.193036,0.883041,-0.191902
22,0.091667,-0.023596,1.703147,-0.029303,0.330276,0.903911,-0.120361,-0.193028,0.883044,-0.191883
23,0.095833,-0.023656,1.703093,-0.029220,0.330274,0.903899,-0.120374,-0.193026,0.883040,-0.191897
24,0.100000,-0.023626,1.703084,-0.029212,0.330282,0.903898,-0.120401,-0.193022,0.883041,-0.191876
25,0.104167,-0.023540,1.703144,-0.029286,0.330285,0.903893,-0.120414,-0.194185,0.883817,-0.192180
26,0.108333,-0.023326,1.703064,-0.029372,0.330293,0.903886,-0.120428,-0.193016,0.883035,-0.191883
27,0.112500,-0.023577,1.703077,-0.029174,0.330301,0.903887,-0.120448,-0.193015,0.883038,-0.191876
28,0.116667,-0.023303,1.703128,-0.029378,0.330296,0.903465,-0.120838,-0.193015,0.883044,-0.191874
29,0.120833,-0.023448,1.703130,-0.029233,0.330308,0.903880,-0.120467,-0.194175,0.883822,-0.192171
30,0.125000,-0.023260,1.703107,-0.029363,0.330326,0.903880,-0.120478,-0.194173,0.883821,-0.192164
31,0.129167,-0.023424,1.703117,-0.029226,0.330314,0.903451,-0.120865,-0.194164,0.883826,-0.192159
32,0.133333,-0.023229,1.703110,-0.029331,0.330323,0.903458,-0.120880,-0.194169,0.883820,-0.192167
33,0.137500,-0.023202,1.703108,-0.029341,0.330271,0.903912,-0.120466,-0.194161,0.883824,-0.192151
34,0.141667,-0.023185,1.703105,-0.029325,0.330139,0.903329,-0.121110,-0.194161,0.883842,-0.192143
35,0.145833,-0.023195,1.703169,-0.029211,0.330284,0.903488,-0.120867,-0.194163,0.883839,-0.192154
36,0.150000,-0.023189,1.703150,-0.029181,0.330281,0.903475,-0.120888,-0.194159,0.883844,-0.192140
37,0.154167,-0.023123,1.703086,-0.029280,0.330363,0.903853,-0.120564,-0.194142,0.883836,-0.192132
38,0.158333,-0.023118,1.703028,-0.029249,0.330382,0.903858,-0.120559,-0.194148,0.883838,-0.192129
39,0.162500,-0.023097,1.703077,-0.029270,0.330307,0.903465,-0.120910,-0.194142,0.883849,-0.192139
40,0.166667,-0.023101,1.703142,-0.029132,0.330306,0.903454,-0.120924,-0.194144,0.883848,-0.192135
41,0.170833,-0.023029,1.703558,-0.029236,0.330320,0.903450,-0.120935,-0.194139,0.883869,-0.192126
42,0.175000,-0.023069,1.703123,-0.029107,0.330328,0.903447,-0.120938,-0.194132,0.883862,-0.192124
43,0.179167,-0.022992,1.703538,-0.029222,0.330330,0.903444,-0.120950,-0.194116,0.883857,-0.192124
44,0.183333,-0.022968,1.703539,-0.029199,0.330341,0.903436,-0.120948,-0.194127,0.883870,-0.192116
45,0.187500,-0.022953,1.703521,-0.029183,0.330355,0.903433,-0.120960,-0.194112,0.883876,-0.192110
46,0.191667,-0.022946,1.703513,-0.029160,0.330363,0.903420,-0.120980,-0.194106,0.883877,-0.192112
47,0.195833,-0.022937,1.703512,-0.029159,0.330372,0.903416,-0.120981,-0.194101,0.883885,-0.192116
48,0.200000,-0.022899,1.703496,-0.029153,0.330377,0.903408,-0.120981,-0.194090,0.883883,-0.192112
49,0.204167,-0.022963,1.703547,-0.029150,0.330387,0.903399,-0.120992,-0.194100,0.883893,-0.192117
50,0.208333,-0.022940,1.703535,-0.029140,0.330398,0.903389,-0.120993,-0.194099,0.883901,-0.192115
51,0.212500,-0.022927,1.703527,-0.029133,0.330409,0.903381,-0.121013,-0.194093,0.883892,-0.192113
52,0.216667,-0.022976,1.703099,-0.028999,0.330432,0.903379,-0.121022,-0.194084,0.883907,-0.192110
53,0.220833,-0.022932,1.703064,-0.028773,0.330434,0.903382,-0.121024,-0.192807,0.883305,-0.191815
54,0.225000,-0.022909,1.703044,-0.028768,0.330449,0.903366,-0.121034,-0.192798,0.883300,-0.191824
55,0.229167,-0.022897,1.703048,-0.028755,0.330463,0.903362,-0.121027,-0.192797,0.883306,-0.191821
56,0.233333,-0.022663,1.702986,-0.028713,0.330466,0.903350,-0.121048,-0.192789,0.883311,-0.191830
57,0.237500,-0.022857,1.703034,-0.028721,0.330470,0.903339,-0.121048,-0.192784,0.883310,-0.191829
58,0.241667,-0.022624,1.702969,-0.028677,0.330482,0.903333,-0.121053,-0.193930,0.884125,-0.192165
59,0.245833,-0.022826,1.703012,-0.028690,0.330503,0.903320,-0.121060,-0.192781,0.883320,-0.191833
60,0.250000,-0.022580,1.702962,-0.028650,0.330504,0.903317,-0.121068,-0.193911,0.884129,-0.192163
61,0.254167,-0.022570,1.702955,-0.028622,0.330513,0.903305,-0.121069,-0.192774,0.883319,-0.191836
62,0.258333,-0.022536,1.702952,-0.028615,0.330622,0.903189,-0.121412,-0.193894,0.884135,-0.192163
63,0.262500,-0.022535,1.702937,-0.028603,0.330621,0.903172,-0.121419,-0.192752,0.883326,-0.191831
64,0.266667,-0.022510,1.702938,-0.028578,0.330552,0.903287,-0.121087,-0.192758,0.883327,-0.191844
65,0.270833,-0.022485,1.702926,-0.028553,0.330745,0.903054,-0.121486,-0.192739,0.883316,-0.191854
66,0.275000,-0.022462,1.702922,-0.028535,0.330664,0.903156,-0.121435,-0.193885,0.884129,-0.192176
67,0.279167,-0.022443,1.702908,-0.028516,0.330778,0.903050,-0.121497,-0.192733,0.883329,-0.191859
68,0.283333,-0.022433,1.702908,-0.028497,0.330683,0.903155,-0.121436,-0.192735,0.883326,-0.191863
69,0.287500,-0.022405,1.702893,-0.028472,0.330796,0.903039,-0.121510,-0.192723,0.883325,-0.191874
70,0.291667,-0.022383,1.702884,-0.028462,0.330710,0.903144,-0.121453,-0.192723,0.883325,-0.191881
71,0.295833,-0.022348,1.702884,-0.028437,0.330819,0.903031,-0.121519,-0.192716,0.883317,-0.191889
72,0.300000,-0.022345,1.702870,-0.028414,0.330840,0.903034,-0.121523,-0.192713,0.883328,-0.191897
73,0.304167,-0.022320,1.702860,-0.028395,0.330838,0.903019,-0.121533,-0.193847,0.884134,-0.192228
74,0.308333,-0.022298,1.702858,-0.028362,0.330854,0.903019,-0.121541,-0.192704,0.883321,-0.191908
75,0.312500,-0.022283,1.702836,-0.028344,0.330861,0.903022,-0.121545,-0.192704,0.883318,-0.191915
76,0.316667,-0.022267,1.702831,-0.028322,0.330865,0.903022,-0.121551,-0.192701,0.883323,-0.191928
77,0.320833,-0.022229,1.702819,-0.028306,0.330890,0.903019,-0.121544,-0.192686,0.883319,-0.191941
78,0.325000,-0.022216,1.702814,-0.028281,0.330903,0.903018,-0.121550,-0.192682,0.883318,-0.191951
79,0.329167,-0.022188,1.702807,-0.028261,0.330907,0.903014,-0.121570,-0.192676,0.883311,-0.191964
80,0.333333,-0.022176,1.702798,-0.028222,0.330921,0.903006,-0.121570,-0.192676,0.883314,-0.191976
81,0.337500,-0.022148,1.702770,-0.028199,0.330930,0.903011,-0.121571,-0.192675,0.883304,-0.191983
82,0.341667,-0.022132,1.702774,-0.028175,0.330945,0.903002,-0.121580,-0.192673,0.883304,-0.191995
83,0.345833,-0.021929,1.702595,-0.028180,0.330955,0.903008,-0.121582,-0.192667,0.883294,-0.192017
84,0.350000,-0.021757,1.702367,-0.028304,0.330972,0.902998,-0.121591,-0.192664,0.883303,-0.192032
85,0.354167,-0.021722,1.702355,-0.028269,0.330981,0.903005,-0.121593,-0.192653,0.883296,-0.192040
86,0.358333,-0.021721,1.702348,-0.028245,0.331003,0.903012,-0.121605,-0.192653,0.883292,-0.192049
87,0.362500,-0.021676,1.702334,-0.028218,0.331013,0.902993,-0.121607,-0.192649,0.883283,-0.192090
88,0.366667,-0.021163,1.702499,-0.027801,0.331028,0.903004,-0.121615,-0.192643,0.883286,-0.192087
89,0.370833,-0.021264,1.702290,-0.027810,0.331043,0.903002,-0.121623,-0.192671,0.883225,-0.192044
90,0.375000,-0.021435,1.702272,-0.027652,0.331052,0.903001,-0.121634,-0.192637,0.883271,-0.192114
91,0.379167,-0.021091,1.702467,-0.027699,0.331072,0.903006,-0.121640,-0.192622,0.883262,-0.192152
92,0.383333,-0.021037,1.702457,-0.027675,0.331094,0.903010,-0.121645,-0.192650,0.883218,-0.192096
93,0.387500,-0.021029,1.702438,-0.027653,0.331108,0.903012,-0.121650,-0.192650,0.883214,-0.192104
94,0.391667,-0.021184,1.702436,-0.027489,0.331130,0.903010,-0.121666,-0.192648,0.883201,-0.192120
95,0.395833,-0.020978,1.702415,-0.027598,0.331139,0.903010,-0.121686,-0.192643,0.883211,-0.192137
96,0.400000,-0.021147,1.702406,-0.027421,0.331322,0.903047,-0.121699,-0.192640,0.883200,-0.192160
97,0.404167,-0.021009,1.702265,-0.027380,0.331347,0.903050,-0.121712,-0.192635,0.883207,-0.192172
98,0.408333,-0.020999,1.702258,-0.027358,0.331371,0.903046,-0.121726,-0.192635,0.883209,-0.192186
99,0.412500,-0.021175,1.702250,-0.027180,0.331391,0.903042,-0.121736,-0.192626,0.883204,-0.192194
100,0.416667,-0.020945,1.702227,-0.027290,0.331418,0.903040,-0.121749,-0.192628,0.883206,-0.192230
