Format Version,1.23,Take Name,Werikson_IC_Gesto_C,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.24.31.830 ,Total Frames in Take,1356,Total Exported Frames,1356,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"DC6C0A7A958B11EC6E30FC7E4D48E999","DC6C0A7A958B11EC6E30FC7E4D48E999","DC6C0A7A958B11EC6E30FC7E4D48E999","DC6C0A7C958B11EC6E30FC7E4D48E999","DC6C0A7C958B11EC6E30FC7E4D48E999","DC6C0A7C958B11EC6E30FC7E4D48E999","DC6C0A7E958B11EC6E30FC7E4D48E999","DC6C0A7E958B11EC6E30FC7E4D48E999","DC6C0A7E958B11EC6E30FC7E4D48E999"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.012955,1.730582,-0.106606,0.304238,0.896288,-0.227948,-0.242193,0.889232,-0.231462
1,0.004167,0.012963,1.730559,-0.106571,0.304217,0.896137,-0.228115,-0.242229,0.889241,-0.231457
2,0.008333,0.012961,1.730044,-0.106406,0.304288,0.896296,-0.227954,-0.242273,0.889248,-0.231446
3,0.012500,0.013009,1.730545,-0.106560,0.304314,0.896302,-0.227948,-0.242321,0.889268,-0.231442
4,0.016667,0.012982,1.730016,-0.106364,0.304329,0.896304,-0.227948,-0.242359,0.889268,-0.231436
5,0.020833,0.013006,1.729988,-0.106360,0.304370,0.896310,-0.227946,-0.242399,0.889279,-0.231428
6,0.025000,0.012932,1.730561,-0.106530,0.304398,0.896317,-0.227938,-0.242444,0.889287,-0.231417
7,0.029167,0.013069,1.730475,-0.106496,0.304427,0.896321,-0.227938,-0.242471,0.889292,-0.231420
8,0.033333,0.012931,1.730022,-0.106331,0.304445,0.896327,-0.227941,-0.242594,0.889336,-0.231319
9,0.037500,0.012955,1.730003,-0.106324,0.304473,0.896319,-0.227934,-0.242639,0.889342,-0.231309
10,0.041667,0.012957,1.729987,-0.106296,0.304674,0.896366,-0.227930,-0.242562,0.889372,-0.231362
11,0.045833,0.012970,1.729966,-0.106284,0.304698,0.896363,-0.227929,-0.242687,0.889409,-0.231357
12,0.050000,0.012970,1.729944,-0.106272,0.304732,0.896371,-0.227930,-0.242742,0.889353,-0.231282
13,0.054167,0.012970,1.729939,-0.106243,0.304756,0.896370,-0.227920,-0.242751,0.889413,-0.231340
14,0.058333,0.012985,1.729928,-0.106230,0.304790,0.896367,-0.227924,-0.242818,0.889362,-0.231263
15,0.062500,0.012989,1.729905,-0.106205,0.304814,0.896373,-0.227927,-0.242824,0.889421,-0.231309
16,0.066667,0.013205,1.729806,-0.106163,0.304846,0.896372,-0.227918,-0.242855,0.889415,-0.231305
17,0.070833,0.013200,1.729792,-0.106125,0.304872,0.896375,-0.227907,-0.242890,0.889419,-0.231292
18,0.075000,0.013212,1.729760,-0.106123,0.304900,0.896375,-0.227914,-0.242914,0.889425,-0.231285
19,0.079167,0.013209,1.729752,-0.106106,0.304930,0.896378,-0.227912,-0.242937,0.889417,-0.231274
20,0.083333,0.013211,1.729728,-0.106073,0.304952,0.896384,-0.227900,-0.242971,0.889423,-0.231261
21,0.087500,0.013192,1.729705,-0.106065,0.304980,0.896377,-0.227894,-0.243000,0.889422,-0.231252
22,0.091667,0.013074,1.729866,-0.106211,0.305013,0.896392,-0.227892,-0.243008,0.889421,-0.231244
23,0.095833,0.013066,1.729850,-0.106175,0.305028,0.896389,-0.227895,-0.243035,0.889428,-0.231229
24,0.100000,0.013298,1.729568,-0.106263,0.305047,0.896391,-0.227893,-0.243066,0.889428,-0.231210
25,0.104167,0.013038,1.729820,-0.106122,0.305075,0.896402,-0.227886,-0.243160,0.889331,-0.231241
26,0.108333,0.013293,1.729533,-0.106207,0.305102,0.896404,-0.227884,-0.243178,0.889332,-0.231228
27,0.112500,0.013293,1.729515,-0.106191,0.305124,0.896411,-0.227884,-0.243203,0.889337,-0.231223
28,0.116667,0.013270,1.729475,-0.106176,0.305145,0.896411,-0.227889,-0.243150,0.889448,-0.231171
29,0.120833,0.013275,1.729475,-0.106150,0.305173,0.896419,-0.227892,-0.243238,0.889345,-0.231194
30,0.125000,0.013258,1.729452,-0.106126,0.305188,0.896424,-0.227890,-0.243267,0.889361,-0.231182
31,0.129167,0.013256,1.729444,-0.106104,0.305216,0.896433,-0.227886,-0.243281,0.889367,-0.231165
32,0.133333,0.013258,1.729430,-0.106083,0.305238,0.896429,-0.227884,-0.243302,0.889377,-0.231144
33,0.137500,0.013235,1.729413,-0.106043,0.305263,0.896444,-0.227887,-0.243324,0.889385,-0.231140
34,0.141667,0.013237,1.729391,-0.106035,0.305278,0.896450,-0.227888,-0.243335,0.889390,-0.231126
35,0.145833,0.013215,1.729383,-0.106002,0.305306,0.896463,-0.227889,-0.243359,0.889404,-0.231114
36,0.150000,0.013196,1.729370,-0.105981,0.305325,0.896464,-0.227891,-0.243378,0.889407,-0.231114
37,0.154167,0.013193,1.729361,-0.105953,0.305343,0.896468,-0.227900,-0.243396,0.889416,-0.231099
38,0.158333,0.013187,1.729352,-0.105944,0.305366,0.896480,-0.227900,-0.243416,0.889431,-0.231091
39,0.162500,0.013164,1.729340,-0.105904,0.305393,0.896493,-0.227901,-0.243444,0.889434,-0.231087
40,0.166667,0.013166,1.729328,-0.105889,0.305411,0.896502,-0.227902,-0.243460,0.889454,-0.231079
41,0.170833,0.013162,1.729312,-0.105851,0.305426,0.896509,-0.227901,-0.243472,0.889453,-0.231075
42,0.175000,0.013142,1.729300,-0.105834,0.305454,0.896519,-0.227904,-0.243503,0.889471,-0.231061
43,0.179167,0.013135,1.729299,-0.105806,0.305475,0.896527,-0.227906,-0.243597,0.889494,-0.230974
44,0.183333,0.013130,1.729300,-0.105791,0.305498,0.896536,-0.227923,-0.243543,0.889487,-0.231065
45,0.187500,0.013088,1.729289,-0.105747,0.305528,0.896557,-0.227909,-0.243641,0.889513,-0.230978
46,0.191667,0.013082,1.729278,-0.105716,0.305494,0.896413,-0.228092,-0.243657,0.889520,-0.230978
47,0.195833,0.013066,1.729275,-0.105697,0.305555,0.896574,-0.227933,-0.243673,0.889520,-0.230982
48,0.200000,0.013064,1.729268,-0.105669,0.305585,0.896594,-0.227924,-0.243694,0.889523,-0.230992
49,0.204167,0.013050,1.729250,-0.105649,0.305557,0.896458,-0.228093,-0.243703,0.889522,-0.231002
50,0.208333,0.013032,1.729258,-0.105619,0.305616,0.896615,-0.227942,-0.243720,0.889532,-0.231009
51,0.212500,0.013016,1.729246,-0.105588,0.305593,0.896478,-0.228108,-0.243736,0.889532,-0.231035
52,0.216667,0.013000,1.729242,-0.105557,0.305667,0.896639,-0.227946,-0.243755,0.889536,-0.231049
53,0.220833,0.012979,1.729241,-0.105517,0.305692,0.896655,-0.227957,-0.243772,0.889541,-0.231067
54,0.225000,0.012963,1.729226,-0.105483,0.305717,0.896673,-0.227952,-0.243773,0.889532,-0.231100
55,0.229167,0.012939,1.729213,-0.105452,0.305746,0.896674,-0.227967,-0.243793,0.889542,-0.231119
