Format Version,1.23,Take Name,Werikson_IC_Gesto_C_002,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.24.57.807 ,Total Frames in Take,1592,Total Exported Frames,1592,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"5B8861BE958C11EC6E30FC7E4D48E999","5B8861BE958C11EC6E30FC7E4D48E999","5B8861BE958C11EC6E30FC7E4D48E999","5B8861C0958C11EC6E30FC7E4D48E999","5B8861C0958C11EC6E30FC7E4D48E999","5B8861C0958C11EC6E30FC7E4D48E999","5B8861C2958C11EC6E30FC7E4D48E999","5B8861C2958C11EC6E30FC7E4D48E999","5B8861C2958C11EC6E30FC7E4D48E999"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.021067,1.705092,-0.125343,0.312970,0.897791,-0.200948,-0.210648,0.877957,-0.272154
1,0.004167,-0.021074,1.705094,-0.125353,0.312963,0.897791,-0.200954,-0.210642,0.877949,-0.272157
2,0.008333,-0.021083,1.705090,-0.125357,0.312974,0.897789,-0.200973,-0.210646,0.877946,-0.272160
3,0.012500,-0.021084,1.705103,-0.125361,0.312979,0.897804,-0.200981,-0.210657,0.877946,-0.272163
4,0.016667,-0.021091,1.705098,-0.125364,0.312968,0.897797,-0.200992,-0.210646,0.877930,-0.272153
5,0.020833,-0.021085,1.705093,-0.125368,0.312980,0.897803,-0.201011,-0.210646,0.877927,-0.272164
6,0.025000,-0.021079,1.705087,-0.125383,0.312973,0.897808,-0.201030,-0.210652,0.877922,-0.272174
7,0.029167,-0.021080,1.705089,-0.125384,0.312974,0.897808,-0.201045,-0.210650,0.877918,-0.272166
8,0.033333,-0.021089,1.705088,-0.125389,0.312977,0.897804,-0.201051,-0.210662,0.877918,-0.272176
9,0.037500,-0.021079,1.705086,-0.125403,0.312976,0.897816,-0.201063,-0.210646,0.877918,-0.272179
10,0.041667,-0.021104,1.705081,-0.125411,0.312977,0.897809,-0.201072,-0.210654,0.877905,-0.272184
11,0.045833,-0.021104,1.705071,-0.125424,0.312982,0.897840,-0.201086,-0.210661,0.877913,-0.272179
12,0.050000,-0.021116,1.705076,-0.125427,0.312977,0.897821,-0.201100,-0.210659,0.877909,-0.272184
13,0.054167,-0.021124,1.705081,-0.125445,0.312978,0.897828,-0.201117,-0.210657,0.877906,-0.272193
14,0.058333,-0.021138,1.705084,-0.125442,0.312981,0.897840,-0.201129,-0.210667,0.877914,-0.272196
15,0.062500,-0.021147,1.705085,-0.125454,0.312981,0.897840,-0.201136,-0.210677,0.877914,-0.272198
16,0.066667,-0.021154,1.705075,-0.125465,0.312975,0.897839,-0.201150,-0.210682,0.877908,-0.272210
17,0.070833,-0.021167,1.705087,-0.125465,0.312970,0.897723,-0.201025,-0.210691,0.877906,-0.272217
18,0.075000,-0.021159,1.705089,-0.125467,0.312968,0.897724,-0.201043,-0.210694,0.877907,-0.272222
19,0.079167,-0.021199,1.705074,-0.125468,0.312977,0.897857,-0.201187,-0.210704,0.877915,-0.272221
20,0.083333,-0.021191,1.705069,-0.125482,0.312983,0.897853,-0.201194,-0.210697,0.877915,-0.272219
21,0.087500,-0.021193,1.705059,-0.125505,0.312983,0.897854,-0.201210,-0.210705,0.877908,-0.272232
22,0.091667,-0.021214,1.705078,-0.125506,0.312982,0.897850,-0.201230,-0.210715,0.877907,-0.272244
23,0.095833,-0.021234,1.705064,-0.125513,0.312974,0.897721,-0.201112,-0.210727,0.877906,-0.272252
24,0.100000,-0.021231,1.705065,-0.125529,0.312980,0.897856,-0.201244,-0.210736,0.877911,-0.272256
25,0.104167,-0.021245,1.705078,-0.125528,0.312984,0.897859,-0.201255,-0.210752,0.877908,-0.272245
26,0.108333,-0.021250,1.705067,-0.125539,0.312968,0.897723,-0.201130,-0.210787,0.877834,-0.272176
27,0.112500,-0.021282,1.705059,-0.125543,0.312975,0.897857,-0.201282,-0.210808,0.877843,-0.272178
28,0.116667,-0.021279,1.705067,-0.125549,0.312973,0.897853,-0.201292,-0.210822,0.877844,-0.272179
29,0.120833,-0.021293,1.705066,-0.125552,0.312961,0.897733,-0.201164,-0.210817,0.877832,-0.272195
