Format Version,1.23,Take Name,Werikson_IC_Gesto_D,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.29.28.193 ,Total Frames in Take,1726,Total Exported Frames,1726,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"4E2285B958D11EC6E30FC7E4D48E999","4E2285B958D11EC6E30FC7E4D48E999","4E2285B958D11EC6E30FC7E4D48E999","4E2285D958D11EC6E30FC7E4D48E999","4E2285D958D11EC6E30FC7E4D48E999","4E2285D958D11EC6E30FC7E4D48E999","4E2285F958D11EC6E30FC7E4D48E999","4E2285F958D11EC6E30FC7E4D48E999","4E2285F958D11EC6E30FC7E4D48E999"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.043495,1.723893,-0.283669,0.332473,0.896776,-0.368788,-0.209471,0.880781,-0.396899
1,0.004167,0.043483,1.723885,-0.283680,0.332370,0.896245,-0.368865,-0.209477,0.880746,-0.396907
2,0.008333,0.043488,1.723882,-0.283708,0.332658,0.897027,-0.369204,-0.209474,0.880735,-0.396887
3,0.012500,0.043488,1.723878,-0.283724,0.332744,0.897022,-0.369305,-0.209459,0.880727,-0.396875
4,0.016667,0.043485,1.723884,-0.283741,0.332830,0.897026,-0.369407,-0.209455,0.880698,-0.396887
5,0.020833,0.043446,1.723874,-0.283758,0.332978,0.896783,-0.369998,-0.209446,0.880689,-0.396864
6,0.025000,0.043455,1.723876,-0.283773,0.333057,0.896783,-0.370100,-0.209445,0.880676,-0.396848
7,0.029167,0.043460,1.723874,-0.283802,0.333146,0.896784,-0.370197,-0.209429,0.880646,-0.396867
8,0.033333,0.043437,1.723876,-0.283804,0.333236,0.896776,-0.370310,-0.209419,0.880654,-0.396841
9,0.037500,0.043442,1.723860,-0.283830,0.333427,0.896641,-0.370458,-0.209392,0.880634,-0.396848
10,0.041667,0.043450,1.723860,-0.283848,0.333508,0.896618,-0.370576,-0.209391,0.880594,-0.396863
11,0.045833,0.043428,1.723837,-0.283868,0.333682,0.896560,-0.370618,-0.209380,0.880582,-0.396869
12,0.050000,0.043426,1.723829,-0.283878,0.333716,0.896674,-0.370556,-0.209361,0.880557,-0.396887
13,0.054167,0.043422,1.723833,-0.283906,0.334307,0.895351,-0.371786,-0.209347,0.880551,-0.396871
14,0.058333,0.043427,1.723840,-0.283905,0.334404,0.895353,-0.371900,-0.209328,0.880524,-0.396885
15,0.062500,0.043427,1.723818,-0.283936,0.334484,0.895350,-0.372003,-0.209310,0.880500,-0.396897
16,0.066667,0.043421,1.723812,-0.283943,0.334568,0.895343,-0.372117,-0.209291,0.880474,-0.396916
17,0.070833,0.043422,1.723805,-0.283975,0.334657,0.895347,-0.372220,-0.209268,0.880449,-0.396914
18,0.075000,0.043412,1.723808,-0.283986,0.334916,0.895490,-0.372096,-0.209255,0.880425,-0.396952
19,0.079167,0.043418,1.723794,-0.284013,0.334825,0.895346,-0.372434,-0.209233,0.880411,-0.396956
20,0.083333,0.043443,1.723790,-0.284013,0.335006,0.895240,-0.372889,-0.209204,0.880376,-0.396964
21,0.087500,0.043433,1.723797,-0.284052,0.335270,0.895382,-0.372766,-0.209193,0.880349,-0.396997
22,0.091667,0.043425,1.723791,-0.284062,0.335279,0.895286,-0.373202,-0.209160,0.880305,-0.397017
23,0.095833,0.043437,1.723803,-0.284082,0.335539,0.895424,-0.373084,-0.209139,0.880284,-0.397053
24,0.100000,0.043431,1.723789,-0.284116,0.335142,0.896437,-0.372468,-0.209113,0.880261,-0.397066
25,0.104167,0.043496,1.723908,-0.284156,0.335170,0.896567,-0.372395,-0.209089,0.880246,-0.397096
26,0.108333,0.043499,1.723906,-0.284191,0.335272,0.896572,-0.372511,-0.209062,0.880226,-0.397116
