Format Version,1.23,Take Name,Werikson_IC_Gesto_D_003,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.30.28.906 ,Total Frames in Take,1580,Total Exported Frames,1580,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"80004441958D11EC6E30FC7E4D48E999","80004441958D11EC6E30FC7E4D48E999","80004441958D11EC6E30FC7E4D48E999","80004443958D11EC6E30FC7E4D48E999","80004443958D11EC6E30FC7E4D48E999","80004443958D11EC6E30FC7E4D48E999","80004445958D11EC6E30FC7E4D48E999","80004445958D11EC6E30FC7E4D48E999","80004445958D11EC6E30FC7E4D48E999"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.045247,1.734660,-0.302423,0.310585,0.898451,-0.304477,-0.194369,0.882734,-0.377867
1,0.004167,0.045257,1.734635,-0.302413,0.310454,0.898479,-0.304362,-0.194312,0.882686,-0.377840
2,0.008333,0.045238,1.734622,-0.302394,0.310325,0.898509,-0.304255,-0.194306,0.882683,-0.377847
3,0.012500,0.045247,1.734605,-0.302371,0.310211,0.898526,-0.304162,-0.194303,0.882696,-0.377846
4,0.016667,0.045226,1.734593,-0.302345,0.310095,0.898557,-0.304057,-0.194356,0.882744,-0.377892
5,0.020833,0.045235,1.734578,-0.302345,0.309983,0.898574,-0.303977,-0.194305,0.882686,-0.377860
6,0.025000,0.045277,1.734661,-0.302379,0.309879,0.898584,-0.303899,-0.194303,0.882701,-0.377868
7,0.029167,0.045276,1.734644,-0.302354,0.309786,0.898583,-0.303828,-0.194312,0.882706,-0.377874
8,0.033333,0.045296,1.734629,-0.302345,0.309689,0.898582,-0.303767,-0.194315,0.882695,-0.377916
9,0.037500,0.045276,1.734622,-0.302327,0.309657,0.898549,-0.303744,-0.194319,0.882715,-0.377914
10,0.041667,0.045271,1.734601,-0.302289,0.309560,0.898540,-0.303680,-0.194313,0.882718,-0.377925
11,0.045833,0.045165,1.734661,-0.302295,0.309480,0.898530,-0.303647,-0.194253,0.882715,-0.378068
12,0.050000,0.045150,1.734645,-0.302286,0.309343,0.898563,-0.303557,-0.194262,0.882714,-0.378092
13,0.054167,0.045059,1.734829,-0.302387,0.309324,0.898516,-0.303572,-0.194258,0.882730,-0.378118
14,0.058333,0.044957,1.734900,-0.302264,0.309339,0.898959,-0.302765,-0.194332,0.882728,-0.378010
15,0.062500,0.044975,1.734879,-0.302255,0.309185,0.898476,-0.303517,-0.194280,0.882738,-0.378150
16,0.066667,0.045042,1.734790,-0.302337,0.309282,0.898899,-0.302762,-0.194278,0.882747,-0.378192
17,0.070833,0.045051,1.734781,-0.302332,0.309081,0.898440,-0.303486,-0.194287,0.882745,-0.378218
18,0.075000,0.045044,1.734781,-0.302319,0.309163,0.898872,-0.302725,-0.194300,0.882755,-0.378253
19,0.079167,0.044950,1.734839,-0.302196,0.308975,0.898378,-0.303487,-0.194303,0.882765,-0.378288
20,0.083333,0.044954,1.734836,-0.302182,0.309077,0.898781,-0.302751,-0.194313,0.882775,-0.378320
21,0.087500,0.044931,1.734825,-0.302166,0.309040,0.898739,-0.302762,-0.194316,0.882770,-0.378360
22,0.091667,0.044936,1.734816,-0.302160,0.308873,0.898281,-0.303507,-0.194320,0.882785,-0.378399
23,0.095833,0.044922,1.734806,-0.302141,0.308992,0.898664,-0.302793,-0.194339,0.882802,-0.378435
24,0.100000,0.044903,1.734789,-0.302129,0.308960,0.898625,-0.302803,-0.194361,0.882801,-0.378488
