Format Version,1.23,Take Name,Werikson_IC_Gesto_E_002,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.32.34.127 ,Total Frames in Take,1686,Total Exported Frames,1686,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"20469F5B958E11EC6E30FC7E4D48E999","20469F5B958E11EC6E30FC7E4D48E999","20469F5B958E11EC6E30FC7E4D48E999","20469F5D958E11EC6E30FC7E4D48E999","20469F5D958E11EC6E30FC7E4D48E999","20469F5D958E11EC6E30FC7E4D48E999","20469F5F958E11EC6E30FC7E4D48E999","20469F5F958E11EC6E30FC7E4D48E999","20469F5F958E11EC6E30FC7E4D48E999"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.069914,1.729628,-0.255267,0.336285,0.892671,-0.333472,-0.184835,0.877758,-0.357154
1,0.004167,0.069936,1.729623,-0.255243,0.336080,0.892720,-0.333674,-0.184828,0.877758,-0.357177
2,0.008333,0.069966,1.729630,-0.255240,0.335991,0.892554,-0.334258,-0.184824,0.877757,-0.357199
3,0.012500,0.069963,1.729628,-0.255226,0.335789,0.892618,-0.334454,-0.184808,0.877741,-0.357231
4,0.016667,0.069990,1.729614,-0.255227,0.335374,0.892325,-0.334984,-0.184813,0.877746,-0.357245
5,0.020833,0.070016,1.729619,-0.255209,0.335247,0.892263,-0.335187,-0.184800,0.877740,-0.357262
6,0.025000,0.070031,1.729615,-0.255190,0.335118,0.892195,-0.335372,-0.184809,0.877741,-0.357284
7,0.029167,0.070051,1.729601,-0.255183,0.334997,0.892120,-0.335572,-0.184796,0.877734,-0.357298
8,0.033333,0.070082,1.729592,-0.255184,0.334829,0.892122,-0.335651,-0.184792,0.877741,-0.357317
9,0.037500,0.070086,1.729590,-0.255176,0.334706,0.892048,-0.335847,-0.184782,0.877746,-0.357334
10,0.041667,0.070118,1.729585,-0.255149,0.334596,0.891978,-0.336033,-0.184776,0.877733,-0.357346
11,0.045833,0.069983,1.729475,-0.255102,0.334527,0.891801,-0.336622,-0.184772,0.877747,-0.357353
12,0.050000,0.070151,1.729573,-0.255147,0.334410,0.891733,-0.336822,-0.184771,0.877749,-0.357365
13,0.054167,0.070008,1.729459,-0.255079,0.334288,0.891645,-0.337013,-0.184759,0.877755,-0.357375
14,0.058333,0.070056,1.729451,-0.255061,0.333911,0.891364,-0.337516,-0.184681,0.877723,-0.357477
15,0.062500,0.070062,1.729440,-0.255070,0.333807,0.891299,-0.337705,-0.184754,0.877770,-0.357382
16,0.066667,0.070086,1.729435,-0.255060,0.333822,0.891450,-0.337668,-0.184676,0.877746,-0.357480
17,0.070833,0.070106,1.729426,-0.255062,0.333482,0.891303,-0.337907,-0.184742,0.877782,-0.357404
18,0.075000,0.070129,1.729422,-0.255044,0.333339,0.891602,-0.338131,-0.184730,0.877785,-0.357406
19,0.079167,0.070165,1.729423,-0.255047,0.333268,0.891425,-0.338716,-0.184658,0.877768,-0.357494
20,0.083333,0.070180,1.729413,-0.255039,0.333153,0.891371,-0.338895,-0.184648,0.877769,-0.357493
21,0.087500,0.070199,1.729401,-0.255032,0.333041,0.891321,-0.339077,-0.184636,0.877783,-0.357484
22,0.091667,0.070234,1.729393,-0.255025,0.332979,0.891236,-0.339282,-0.184637,0.877808,-0.357482
23,0.095833,0.070249,1.729399,-0.255015,0.332805,0.891197,-0.339428,-0.184635,0.877823,-0.357486
24,0.100000,0.070524,1.729383,-0.255021,0.332822,0.891062,-0.339561,-0.184638,0.877840,-0.357472
25,0.104167,0.070554,1.729370,-0.255016,0.332424,0.890775,-0.340063,-0.184632,0.877849,-0.357471
26,0.108333,0.070586,1.729365,-0.255023,0.332318,0.890729,-0.340235,-0.184618,0.877868,-0.357460
27,0.112500,0.070616,1.729372,-0.255008,0.332178,0.890745,-0.340275,-0.184682,0.877927,-0.357360
28,0.116667,0.070640,1.729363,-0.255018,0.331918,0.890170,-0.340912,-0.184611,0.877907,-0.357444
29,0.120833,0.070668,1.729366,-0.254998,0.331871,0.890008,-0.341487,-0.184601,0.877918,-0.357446
30,0.125000,0.070703,1.729365,-0.255010,0.331786,0.889970,-0.341639,-0.184605,0.877946,-0.357429
31,0.129167,0.070695,1.729227,-0.254692,0.331701,0.889938,-0.341796,-0.184601,0.877973,-0.357417
32,0.133333,0.070741,1.729236,-0.254689,0.331626,0.889897,-0.341951,-0.184666,0.878033,-0.357306
33,0.137500,0.070771,1.729238,-0.254679,0.331548,0.889868,-0.342102,-0.184597,0.878012,-0.357396
34,0.141667,0.070820,1.729224,-0.254681,0.331485,0.889838,-0.342252,-0.184586,0.878032,-0.357372
35,0.145833,0.071080,1.729000,-0.254800,0.331431,0.889809,-0.342391,-0.184593,0.878068,-0.357358
36,0.150000,0.071118,1.728999,-0.254795,0.331384,0.889790,-0.342538,-0.184597,0.878083,-0.357351
37,0.154167,0.071153,1.729014,-0.254797,0.331341,0.889778,-0.342678,-0.184655,0.878156,-0.357238
38,0.158333,0.071184,1.729000,-0.254789,0.331045,0.889552,-0.343122,-0.184583,0.878138,-0.357313
39,0.162500,0.071217,1.729018,-0.254793,0.330957,0.889608,-0.343129,-0.184595,0.878174,-0.357298
40,0.166667,0.071269,1.729018,-0.254790,0.330936,0.889588,-0.343254,-0.184662,0.878222,-0.357197
41,0.170833,0.071294,1.729027,-0.254763,0.330970,0.889480,-0.343780,-0.184665,0.878257,-0.357167
42,0.175000,0.071346,1.729032,-0.254788,0.330961,0.889479,-0.343896,-0.184658,0.878288,-0.357148
43,0.179167,0.071383,1.729036,-0.254794,0.330951,0.889480,-0.344006,-0.184665,0.878312,-0.357137
44,0.183333,0.071416,1.729043,-0.254800,0.330953,0.889485,-0.344120,-0.184590,0.878305,-0.357218
45,0.187500,0.071460,1.729046,-0.254781,0.330957,0.889491,-0.344228,-0.184660,0.878362,-0.357098
46,0.191667,0.071499,1.729064,-0.254780,0.330967,0.889504,-0.344334,-0.184661,0.878389,-0.357089
47,0.195833,0.071559,1.729070,-0.254781,0.330981,0.889514,-0.344433,-0.184653,0.878418,-0.357072
48,0.200000,0.071600,1.729072,-0.254789,0.331008,0.889537,-0.344534,-0.184655,0.878443,-0.357064
49,0.204167,0.071644,1.729090,-0.254777,0.331036,0.889541,-0.344629,-0.184657,0.878461,-0.357042
50,0.208333,0.071676,1.729083,-0.254784,0.331181,0.889771,-0.344512,-0.184654,0.878494,-0.357033
51,0.212500,0.071725,1.729101,-0.254776,0.331221,0.889787,-0.344605,-0.184601,0.878703,-0.357024
52,0.216667,0.071772,1.729115,-0.254777,0.331271,0.889811,-0.344697,-0.184594,0.878739,-0.357010
53,0.220833,0.071807,1.729108,-0.254780,0.331320,0.889823,-0.344788,-0.184604,0.878758,-0.357002
54,0.225000,0.071855,1.729128,-0.254774,0.331373,0.889838,-0.344870,-0.184605,0.878788,-0.356971
55,0.229167,0.071915,1.729135,-0.254767,0.331539,0.889926,-0.345043,-0.184600,0.878810,-0.356965
56,0.233333,0.071954,1.729147,-0.254774,0.331564,0.890014,-0.345005,-0.184609,0.878829,-0.356944
57,0.237500,0.072002,1.729149,-0.254771,0.331672,0.889913,-0.345485,-0.184615,0.878868,-0.356918
58,0.241667,0.072070,1.729374,-0.254661,0.331756,0.889937,-0.345562,-0.184538,0.878828,-0.356965
59,0.245833,0.072101,1.729157,-0.254771,0.331826,0.889941,-0.345635,-0.184540,0.878849,-0.356947
60,0.250000,0.072168,1.729374,-0.254671,0.331920,0.889955,-0.345702,-0.184552,0.878874,-0.356916
61,0.254167,0.072204,1.729378,-0.254668,0.332010,0.889977,-0.345768,-0.184584,0.878817,-0.356952
62,0.258333,0.072238,1.729169,-0.254771,0.332080,0.890246,-0.346023,-0.184583,0.878847,-0.356920
63,0.262500,0.072312,1.729392,-0.254648,0.332176,0.890256,-0.346099,-0.184598,0.878862,-0.356896
