Format Version,1.23,Take Name,Werikson_IC_Gesto_H_004,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.47.35.128 ,Total Frames in Take,1543,Total Exported Frames,1543,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"9BFBBAAC902911EC6E30FC7E4D48E499","9BFBBAAC902911EC6E30FC7E4D48E499","9BFBBAAC902911EC6E30FC7E4D48E499","9BFBBAAE902911EC6E30FC7E4D48E499","9BFBBAAE902911EC6E30FC7E4D48E499","9BFBBAAE902911EC6E30FC7E4D48E499","9BFBBAB0902911EC6E30FC7E4D48E499","9BFBBAB0902911EC6E30FC7E4D48E499","9BFBBAB0902911EC6E30FC7E4D48E499"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.024153,1.738692,-0.110113,0.317491,0.908419,-0.160371,-0.232825,0.902924,-0.210506
1,0.004167,0.024168,1.738686,-0.110134,0.317505,0.908274,-0.160699,-0.232808,0.902974,-0.210505
2,0.008333,0.024191,1.738687,-0.110153,0.317490,0.908262,-0.160740,-0.232763,0.903219,-0.210693
3,0.012500,0.024213,1.738686,-0.110169,0.317478,0.908248,-0.160776,-0.232794,0.902956,-0.210573
4,0.016667,0.024221,1.738689,-0.110182,0.317474,0.908237,-0.160815,-0.232797,0.902957,-0.210620
5,0.020833,0.024215,1.738698,-0.110204,0.317465,0.908230,-0.160850,-0.232747,0.903198,-0.210814
6,0.025000,0.024258,1.738683,-0.110456,0.317451,0.908216,-0.160892,-0.232943,0.903227,-0.211202
7,0.029167,0.024245,1.738706,-0.110260,0.317446,0.908210,-0.160927,-0.232933,0.903217,-0.211244
