Format Version,1.23,Take Name,Werikson_IC_Gesto_I,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.48.14.024 ,Total Frames in Take,1543,Total Exported Frames,1543,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"5550DF3E902911EC6E30FC7E4D48E499","5550DF3E902911EC6E30FC7E4D48E499","5550DF3E902911EC6E30FC7E4D48E499","5550DF40902911EC6E30FC7E4D48E499","5550DF40902911EC6E30FC7E4D48E499","5550DF40902911EC6E30FC7E4D48E499","5550DF42902911EC6E30FC7E4D48E499","5550DF42902911EC6E30FC7E4D48E499","5550DF42902911EC6E30FC7E4D48E499"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.072338,1.746842,-0.110119,0.323789,0.901167,-0.201953,-0.194946,0.889937,-0.207993
1,0.004167,0.072484,1.746894,-0.110206,0.324008,0.900916,-0.202135,-0.194675,0.889961,-0.208064
2,0.008333,0.072628,1.746950,-0.110270,0.324157,0.900691,-0.202259,-0.194547,0.890037,-0.208020
3,0.012500,0.072780,1.746985,-0.110347,0.324371,0.900447,-0.202423,-0.194424,0.890109,-0.207971
4,0.016667,0.073186,1.747005,-0.110428,0.324918,0.899824,-0.202987,-0.194348,0.890184,-0.207925
5,0.020833,0.073331,1.747057,-0.110501,0.325175,0.899513,-0.203120,-0.194260,0.890246,-0.207884
6,0.025000,0.073475,1.747085,-0.110587,0.325408,0.899268,-0.203272,-0.194196,0.890298,-0.207829
7,0.029167,0.073799,1.747442,-0.110670,0.325887,0.898947,-0.203746,-0.194143,0.890343,-0.207779
8,0.033333,0.073945,1.747511,-0.111030,0.326091,0.898578,-0.203639,-0.194112,0.890377,-0.207737
9,0.037500,0.074079,1.747531,-0.111083,0.326311,0.898358,-0.203775,-0.194082,0.890407,-0.207687
10,0.041667,0.074219,1.747568,-0.111160,0.326643,0.898033,-0.203956,-0.194083,0.890426,-0.207627
11,0.045833,0.074351,1.747581,-0.111217,0.326878,0.897816,-0.204083,-0.194095,0.890429,-0.207576
12,0.050000,0.074497,1.747611,-0.111288,0.327080,0.897371,-0.204393,-0.194109,0.890436,-0.207523
13,0.054167,0.075045,1.747553,-0.111569,0.327314,0.897166,-0.204503,-0.194150,0.890421,-0.207468
14,0.058333,0.075311,1.747362,-0.111467,0.327517,0.896963,-0.204625,-0.194325,0.890478,-0.207273
15,0.062500,0.075431,1.747365,-0.111736,0.327984,0.896772,-0.204504,-0.194377,0.890448,-0.207216
16,0.066667,0.075913,1.747173,-0.111376,0.328134,0.896028,-0.204464,-0.194444,0.890428,-0.207144
17,0.070833,0.076250,1.747165,-0.111452,0.328593,0.895893,-0.204655,-0.194493,0.890447,-0.207165
18,0.075000,0.076364,1.747186,-0.111499,0.328915,0.895600,-0.205065,-0.194573,0.890403,-0.207099
19,0.079167,0.076445,1.747198,-0.111561,0.329630,0.894199,-0.206009,-0.194708,0.890300,-0.206731
20,0.083333,0.076540,1.747204,-0.111612,0.329800,0.894156,-0.205926,-0.194798,0.890240,-0.206665
21,0.087500,0.076618,1.747783,-0.111873,0.330028,0.894002,-0.205999,-0.194913,0.890184,-0.206584
22,0.091667,0.076722,1.747806,-0.111909,0.329870,0.894662,-0.205535,-0.195018,0.890127,-0.206527
23,0.095833,0.076793,1.747812,-0.111970,0.330072,0.894545,-0.205591,-0.195005,0.889834,-0.206364
24,0.100000,0.076877,1.747837,-0.112022,0.330404,0.894590,-0.205401,-0.195126,0.889766,-0.206303
25,0.104167,0.076949,1.747855,-0.112065,0.330604,0.894497,-0.205446,-0.195260,0.889691,-0.206229
26,0.108333,0.077001,1.747860,-0.112101,0.330810,0.894427,-0.205484,-0.195372,0.889610,-0.206177
27,0.112500,0.077077,1.747882,-0.112150,0.331190,0.894189,-0.205368,-0.195507,0.889522,-0.206109
28,0.116667,0.077130,1.747900,-0.112183,0.331370,0.894146,-0.205390,-0.195702,0.889310,-0.206080
29,0.120833,0.077184,1.747927,-0.112217,0.331552,0.894110,-0.205410,-0.195968,0.889104,-0.206009
30,0.125000,0.077229,1.747950,-0.112255,0.331729,0.894098,-0.205432,-0.196249,0.889070,-0.205923
31,0.129167,0.077261,1.747968,-0.112274,0.332021,0.893974,-0.205484,-0.196359,0.888989,-0.205870
32,0.133333,0.077285,1.747987,-0.112311,0.332187,0.893971,-0.205494,-0.196470,0.888899,-0.205831
33,0.137500,0.077300,1.748008,-0.112331,0.333052,0.892691,-0.206539,-0.196598,0.888837,-0.205781
34,0.141667,0.077342,1.748032,-0.112346,0.333428,0.893140,-0.206635,-0.196717,0.888759,-0.205734
35,0.145833,0.077328,1.748054,-0.112374,0.333588,0.893170,-0.206619,-0.196818,0.888771,-0.205653
36,0.150000,0.077339,1.748080,-0.112393,0.333764,0.893194,-0.206581,-0.197049,0.888767,-0.205501
37,0.154167,0.077333,1.748106,-0.112420,0.333927,0.893222,-0.206553,-0.197163,0.888713,-0.205461
38,0.158333,0.077180,1.748315,-0.112490,0.334078,0.893270,-0.206502,-0.197284,0.888655,-0.205433
39,0.162500,0.077330,1.748156,-0.112305,0.334230,0.893299,-0.206460,-0.197383,0.888602,-0.205402
40,0.166667,0.077298,1.748174,-0.112316,0.334379,0.893354,-0.206404,-0.197484,0.888556,-0.205374
41,0.170833,0.077287,1.748207,-0.112326,0.335762,0.893246,-0.204673,-0.197581,0.888502,-0.205347
42,0.175000,0.076672,1.748523,-0.112863,0.335913,0.893308,-0.204585,-0.197671,0.888463,-0.205327
43,0.179167,0.076653,1.748544,-0.112871,0.336049,0.893356,-0.204504,-0.197760,0.888429,-0.205304
44,0.183333,0.076604,1.748570,-0.112887,0.336208,0.893431,-0.204402,-0.197848,0.888387,-0.205266
45,0.187500,0.076567,1.748601,-0.112865,0.336019,0.893634,-0.204940,-0.197922,0.888364,-0.205253
46,0.191667,0.076529,1.748623,-0.112877,0.335814,0.893836,-0.205466,-0.197989,0.888332,-0.205231
47,0.195833,0.076478,1.748634,-0.112863,0.335939,0.893910,-0.205340,-0.198064,0.888304,-0.205212
48,0.200000,0.076437,1.748662,-0.112860,0.336736,0.893692,-0.203959,-0.198114,0.888272,-0.205190
49,0.204167,0.076385,1.748677,-0.112856,0.336741,0.893884,-0.203648,-0.198171,0.888249,-0.205159
50,0.208333,0.076332,1.748699,-0.112849,0.337063,0.893793,-0.203243,-0.198085,0.887983,-0.205044
51,0.212500,0.076277,1.748716,-0.112836,0.337177,0.893857,-0.203081,-0.198122,0.887949,-0.205022
52,0.216667,0.076221,1.748723,-0.112832,0.337189,0.894045,-0.202762,-0.198229,0.887778,-0.205027
53,0.220833,0.076248,1.748655,-0.112914,0.337402,0.893970,-0.202763,-0.198260,0.887744,-0.205001
54,0.225000,0.076194,1.748664,-0.112898,0.337386,0.894173,-0.202407,-0.198281,0.887696,-0.204979
55,0.229167,0.076138,1.748675,-0.112882,0.337600,0.894112,-0.202371,-0.198299,0.887660,-0.204947
56,0.233333,0.076083,1.748910,-0.112761,0.337700,0.894158,-0.202174,-0.198311,0.887624,-0.204913
57,0.237500,0.076007,1.748686,-0.112854,0.338301,0.894532,-0.201098,-0.199041,0.888741,-0.205102
58,0.241667,0.075950,1.748683,-0.112827,0.338386,0.894572,-0.200901,-0.199037,0.888686,-0.205071
59,0.245833,0.075651,1.748946,-0.112698,0.338451,0.894639,-0.200675,-0.198344,0.887224,-0.204791
60,0.250000,0.075589,1.748956,-0.112663,0.338545,0.894694,-0.200440,-0.199086,0.888386,-0.204979
61,0.254167,0.075522,1.748954,-0.112655,0.338609,0.894753,-0.200204,-0.199127,0.888379,-0.204973
62,0.258333,0.075452,1.748953,-0.112641,0.338670,0.894800,-0.199944,-0.199120,0.888327,-0.204922
63,0.262500,0.075401,1.748963,-0.112623,0.338621,0.894938,-0.199804,-0.199095,0.888260,-0.204868
64,0.266667,0.075337,1.748955,-0.112598,0.338684,0.894978,-0.199554,-0.199067,0.888192,-0.204814
65,0.270833,0.075266,1.748964,-0.112580,0.338740,0.895027,-0.199297,-0.199045,0.888123,-0.204766
66,0.275000,0.075189,1.748972,-0.112554,0.337429,0.896894,-0.198646,-0.199017,0.888063,-0.204703
67,0.279167,0.075137,1.748962,-0.112547,0.337489,0.896918,-0.198388,-0.199055,0.888047,-0.204593
68,0.283333,0.075060,1.748970,-0.112526,0.337538,0.896937,-0.198127,-0.198996,0.888033,-0.204596
69,0.287500,0.075011,1.748973,-0.112490,0.337819,0.896976,-0.196062,-0.198977,0.887929,-0.204460
70,0.291667,0.074914,1.748745,-0.112587,0.337848,0.897011,-0.195800,-0.198902,0.887899,-0.204451
71,0.295833,0.074846,1.748742,-0.112550,0.337879,0.897021,-0.195568,-0.198873,0.887783,-0.204152
72,0.300000,0.074783,1.748748,-0.112535,0.337796,0.897143,-0.196612,-0.198820,0.887710,-0.204087
73,0.304167,0.074704,1.748746,-0.112501,0.337807,0.897189,-0.196361,-0.198772,0.887639,-0.204021
74,0.308333,0.074641,1.748735,-0.112478,0.337838,0.897015,-0.195965,-0.198718,0.887569,-0.203952
75,0.312500,0.074731,1.748857,-0.112497,0.339239,0.895525,-0.195361,-0.198673,0.887507,-0.203891
76,0.316667,0.073968,1.749008,-0.112083,0.339221,0.895575,-0.195102,-0.198613,0.887444,-0.203808
77,0.320833,0.074120,1.748776,-0.112166,0.339188,0.895629,-0.194856,-0.198561,0.887378,-0.203744
78,0.325000,0.073821,1.749021,-0.112031,0.339164,0.895685,-0.194613,-0.198497,0.887327,-0.203664
79,0.329167,0.073764,1.749030,-0.112006,0.338343,0.896317,-0.195130,-0.198359,0.887114,-0.203507
80,0.333333,0.073707,1.749043,-0.111979,0.338304,0.896357,-0.194896,-0.198294,0.887069,-0.203425
81,0.337500,0.073622,1.749061,-0.111941,0.338239,0.896413,-0.194653,-0.197006,0.885451,-0.202906
82,0.341667,0.073570,1.749075,-0.111902,0.338178,0.896457,-0.194429,-0.196927,0.885400,-0.202842
83,0.345833,0.073529,1.749085,-0.111890,0.337701,0.897750,-0.193267,-0.196844,0.885343,-0.202776
