Format Version,1.23,Take Name,Werikson_IC_Gesto_J,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 03.00.05.262 ,Total Frames in Take,1396,Total Exported Frames,1396,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"C26B63F4959411EC6E30FC7E4D48E999","C26B63F4959411EC6E30FC7E4D48E999","C26B63F4959411EC6E30FC7E4D48E999","C26B63F5959411EC6E30FC7E4D48E999","C26B63F5959411EC6E30FC7E4D48E999","C26B63F5959411EC6E30FC7E4D48E999","C26B63F6959411EC6E30FC7E4D48E999","C26B63F6959411EC6E30FC7E4D48E999","C26B63F6959411EC6E30FC7E4D48E999"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.092304,1.754413,-0.412078,0.378315,0.926752,-0.501981,-0.171064,0.905325,-0.508760
1,0.004167,0.092828,1.754447,-0.411727,0.378357,0.926736,-0.502049,-0.171014,0.905298,-0.508801
2,0.008333,0.092792,1.754440,-0.411649,0.378387,0.926700,-0.502120,-0.170984,0.905264,-0.508834
3,0.012500,0.092793,1.754412,-0.411601,0.378413,0.926668,-0.502189,-0.170952,0.905254,-0.508882
4,0.016667,0.092784,1.754396,-0.411535,0.378445,0.926644,-0.502257,-0.170927,0.905223,-0.508911
5,0.020833,0.092768,1.754377,-0.411464,0.378530,0.926802,-0.502087,-0.170896,0.905207,-0.508951
6,0.025000,0.092742,1.754369,-0.411386,0.378639,0.926674,-0.502164,-0.170867,0.905181,-0.508995
7,0.029167,0.092750,1.754352,-0.411345,0.378586,0.926735,-0.502210,-0.170844,0.905174,-0.509038
8,0.033333,0.092318,1.754483,-0.409860,0.378693,0.926610,-0.502298,-0.170828,0.905164,-0.509088
9,0.037500,0.092302,1.754473,-0.409813,0.378730,0.926574,-0.502348,-0.170779,0.905146,-0.509135
10,0.041667,0.091661,1.754518,-0.409333,0.378698,0.926585,-0.502315,-0.170777,0.905144,-0.509174
11,0.045833,0.091620,1.754511,-0.409275,0.378719,0.926552,-0.502365,-0.170753,0.905132,-0.509241
12,0.050000,0.091640,1.754479,-0.409204,0.378736,0.926509,-0.502419,-0.170719,0.905120,-0.509275
13,0.054167,0.091640,1.754448,-0.409152,0.378763,0.926481,-0.502463,-0.170708,0.905131,-0.509326
14,0.058333,0.091616,1.754442,-0.409073,0.378786,0.926443,-0.502522,-0.170695,0.905122,-0.509371
15,0.062500,0.091592,1.754442,-0.409006,0.378732,0.926458,-0.502608,-0.170653,0.905113,-0.509423
16,0.066667,0.091604,1.754415,-0.408940,0.378825,0.926380,-0.502612,-0.170646,0.905119,-0.509474
17,0.070833,0.091833,1.754099,-0.408810,0.378775,0.926407,-0.502706,-0.170622,0.905272,-0.509851
18,0.075000,0.091824,1.754087,-0.408745,0.378854,0.926324,-0.502711,-0.170613,0.905280,-0.509908
19,0.079167,0.092244,1.753781,-0.409736,0.378805,0.926355,-0.502789,-0.170608,0.905275,-0.509958
20,0.083333,0.092257,1.753754,-0.409676,0.378880,0.926284,-0.502780,-0.170550,0.905255,-0.510026
21,0.087500,0.092253,1.753751,-0.409606,0.378827,0.926313,-0.502876,-0.170534,0.905254,-0.510075
22,0.091667,0.092258,1.753741,-0.409548,0.378899,0.926233,-0.502859,-0.170511,0.905252,-0.510128
23,0.095833,0.092267,1.753719,-0.409480,0.378835,0.926274,-0.502940,-0.170489,0.905245,-0.510181
24,0.100000,0.092266,1.753710,-0.409421,0.378842,0.926257,-0.502963,-0.170479,0.905227,-0.510252
25,0.104167,0.092244,1.753694,-0.409351,0.378843,0.926239,-0.502999,-0.170447,0.905215,-0.510313
26,0.108333,0.092318,1.753786,-0.409370,0.378913,0.926170,-0.502980,-0.170423,0.905185,-0.510377
27,0.112500,0.092312,1.753777,-0.409307,0.378851,0.926214,-0.503054,-0.170428,0.905198,-0.510455
28,0.116667,0.092314,1.753770,-0.409242,0.378848,0.926207,-0.503069,-0.170396,0.905180,-0.510518
29,0.120833,0.092318,1.753771,-0.409180,0.378838,0.926197,-0.503102,-0.170371,0.905153,-0.510588
30,0.125000,0.092326,1.753749,-0.409112,0.378654,0.926143,-0.503399,-0.170352,0.905133,-0.510670
31,0.129167,0.092272,1.753741,-0.408874,0.378644,0.926131,-0.503415,-0.170338,0.905116,-0.510732
32,0.133333,0.092280,1.753732,-0.408808,0.378629,0.926132,-0.503438,-0.170317,0.905105,-0.510809
33,0.137500,0.092286,1.753721,-0.408754,0.378713,0.926055,-0.503764,-0.170306,0.905082,-0.510876
34,0.141667,0.092300,1.753570,-0.408378,0.378708,0.926053,-0.503782,-0.170289,0.905063,-0.510961
35,0.145833,0.092291,1.753543,-0.408316,0.378657,0.926084,-0.503451,-0.170273,0.905036,-0.511022
36,0.150000,0.092413,1.753649,-0.408297,0.378634,0.926081,-0.503474,-0.170279,0.905032,-0.511093
37,0.154167,0.092431,1.753624,-0.408236,0.378554,0.926129,-0.503525,-0.170253,0.904998,-0.511185
38,0.158333,0.092441,1.753615,-0.408187,0.378691,0.925995,-0.503820,-0.170179,0.904811,-0.511336
39,0.162500,0.092431,1.753607,-0.408117,0.378576,0.926077,-0.503521,-0.170334,0.904935,-0.511275
40,0.166667,0.092467,1.753603,-0.408055,0.378641,0.925987,-0.503846,-0.170247,0.904728,-0.511450
41,0.170833,0.092460,1.753588,-0.407994,0.378614,0.925990,-0.503866,-0.170236,0.904706,-0.511532
42,0.175000,0.092475,1.753586,-0.407931,0.378489,0.926066,-0.503580,-0.170254,0.904712,-0.511601
43,0.179167,0.092486,1.753580,-0.407883,0.378546,0.925985,-0.503895,-0.170262,0.904689,-0.511688
44,0.183333,0.092509,1.753571,-0.407815,0.378374,0.925885,-0.504104,-0.170282,0.904691,-0.511753
45,0.187500,0.092493,1.753548,-0.407746,0.378340,0.925879,-0.504129,-0.170414,0.904851,-0.512232
46,0.191667,0.092497,1.753547,-0.407682,0.378312,0.925876,-0.504142,-0.170417,0.904812,-0.512304
47,0.195833,0.092986,1.753452,-0.407280,0.378267,0.925863,-0.504161,-0.170451,0.904821,-0.512390
48,0.200000,0.093016,1.753444,-0.407229,0.378066,0.925809,-0.504190,-0.170511,0.904854,-0.512672
49,0.204167,0.093009,1.753428,-0.407172,0.378034,0.925801,-0.504200,-0.170522,0.904850,-0.512745
50,0.208333,0.093020,1.753420,-0.407101,0.377987,0.925793,-0.504223,-0.170562,0.904838,-0.512827
51,0.212500,0.092202,1.753606,-0.405611,0.377948,0.925772,-0.504247,-0.170581,0.904827,-0.512892
52,0.216667,0.092221,1.753594,-0.405561,0.377895,0.925736,-0.504269,-0.170614,0.904809,-0.512980
53,0.220833,0.092228,1.753582,-0.405494,0.377875,0.925743,-0.504293,-0.170661,0.904801,-0.513054
54,0.225000,0.092271,1.753716,-0.405530,0.377817,0.925711,-0.504323,-0.170689,0.904782,-0.513127
55,0.229167,0.092290,1.753697,-0.405457,0.377772,0.925673,-0.504340,-0.170754,0.904789,-0.513195
56,0.233333,0.092287,1.753703,-0.405394,0.377737,0.925661,-0.504374,-0.170781,0.904776,-0.513273
57,0.237500,0.092731,1.753377,-0.406279,0.377692,0.925633,-0.504394,-0.170817,0.904762,-0.513346
58,0.241667,0.092829,1.753263,-0.406219,0.377647,0.925592,-0.504427,-0.170984,0.904646,-0.513405
59,0.245833,0.092843,1.753246,-0.406159,0.377596,0.925566,-0.504459,-0.171037,0.904631,-0.513471
60,0.250000,0.092865,1.753241,-0.406102,0.377557,0.925526,-0.504485,-0.171090,0.904625,-0.513548
61,0.254167,0.092335,1.753477,-0.404638,0.377447,0.925548,-0.504555,-0.171146,0.904632,-0.513622
