Format Version,1.23,Take Name,Werikson_IC_Gesto_K_003,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 03.05.57.969 ,Total Frames in Take,1517,Total Exported Frames,1517,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"7D78D1898F6211EC6E30FC7E4D48E399","7D78D1898F6211EC6E30FC7E4D48E399","7D78D1898F6211EC6E30FC7E4D48E399","7D78D18B8F6211EC6E30FC7E4D48E399","7D78D18B8F6211EC6E30FC7E4D48E399","7D78D18B8F6211EC6E30FC7E4D48E399","7D78D18D8F6211EC6E30FC7E4D48E399","7D78D18D8F6211EC6E30FC7E4D48E399","7D78D18D8F6211EC6E30FC7E4D48E399"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.170942,1.756853,-0.290283,0.436148,0.922172,-0.353031,-0.102266,0.890907,-0.397943
1,0.004167,0.170937,1.756835,-0.290272,0.436143,0.922160,-0.353042,-0.102246,0.890898,-0.397982
2,0.008333,0.170960,1.756840,-0.290264,0.436136,0.922157,-0.353065,-0.102236,0.890898,-0.398021
3,0.012500,0.170973,1.756826,-0.290252,0.436128,0.922145,-0.353080,-0.102140,0.890887,-0.398146
4,0.016667,0.170960,1.756816,-0.290238,0.436130,0.922144,-0.353101,-0.102132,0.890888,-0.398179
5,0.020833,0.170975,1.756816,-0.290243,0.436124,0.922130,-0.353126,-0.102193,0.890890,-0.398119
6,0.025000,0.170980,1.756806,-0.290221,0.436119,0.922131,-0.353137,-0.102109,0.890884,-0.398244
7,0.029167,0.171453,1.757402,-0.290465,0.436120,0.922128,-0.353155,-0.102083,0.890889,-0.398271
8,0.033333,0.170996,1.756779,-0.290208,0.436115,0.922118,-0.353180,-0.102072,0.890890,-0.398304
9,0.037500,0.170996,1.756768,-0.290204,0.435986,0.922092,-0.353436,-0.102066,0.890880,-0.398333
10,0.041667,0.170999,1.756773,-0.290183,0.436136,0.922120,-0.353198,-0.102053,0.890886,-0.398371
11,0.045833,0.170999,1.756763,-0.290180,0.435993,0.922086,-0.353470,-0.102039,0.890884,-0.398394
12,0.050000,0.171455,1.757379,-0.290424,0.435999,0.922076,-0.353493,-0.102034,0.890886,-0.398427
13,0.054167,0.171458,1.757355,-0.290413,0.435987,0.922072,-0.353501,-0.102022,0.890897,-0.398461
14,0.058333,0.171003,1.756746,-0.290150,0.435993,0.922068,-0.353527,-0.102007,0.890896,-0.398487
15,0.062500,0.170998,1.756729,-0.290144,0.435993,0.922060,-0.353535,-0.101987,0.890877,-0.398512
16,0.066667,0.170960,1.756767,-0.289961,0.435987,0.922055,-0.353548,-0.101983,0.890888,-0.398528
17,0.070833,0.171009,1.756717,-0.290138,0.435987,0.922055,-0.353565,-0.101973,0.890890,-0.398575
18,0.075000,0.171001,1.756717,-0.290127,0.435976,0.922048,-0.353591,-0.101967,0.890901,-0.398596
19,0.079167,0.171459,1.757319,-0.290364,0.435958,0.922031,-0.353612,-0.101899,0.890842,-0.398606
20,0.083333,0.170999,1.756706,-0.290121,0.435960,0.922034,-0.353630,-0.101949,0.890904,-0.398655
21,0.087500,0.170946,1.756739,-0.289925,0.435950,0.922007,-0.353648,-0.101936,0.890896,-0.398682
22,0.091667,0.170939,1.756723,-0.289924,0.435954,0.921996,-0.353658,-0.101879,0.890849,-0.398693
23,0.095833,0.170926,1.756716,-0.289903,0.435947,0.921982,-0.353672,-0.101869,0.890857,-0.398720
24,0.100000,0.170934,1.756720,-0.289906,0.435948,0.921970,-0.353692,-0.101864,0.890855,-0.398743
25,0.104167,0.170946,1.756717,-0.289902,0.435913,0.921512,-0.354167,-0.101884,0.890790,-0.398704
26,0.108333,0.171676,1.757428,-0.290243,0.435923,0.921502,-0.354188,-0.101869,0.890780,-0.398746
27,0.112500,0.171667,1.757436,-0.290243,0.435934,0.921484,-0.354199,-0.101866,0.890787,-0.398768
28,0.116667,0.171669,1.757431,-0.290234,0.435948,0.921483,-0.354199,-0.101939,0.890909,-0.398860
29,0.120833,0.171682,1.757412,-0.290227,0.436004,0.921914,-0.353744,-0.101847,0.890773,-0.398819
30,0.125000,0.170484,1.756303,-0.289609,0.435968,0.921447,-0.354217,-0.101919,0.890957,-0.399145
31,0.129167,0.170630,1.756677,-0.289635,0.435998,0.921434,-0.354216,-0.101841,0.890823,-0.399090
32,0.133333,0.170604,1.756666,-0.289627,0.436003,0.921397,-0.354232,-0.101908,0.890952,-0.399197
33,0.137500,0.170613,1.756674,-0.289628,0.436038,0.921398,-0.354241,-0.101908,0.890957,-0.399208
34,0.141667,0.170457,1.756280,-0.289599,0.436050,0.921365,-0.354260,-0.101897,0.890948,-0.399236
35,0.145833,0.170461,1.756274,-0.289593,0.436083,0.921343,-0.354260,-0.101887,0.890937,-0.399258
36,0.150000,0.170465,1.756265,-0.289593,0.436128,0.921306,-0.354188,-0.101881,0.890947,-0.399267
37,0.154167,0.170469,1.756262,-0.289575,0.436158,0.921298,-0.354193,-0.101867,0.890947,-0.399300
38,0.158333,0.170477,1.756255,-0.289564,0.436175,0.921287,-0.354201,-0.101855,0.890952,-0.399301
39,0.162500,0.170480,1.756256,-0.289569,0.436209,0.921279,-0.354205,-0.101839,0.890945,-0.399339
40,0.166667,0.170461,1.756248,-0.289555,0.436176,0.921292,-0.354181,-0.101752,0.890827,-0.399252
41,0.170833,0.170465,1.756245,-0.289549,0.436226,0.921254,-0.354230,-0.101808,0.890931,-0.399381
42,0.175000,0.170469,1.756236,-0.289549,0.436399,0.921293,-0.353972,-0.101738,0.890834,-0.399272
43,0.179167,0.170470,1.756242,-0.289537,0.436262,0.921271,-0.354232,-0.101723,0.890836,-0.399293
44,0.183333,0.170471,1.756238,-0.289524,0.436267,0.921268,-0.354232,-0.101781,0.890945,-0.399431
45,0.187500,0.170472,1.756229,-0.289523,0.436276,0.921256,-0.354239,-0.101775,0.890949,-0.399443
46,0.191667,0.170489,1.756230,-0.289518,0.436430,0.921293,-0.353986,-0.101750,0.890950,-0.399473
47,0.195833,0.170465,1.756400,-0.289517,0.436425,0.921284,-0.353991,-0.101742,0.890951,-0.399481
48,0.200000,0.170517,1.756212,-0.289255,0.436291,0.921265,-0.354251,-0.101661,0.890844,-0.399383
49,0.204167,0.170541,1.756330,-0.289589,0.436299,0.921274,-0.354242,-0.101636,0.890852,-0.399396
