Format Version,1.23,Take Name,Werikson_IC_Gesto_L_002,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 03.09.32.725 ,Total Frames in Take,1838,Total Exported Frames,1838,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"3081ED788F6111EC6E30FC7E4D48E399","3081ED788F6111EC6E30FC7E4D48E399","3081ED788F6111EC6E30FC7E4D48E399","3081ED7A8F6111EC6E30FC7E4D48E399","3081ED7A8F6111EC6E30FC7E4D48E399","3081ED7A8F6111EC6E30FC7E4D48E399","3081ED7C8F6111EC6E30FC7E4D48E399","3081ED7C8F6111EC6E30FC7E4D48E399","3081ED7C8F6111EC6E30FC7E4D48E399"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.198183,1.741946,-0.192625,0.440351,0.928644,-0.279582,-0.076964,0.892405,-0.273905
1,0.004167,0.197916,1.741916,-0.192533,0.439313,0.928318,-0.279697,-0.084528,0.896085,-0.292078
2,0.008333,0.197635,1.741926,-0.192457,0.438574,0.928189,-0.279579,-0.085509,0.896024,-0.292027
3,0.012500,0.197209,1.741954,-0.191762,0.437423,0.928845,-0.278792,-0.083415,0.896526,-0.289634
4,0.016667,0.196454,1.742051,-0.191589,0.436026,0.928202,-0.279600,-0.084309,0.897730,-0.292962
5,0.020833,0.196036,1.742211,-0.191466,0.434985,0.928048,-0.279401,-0.084716,0.896602,-0.289924
6,0.025000,0.195750,1.742212,-0.191381,0.434301,0.927885,-0.278000,-0.081650,0.892442,-0.274797
7,0.029167,0.195437,1.742200,-0.191286,0.433509,0.927743,-0.277861,-0.089013,0.895872,-0.292887
8,0.033333,0.194694,1.742261,-0.191564,0.432820,0.927560,-0.277860,-0.089718,0.895900,-0.293065
9,0.037500,0.194416,1.742264,-0.191472,0.431478,0.927174,-0.277953,-0.084929,0.893683,-0.275526
10,0.041667,0.194153,1.742267,-0.191410,0.430445,0.927268,-0.277615,-0.091666,0.896324,-0.293516
11,0.045833,0.193500,1.742291,-0.191237,0.429339,0.926720,-0.277820,-0.092323,0.896392,-0.293612
12,0.050000,0.192980,1.741841,-0.191140,0.428639,0.927251,-0.277235,-0.090486,0.897085,-0.291250
13,0.054167,0.192685,1.741845,-0.191049,0.426663,0.927064,-0.277730,-0.090744,0.899198,-0.293636
14,0.058333,0.192375,1.741845,-0.190951,0.425662,0.926934,-0.277539,-0.091021,0.898540,-0.290286
15,0.062500,0.192085,1.741841,-0.190877,0.425416,0.926803,-0.276666,-0.089225,0.893692,-0.276452
16,0.066667,0.191640,1.741549,-0.190828,0.424372,0.926913,-0.276324,-0.096105,0.896321,-0.294246
17,0.070833,0.190811,1.741721,-0.190624,0.422907,0.926631,-0.276452,-0.096795,0.896380,-0.294348
18,0.075000,0.190524,1.741731,-0.190533,0.422101,0.926515,-0.276287,-0.090593,0.893123,-0.277655
19,0.079167,0.190115,1.741770,-0.190190,0.420709,0.925942,-0.277397,-0.092235,0.896667,-0.283751
20,0.083333,0.189802,1.741768,-0.190100,0.419926,0.926726,-0.275376,-0.095863,0.899050,-0.291435
21,0.087500,0.189494,1.741773,-0.190020,0.417503,0.926736,-0.276231,-0.093635,0.893472,-0.277919
22,0.091667,0.189176,1.741769,-0.189927,0.417391,0.926351,-0.276355,-0.100864,0.896943,-0.295112
23,0.095833,0.188482,1.741791,-0.189763,0.416754,0.926282,-0.275018,-0.101567,0.896926,-0.295016
24,0.100000,0.188155,1.741793,-0.189688,0.415841,0.925750,-0.274538,-0.097628,0.894844,-0.277951
25,0.104167,0.187345,1.741856,-0.189950,0.414640,0.925556,-0.274032,-0.097611,0.895943,-0.279459
26,0.108333,0.187114,1.741987,-0.190068,0.413564,0.925329,-0.274097,-0.100658,0.899117,-0.292014
27,0.112500,0.186685,1.741866,-0.189787,0.412922,0.924914,-0.277333,-0.102849,0.901184,-0.297039
28,0.116667,0.185848,1.742062,-0.189606,0.411023,0.925149,-0.274955,-0.102572,0.899402,-0.292284
29,0.120833,0.185624,1.742189,-0.189736,0.410534,0.925642,-0.273229,-0.099149,0.893838,-0.279752
30,0.125000,0.185206,1.742105,-0.189446,0.409732,0.925589,-0.273040,-0.107196,0.897628,-0.295688
31,0.129167,0.184960,1.742218,-0.189574,0.408281,0.925243,-0.272752,-0.107678,0.897825,-0.295601
32,0.133333,0.184508,1.742112,-0.189306,0.407484,0.925205,-0.272555,-0.102586,0.893960,-0.279700
33,0.137500,0.183953,1.742073,-0.189224,0.405325,0.925544,-0.276885,-0.104822,0.897728,-0.283429
34,0.141667,0.183284,1.741894,-0.189128,0.404239,0.925440,-0.275648,-0.107276,0.899527,-0.293002
35,0.145833,0.182606,1.741505,-0.188827,0.404025,0.925008,-0.273333,-0.102620,0.891727,-0.288789
36,0.150000,0.182231,1.741516,-0.188758,0.403612,0.924691,-0.275506,-0.106385,0.895160,-0.292282
37,0.154167,0.181689,1.741540,-0.188688,0.401224,0.925403,-0.275161,-0.109848,0.899795,-0.293307
38,0.158333,0.180956,1.741595,-0.188640,0.401527,0.925282,-0.271014,-0.104590,0.894399,-0.284158
39,0.162500,0.180250,1.741682,-0.188644,0.398773,0.926332,-0.271760,-0.105117,0.894273,-0.284260
40,0.166667,0.179788,1.741805,-0.188733,0.396910,0.926731,-0.272133,-0.112871,0.898591,-0.294628
41,0.170833,0.179520,1.741947,-0.188875,0.396330,0.926231,-0.271964,-0.113453,0.898555,-0.294661
42,0.175000,0.179161,1.741975,-0.188814,0.396291,0.925429,-0.271555,-0.110504,0.895190,-0.281179
43,0.179167,0.178807,1.741990,-0.188767,0.396046,0.924925,-0.271210,-0.113174,0.898415,-0.285031
44,0.183333,0.178052,1.742032,-0.188627,0.395451,0.924769,-0.270997,-0.115052,0.899730,-0.293692
45,0.187500,0.177826,1.741970,-0.188755,0.394655,0.924958,-0.270786,-0.110521,0.892548,-0.289829
46,0.191667,0.177157,1.742245,-0.188489,0.393573,0.925296,-0.270654,-0.117144,0.898976,-0.294931
47,0.195833,0.176777,1.742271,-0.188433,0.392594,0.925411,-0.270163,-0.117998,0.899022,-0.295055
48,0.200000,0.176114,1.741901,-0.188238,0.392106,0.924984,-0.269233,-0.118671,0.899009,-0.294943
49,0.204167,0.174872,1.742015,-0.188497,0.391666,0.924415,-0.268373,-0.119298,0.899012,-0.294991
50,0.208333,0.174490,1.742044,-0.188438,0.390733,0.924359,-0.268203,-0.119823,0.899158,-0.294582
51,0.212500,0.174089,1.742084,-0.188419,0.389848,0.924581,-0.267669,-0.114682,0.892973,-0.289907
52,0.216667,0.173718,1.742113,-0.188361,0.389479,0.924640,-0.266044,-0.114256,0.892708,-0.288025
53,0.220833,0.173116,1.742063,-0.188474,0.388576,0.925029,-0.266981,-0.119416,0.898364,-0.291786
54,0.225000,0.172535,1.742196,-0.188353,0.386598,0.925771,-0.271752,-0.122014,0.900315,-0.293850
55,0.229167,0.172054,1.742370,-0.188160,0.386038,0.925532,-0.270190,-0.116463,0.892639,-0.288571
56,0.233333,0.171652,1.742402,-0.188127,0.386117,0.924913,-0.266304,-0.119798,0.896109,-0.292418
57,0.237500,0.171255,1.742442,-0.188112,0.385417,0.924894,-0.266429,-0.123901,0.900575,-0.293918
58,0.241667,0.170509,1.742508,-0.188033,0.384552,0.925224,-0.267391,-0.119887,0.894889,-0.283943
59,0.245833,0.169444,1.742160,-0.188366,0.383982,0.925491,-0.266342,-0.120443,0.894946,-0.283961
60,0.250000,0.169049,1.742203,-0.188350,0.383602,0.925699,-0.264684,-0.120978,0.895011,-0.283971
61,0.254167,0.168807,1.742127,-0.188551,0.383201,0.925737,-0.264010,-0.120501,0.892927,-0.289218
62,0.258333,0.168142,1.742428,-0.188283,0.382829,0.925379,-0.264111,-0.122499,0.895312,-0.284126
63,0.262500,0.167264,1.742202,-0.188232,0.382305,0.924631,-0.264108,-0.122997,0.895362,-0.284146
64,0.266667,0.167059,1.742170,-0.188239,0.381450,0.923500,-0.263124,-0.128648,0.899401,-0.295241
65,0.270833,0.166646,1.742219,-0.188235,0.380370,0.922179,-0.261356,-0.129119,0.899438,-0.295271
66,0.275000,0.166261,1.742246,-0.188243,0.379211,0.923093,-0.262516,-0.129848,0.899418,-0.295271
67,0.279167,0.165101,1.742377,-0.188536,0.378518,0.927011,-0.267983,-0.130300,0.899441,-0.295293
68,0.283333,0.164899,1.742319,-0.188784,0.378110,0.927100,-0.267760,-0.130740,0.899461,-0.295292
69,0.287500,0.164225,1.742623,-0.188528,0.377108,0.927530,-0.266991,-0.131444,0.899705,-0.295661
70,0.291667,0.163846,1.742675,-0.188545,0.376865,0.927012,-0.268232,-0.131862,0.899740,-0.295685
71,0.295833,0.163478,1.742714,-0.188562,0.377239,0.926545,-0.266113,-0.128720,0.894895,-0.290311
72,0.300000,0.162893,1.742772,-0.188843,0.377862,0.926245,-0.261856,-0.126282,0.893632,-0.288993
73,0.304167,0.162553,1.742804,-0.188873,0.377256,0.926208,-0.262336,-0.128852,0.897172,-0.291387
74,0.308333,0.162348,1.742922,-0.188850,0.375544,0.926336,-0.267476,-0.133112,0.900863,-0.294852
75,0.312500,0.161967,1.743021,-0.189120,0.374760,0.926380,-0.269679,-0.134053,0.899901,-0.295679
76,0.316667,0.161273,1.743016,-0.189736,0.375196,0.926148,-0.267620,-0.130711,0.895054,-0.290435
77,0.320833,0.160515,1.743209,-0.189332,0.375894,0.925472,-0.263720,-0.129941,0.895929,-0.284792
78,0.325000,0.159867,1.743261,-0.189296,0.375898,0.924185,-0.260396,-0.135315,0.899927,-0.295694
79,0.329167,0.159567,1.743308,-0.189345,0.375235,0.922535,-0.258166,-0.135620,0.899949,-0.295695
80,0.333333,0.159231,1.743363,-0.189393,0.374073,0.923113,-0.259746,-0.135839,0.899912,-0.295672
81,0.337500,0.158918,1.743407,-0.189427,0.373160,0.927029,-0.265593,-0.136128,0.899944,-0.295695
82,0.341667,0.158439,1.743675,-0.189507,0.372962,0.927078,-0.265387,-0.136400,0.899969,-0.295711
83,0.345833,0.157995,1.743461,-0.189611,0.373170,0.924506,-0.260893,-0.136636,0.899987,-0.295710
84,0.350000,0.157318,1.743524,-0.189600,0.373134,0.923678,-0.259273,-0.137180,0.900029,-0.295675
85,0.354167,0.156402,1.743817,-0.189951,0.372450,0.927214,-0.264815,-0.137608,0.900314,-0.295901
86,0.358333,0.156094,1.743854,-0.190017,0.371723,0.927605,-0.264057,-0.137825,0.900346,-0.295928
