Format Version,1.23,Take Name,Werikson_IC_Gesto_A_1,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.16.26.467 ,Total Frames in Take,1697,Total Exported Frames,1282,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gestos:Head,Gestos:Head,Gestos:Head,Gestos:Left,Gestos:Left,Gestos:Left,Gestos:Right,Gestos:Right,Gestos:Right
,ID,"7E392F0D89DF11EC7399F96A6AD6E099","7E392F0D89DF11EC7399F96A6AD6E099","7E392F0D89DF11EC7399F96A6AD6E099","7E392F0E89DF11EC7399F96A6AD6E099","7E392F0E89DF11EC7399F96A6AD6E099","7E392F0E89DF11EC7399F96A6AD6E099","7E392F0F89DF11EC7399F96A6AD6E099","7E392F0F89DF11EC7399F96A6AD6E099","7E392F0F89DF11EC7399F96A6AD6E099"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
319,1.329167,-0.182222,1.707742,0.067905,0.184280,0.917353,0.033583,-0.301679,0.880481,-0.071053
320,1.333333,-0.182148,1.707655,0.067546,0.184674,0.917293,0.033267,-0.301966,0.880447,-0.071349
321,1.337500,-0.182154,1.707690,0.067955,0.184894,0.917321,0.033152,-0.302097,0.880644,-0.071914
322,1.341667,-0.182110,1.707685,0.067986,0.185118,0.917330,0.033028,-0.302015,0.880809,-0.072371
323,1.345833,-0.182072,1.707664,0.068014,0.185348,0.917356,0.032929,-0.302019,0.880938,-0.072695
324,1.350000,-0.181857,1.707703,0.068216,0.185511,0.917423,0.032857,-0.302399,0.880950,-0.072860
325,1.354167,-0.181699,1.707533,0.068083,0.185731,0.917431,0.032733,-0.302964,0.880818,-0.072869
326,1.358333,-0.181315,1.707448,0.068421,0.186115,0.917469,0.032595,-0.303293,0.880678,-0.072948
327,1.362500,-0.181377,1.707583,0.068591,0.186372,0.917480,0.032462,-0.303415,0.880435,-0.073015
328,1.366667,-0.181219,1.707421,0.068701,0.186625,0.917502,0.032318,-0.303451,0.880172,-0.073078
329,1.370833,-0.181173,1.707417,0.068730,0.186940,0.917417,0.032191,-0.303519,0.879973,-0.073145
330,1.375000,-0.181178,1.707349,0.068799,0.187565,0.917803,0.031645,-0.303642,0.879833,-0.073217
331,1.379167,-0.181115,1.707384,0.068812,0.187900,0.918044,0.031796,-0.303774,0.879806,-0.073328
332,1.383333,-0.181120,1.707322,0.068874,0.188185,0.918069,0.031672,-0.303967,0.879846,-0.073528
333,1.387500,-0.181077,1.707304,0.068920,0.188550,0.918166,0.031935,-0.304210,0.879905,-0.073790
334,1.391667,-0.181048,1.707288,0.068953,0.188971,0.918188,0.031771,-0.304563,0.880081,-0.074228
335,1.395833,-0.181004,1.707275,0.069000,0.189281,0.918200,0.031617,-0.304912,0.880247,-0.074703
336,1.400000,-0.180899,1.707248,0.069573,0.189597,0.918214,0.031461,-0.305143,0.880275,-0.075076
337,1.404167,-0.180925,1.707256,0.069081,0.189912,0.918102,0.031483,-0.305276,0.880191,-0.075352
338,1.408333,-0.180819,1.707214,0.069656,0.190238,0.918112,0.031334,-0.305526,0.880178,-0.075328
339,1.412500,-0.180979,1.707382,0.069320,0.190734,0.918053,0.030958,-0.306053,0.880428,-0.075117
340,1.416667,-0.180729,1.707177,0.069749,0.191019,0.918129,0.030842,-0.305899,0.880047,-0.075595
341,1.420833,-0.180571,1.707098,0.069499,0.191739,0.917669,0.030282,-0.304729,0.878736,-0.077098
342,1.425000,-0.180535,1.707074,0.069557,0.192098,0.917680,0.030099,-0.306424,0.879514,-0.075371
343,1.429167,-0.180487,1.707069,0.069585,0.192463,0.917696,0.029922,-0.312339,0.883624,-0.069042
344,1.433333,-0.180469,1.707047,0.069629,0.192767,0.917855,0.029600,-0.319565,0.889089,-0.061373
