Format Version,1.23,Take Name,Werikson_IC_Gesto_A_1_002,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.17.16.842 ,Total Frames in Take,1282,Total Exported Frames,1282,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"A051FB248B6511EC6E30FC7E4D48E199","A051FB248B6511EC6E30FC7E4D48E199","A051FB248B6511EC6E30FC7E4D48E199","A051FB268B6511EC6E30FC7E4D48E199","A051FB268B6511EC6E30FC7E4D48E199","A051FB268B6511EC6E30FC7E4D48E199","A051FB288B6511EC6E30FC7E4D48E199","A051FB288B6511EC6E30FC7E4D48E199","A051FB288B6511EC6E30FC7E4D48E199"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
119,0.495833,-0.035843,1.702150,-0.000700,0.334037,0.917421,-0.114159,-0.213678,0.905270,-0.166743
120,0.500000,-0.035854,1.702110,-0.000615,0.334060,0.917404,-0.114284,-0.213762,0.905271,-0.166747
121,0.504167,-0.035943,1.702091,-0.000450,0.333942,0.917338,-0.114815,-0.213697,0.905232,-0.166937
122,0.508333,-0.035950,1.702056,-0.000352,0.333957,0.917325,-0.114934,-0.213737,0.905166,-0.166969
123,0.512500,-0.035927,1.702031,-0.000268,0.333977,0.917308,-0.115061,-0.213745,0.905148,-0.167069
124,0.516667,-0.035930,1.702013,-0.000177,0.334010,0.917298,-0.115168,-0.213747,0.905131,-0.167164
125,0.520833,-0.035933,1.701981,-0.000086,0.334028,0.917269,-0.115275,-0.213750,0.905102,-0.167283
126,0.525000,-0.035919,1.701951,0.000011,0.334050,0.917251,-0.115405,-0.213760,0.905131,-0.167622
127,0.529167,-0.035920,1.701914,0.000106,0.334089,0.917226,-0.115514,-0.213772,0.905110,-0.167730
128,0.533333,-0.035917,1.701875,0.000212,0.334115,0.917207,-0.115641,-0.213782,0.905088,-0.167830
129,0.537500,-0.035910,1.701849,0.000310,0.334143,0.917188,-0.115757,-0.213792,0.905052,-0.167948
130,0.541667,-0.035924,1.701832,0.000643,0.334158,0.917159,-0.115880,-0.213801,0.905029,-0.168065
131,0.545833,-0.035922,1.701785,0.000767,0.334275,0.917093,-0.115949,-0.213816,0.904999,-0.168173
