Format Version,1.23,Take Name,Werikson_IC_Gesto_B_004,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.22.55.104 ,Total Frames in Take,1708,Total Exported Frames,1557,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"7582D875958B11EC6E30FC7E4D48E999","7582D875958B11EC6E30FC7E4D48E999","7582D875958B11EC6E30FC7E4D48E999","7582D877958B11EC6E30FC7E4D48E999","7582D877958B11EC6E30FC7E4D48E999","7582D877958B11EC6E30FC7E4D48E999","7582D879958B11EC6E30FC7E4D48E999","7582D879958B11EC6E30FC7E4D48E999","7582D879958B11EC6E30FC7E4D48E999"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
44,0.183333,0.044589,1.710105,-0.149941,0.415469,0.904748,-0.200999,-0.173828,0.897680,-0.257704
45,0.187500,0.044599,1.710105,-0.149929,0.415467,0.904739,-0.201020,-0.173827,0.897671,-0.257735
46,0.191667,0.044612,1.710101,-0.149928,0.415301,0.904623,-0.201231,-0.173818,0.897671,-0.257751
47,0.195833,0.044621,1.710083,-0.149917,0.415479,0.904740,-0.201047,-0.173804,0.897666,-0.257768
48,0.200000,0.044645,1.710084,-0.149907,0.415309,0.904607,-0.201282,-0.173796,0.897667,-0.257798
49,0.204167,0.044632,1.710086,-0.149907,0.415310,0.904612,-0.201285,-0.173794,0.897666,-0.257810
50,0.208333,0.044639,1.710079,-0.149910,0.415316,0.904599,-0.201304,-0.173781,0.897658,-0.257832
51,0.212500,0.044664,1.710074,-0.149896,0.415366,0.904745,-0.201151,-0.173771,0.897656,-0.257857
52,0.216667,0.044665,1.710066,-0.149881,0.415389,0.904502,-0.201359,-0.173759,0.897651,-0.257873
53,0.220833,0.044668,1.710068,-0.149873,0.415447,0.904658,-0.201200,-0.173753,0.897651,-0.257898
54,0.225000,0.044688,1.710056,-0.149857,0.415445,0.904653,-0.201222,-0.173746,0.897647,-0.257916
55,0.229167,0.044692,1.710039,-0.149849,0.415403,0.904494,-0.201402,-0.173738,0.897649,-0.257940
56,0.233333,0.044690,1.710046,-0.149851,0.415457,0.904647,-0.201255,-0.173729,0.897645,-0.257953
57,0.237500,0.044706,1.710034,-0.149839,0.415460,0.904646,-0.201274,-0.173722,0.897649,-0.257978
58,0.241667,0.044700,1.710037,-0.149812,0.415410,0.904486,-0.201456,-0.173712,0.897645,-0.257992
59,0.245833,0.044714,1.710028,-0.149819,0.415463,0.904635,-0.201302,-0.173715,0.897646,-0.258021
60,0.250000,0.044712,1.710017,-0.149801,0.415468,0.904626,-0.201316,-0.173702,0.897636,-0.258049
61,0.254167,0.044714,1.710005,-0.149805,0.415471,0.904627,-0.201335,-0.173683,0.897636,-0.258050
62,0.258333,0.044758,1.709870,-0.149739,0.415393,0.904279,-0.201729,-0.173682,0.897631,-0.258078
63,0.262500,0.044768,1.709857,-0.149724,0.415482,0.904603,-0.201367,-0.173674,0.897628,-0.258085
