Format Version,1.23,Take Name,Werikson_IC_Gesto_C_003,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.25.07.692 ,Total Frames in Take,1424,Total Exported Frames,1246,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"9116C91D958C11EC6E30FC7E4D48E999","9116C91D958C11EC6E30FC7E4D48E999","9116C91D958C11EC6E30FC7E4D48E999","9894F928958C11EC6E30FC7E4D48E999","9894F928958C11EC6E30FC7E4D48E999","9894F928958C11EC6E30FC7E4D48E999","9894F92A958C11EC6E30FC7E4D48E999","9894F92A958C11EC6E30FC7E4D48E999","9894F92A958C11EC6E30FC7E4D48E999"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
178,0.741667,0.016749,1.719432,-0.085110,0.323113,0.898791,-0.205592,-0.239178,0.874122,-0.226624
179,0.745833,0.016608,1.719538,-0.085197,0.323838,0.899071,-0.204231,-0.238940,0.874159,-0.225993
180,0.750000,0.016626,1.719475,-0.085132,0.324211,0.898885,-0.203507,-0.238986,0.874210,-0.225381
181,0.754167,0.016637,1.719410,-0.085043,0.324627,0.899306,-0.202577,-0.239027,0.874308,-0.224857
182,0.758333,0.016702,1.719251,-0.084796,0.325100,0.899497,-0.201518,-0.239011,0.874403,-0.223927
183,0.762500,0.016687,1.719195,-0.084494,0.325762,0.899415,-0.200707,-0.238983,0.874503,-0.223364
184,0.766667,0.016705,1.719132,-0.084418,0.326199,0.899600,-0.199718,-0.238994,0.874551,-0.222725
185,0.770833,0.016701,1.719059,-0.084338,0.326707,0.899780,-0.198805,-0.239090,0.874676,-0.221977
186,0.775000,0.016723,1.718988,-0.084259,0.327325,0.900548,-0.198775,-0.238797,0.874691,-0.220802
187,0.779167,0.016770,1.719023,-0.084241,0.327866,0.900231,-0.196858,-0.238911,0.874808,-0.219984
188,0.783333,0.016774,1.718962,-0.084160,0.328480,0.900446,-0.196059,-0.238962,0.874915,-0.219220
189,0.787500,0.016957,1.719008,-0.084116,0.329148,0.900602,-0.194617,-0.239053,0.875095,-0.218287
190,0.791667,0.016909,1.718831,-0.083736,0.329597,0.900470,-0.194135,-0.239226,0.875388,-0.217269
191,0.795833,0.016928,1.718758,-0.083674,0.330251,0.901123,-0.192367,-0.239348,0.875483,-0.216149
192,0.800000,0.017486,1.718447,-0.083098,0.330958,0.901259,-0.191325,-0.239361,0.875667,-0.215036
193,0.804167,0.017389,1.718443,-0.083028,0.331639,0.901558,-0.189756,-0.239514,0.875867,-0.214099
194,0.808333,0.017397,1.718388,-0.082954,0.332218,0.901499,-0.188800,-0.239837,0.875636,-0.212593
195,0.812500,0.017424,1.718312,-0.082874,0.333046,0.901918,-0.187147,-0.240032,0.876089,-0.211574
196,0.816667,0.017309,1.718414,-0.082973,0.333650,0.902080,-0.186268,-0.240237,0.876291,-0.210270
197,0.820833,0.017572,1.718107,-0.083022,0.334439,0.902764,-0.184734,-0.240336,0.876576,-0.208957
198,0.825000,0.017606,1.718045,-0.082955,0.335349,0.903465,-0.183560,-0.240669,0.876860,-0.207476
199,0.829167,0.017841,1.717901,-0.082862,0.336078,0.903876,-0.182150,-0.240918,0.877216,-0.206352
200,0.833333,0.017881,1.717841,-0.082814,0.336732,0.904858,-0.181188,-0.241219,0.877647,-0.204728
201,0.837500,0.017812,1.717877,-0.082634,0.337811,0.904294,-0.179047,-0.241474,0.878060,-0.203244
202,0.841667,0.017848,1.717829,-0.082573,0.338455,0.905805,-0.178131,-0.241788,0.878444,-0.201593
203,0.845833,0.017867,1.717775,-0.082311,0.339341,0.906368,-0.176727,-0.242225,0.878940,-0.200170
