Format Version,1.23,Take Name,Werikson_IC_Gesto_F,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.38.46.104 ,Total Frames in Take,1776,Total Exported Frames,1580,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"EF041FF3902E11EC6E30FC7E4D48E499","EF041FF3902E11EC6E30FC7E4D48E499","EF041FF3902E11EC6E30FC7E4D48E499","EF041FF5902E11EC6E30FC7E4D48E499","EF041FF5902E11EC6E30FC7E4D48E499","EF041FF5902E11EC6E30FC7E4D48E499","F5BF8372902E11EC6E30FC7E4D48E499","F5BF8372902E11EC6E30FC7E4D48E499","F5BF8372902E11EC6E30FC7E4D48E499"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
196,0.816667,0.060669,1.735362,-0.309339,0.370573,0.904195,-0.399521,-0.214226,0.874711,-0.403748
197,0.820833,0.060591,1.735368,-0.309376,0.370672,0.907783,-0.403715,-0.213479,0.875015,-0.404249
198,0.825000,0.060482,1.735365,-0.309395,0.370824,0.907807,-0.403829,-0.213620,0.874794,-0.404495
199,0.829167,0.060414,1.735349,-0.309432,0.370999,0.907851,-0.403963,-0.213742,0.874731,-0.404637
200,0.833333,0.060339,1.735362,-0.309459,0.371142,0.907884,-0.404065,-0.213851,0.874685,-0.404802
201,0.837500,0.061005,1.736085,-0.309822,0.371297,0.907920,-0.404181,-0.214106,0.874671,-0.404905
202,0.841667,0.060841,1.736139,-0.310125,0.371509,0.907756,-0.404254,-0.214245,0.874542,-0.404968
203,0.845833,0.059978,1.735287,-0.309918,0.371637,0.907795,-0.404349,-0.214378,0.874500,-0.405110
204,0.850000,0.059888,1.735271,-0.309949,0.371765,0.907825,-0.404439,-0.214535,0.873872,-0.405150
205,0.854167,0.059814,1.735270,-0.309977,0.371875,0.907858,-0.404540,-0.214661,0.873817,-0.405293
206,0.858333,0.060326,1.735877,-0.310283,0.371973,0.907878,-0.404623,-0.214768,0.873756,-0.405438
207,0.862500,0.060251,1.735878,-0.310322,0.372263,0.908034,-0.404790,-0.214849,0.873772,-0.405850
208,0.866667,0.060160,1.735879,-0.310350,0.372053,0.907389,-0.405291,-0.214972,0.873717,-0.405978
209,0.870833,0.060105,1.735877,-0.310391,0.372124,0.907416,-0.405367,-0.215080,0.873663,-0.406120
210,0.875000,0.060035,1.735869,-0.310422,0.372185,0.907424,-0.405447,-0.215200,0.873620,-0.406261
211,0.879167,0.059938,1.735860,-0.310449,0.372257,0.907464,-0.405520,-0.215313,0.873571,-0.406381
212,0.883333,0.059860,1.735862,-0.310492,0.372609,0.907755,-0.405741,-0.215419,0.873519,-0.406506
213,0.887500,0.059782,1.735844,-0.310513,0.372571,0.907816,-0.405715,-0.216619,0.873127,-0.406534
214,0.891667,0.058748,1.735149,-0.310197,0.372609,0.907853,-0.405780,-0.216716,0.873082,-0.406647
215,0.895833,0.058256,1.735238,-0.310577,0.372902,0.904208,-0.401796,-0.216824,0.873056,-0.406756
216,0.900000,0.058156,1.735231,-0.310610,0.372893,0.904222,-0.401873,-0.216915,0.873001,-0.406862
