Format Version,1.23,Take Name,Werikson_IC_Gesto_G_002,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.41.47.555 ,Total Frames in Take,1606,Total Exported Frames,1374,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"64DF799D902D11EC6E30FC7E4D48E499","64DF799D902D11EC6E30FC7E4D48E499","64DF799D902D11EC6E30FC7E4D48E499","64DF799F902D11EC6E30FC7E4D48E499","64DF799F902D11EC6E30FC7E4D48E499","64DF799F902D11EC6E30FC7E4D48E499","64DF79A1902D11EC6E30FC7E4D48E499","64DF79A1902D11EC6E30FC7E4D48E499","64DF79A1902D11EC6E30FC7E4D48E499"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
232,0.966667,0.041344,1.736685,-0.227536,0.318806,0.894217,-0.280881,-0.228072,0.882037,-0.286097
233,0.970833,0.041296,1.736547,-0.227254,0.318803,0.894203,-0.280895,-0.228077,0.882043,-0.286108
234,0.975000,0.041541,1.736533,-0.227269,0.318803,0.894202,-0.280915,-0.228098,0.882070,-0.286117
235,0.979167,0.041344,1.736542,-0.227234,0.318787,0.894187,-0.280918,-0.228117,0.882085,-0.286112
236,0.983333,0.041550,1.736346,-0.227323,0.318787,0.894192,-0.280917,-0.228132,0.882103,-0.286117
237,0.987500,0.041783,1.736332,-0.227361,0.318785,0.894181,-0.280928,-0.228154,0.882119,-0.286113
238,0.991667,0.041614,1.736323,-0.227336,0.318776,0.894174,-0.280936,-0.228152,0.882127,-0.286123
239,0.995833,0.041832,1.736323,-0.227371,0.318856,0.894065,-0.280935,-0.228176,0.882146,-0.286130
240,1.000000,0.041868,1.736171,-0.227469,0.318591,0.893604,-0.281441,-0.228202,0.882172,-0.286139
241,1.004167,0.041870,1.736295,-0.227362,0.318593,0.893613,-0.281442,-0.228219,0.882192,-0.286148
242,1.008333,0.041926,1.736165,-0.227468,0.318663,0.893507,-0.281432,-0.228245,0.882207,-0.286155
243,1.012500,0.041951,1.736154,-0.227469,0.318572,0.893597,-0.281449,-0.228260,0.882233,-0.286149
244,1.016667,0.041974,1.736166,-0.227467,0.318573,0.893589,-0.281439,-0.228274,0.882233,-0.286164
245,1.020833,0.042001,1.736153,-0.227466,0.318638,0.893492,-0.281429,-0.228291,0.882255,-0.286174
246,1.025000,0.041947,1.736202,-0.227376,0.318728,0.894140,-0.280941,-0.228310,0.882273,-0.286187
247,1.029167,0.042032,1.736138,-0.227470,0.318719,0.894136,-0.280927,-0.228336,0.882289,-0.286196
248,1.033333,0.042067,1.736132,-0.227479,0.318711,0.894132,-0.280928,-0.228350,0.882309,-0.286198
249,1.037500,0.042023,1.736199,-0.227377,0.318699,0.894122,-0.280920,-0.228382,0.882326,-0.286213
250,1.041667,0.042021,1.736191,-0.227392,0.318691,0.894123,-0.280910,-0.228390,0.882343,-0.286219
251,1.045833,0.042053,1.736188,-0.227394,0.318681,0.894124,-0.280908,-0.228410,0.882363,-0.286230
252,1.050000,0.042069,1.736190,-0.227395,0.318492,0.893557,-0.281391,-0.228426,0.882384,-0.286241
253,1.054167,0.042115,1.736169,-0.227387,0.318661,0.894111,-0.280877,-0.228522,0.882526,-0.286312
254,1.058333,0.042132,1.736166,-0.227399,0.318462,0.893542,-0.281361,-0.228538,0.882544,-0.286328
255,1.062500,0.042152,1.736160,-0.227400,0.318634,0.894099,-0.280863,-0.228482,0.882440,-0.286276
256,1.066667,0.042179,1.736148,-0.227404,0.318612,0.894082,-0.280850,-0.228578,0.882586,-0.286350
257,1.070833,0.042209,1.736147,-0.227402,0.318609,0.894084,-0.280841,-0.228584,0.882603,-0.286360
258,1.075000,0.042216,1.736141,-0.227400,0.318585,0.894073,-0.280820,-0.228596,0.882624,-0.286364
259,1.079167,0.042248,1.736128,-0.227401,0.318576,0.894068,-0.280803,-0.228611,0.882633,-0.286378
260,1.083333,0.042267,1.736116,-0.227409,0.318379,0.893502,-0.281294,-0.228635,0.882650,-0.286399
261,1.087500,0.042293,1.736109,-0.227408,0.318547,0.894057,-0.280776,-0.228638,0.882673,-0.286401
262,1.091667,0.042334,1.736104,-0.227406,0.318606,0.893940,-0.280760,-0.228649,0.882695,-0.286411
263,1.095833,0.042348,1.736094,-0.227419,0.318595,0.893937,-0.280746,-0.228664,0.882713,-0.286416
264,1.100000,0.042364,1.736081,-0.227427,0.318502,0.894026,-0.280730,-0.228676,0.882726,-0.286428
265,1.104167,0.042387,1.736074,-0.227426,0.318480,0.894015,-0.280718,-0.228685,0.882741,-0.286436
266,1.108333,0.042417,1.736070,-0.227433,0.318461,0.894000,-0.280706,-0.228704,0.882755,-0.286444
267,1.112500,0.042441,1.736053,-0.227432,0.318452,0.893999,-0.280680,-0.228713,0.882766,-0.286458
268,1.116667,0.042457,1.736053,-0.227428,0.318442,0.893993,-0.280670,-0.228721,0.882784,-0.286458
269,1.120833,0.042484,1.736053,-0.227437,0.318423,0.893973,-0.280647,-0.228724,0.882789,-0.286476
270,1.125000,0.042516,1.736043,-0.227439,0.318404,0.893963,-0.280632,-0.228730,0.882806,-0.286483
271,1.129167,0.042538,1.736038,-0.227450,0.318390,0.893955,-0.280607,-0.228740,0.882814,-0.286498
272,1.133333,0.042547,1.736029,-0.227446,0.318374,0.893945,-0.280584,-0.228735,0.882825,-0.286509
273,1.137500,0.042891,1.735956,-0.227188,0.318363,0.893933,-0.280573,-0.228744,0.882834,-0.286510
274,1.141667,0.042886,1.735949,-0.227186,0.318342,0.893922,-0.280551,-0.228733,0.882841,-0.286525
275,1.145833,0.042923,1.735938,-0.227198,0.318331,0.893925,-0.280538,-0.228741,0.882855,-0.286535
276,1.150000,0.042950,1.735934,-0.227205,0.318316,0.893923,-0.280514,-0.228738,0.882859,-0.286544
277,1.154167,0.042962,1.735927,-0.227219,0.318301,0.893905,-0.280499,-0.228729,0.882867,-0.286556
278,1.158333,0.042987,1.735921,-0.227221,0.318285,0.893907,-0.280475,-0.228731,0.882884,-0.286575
279,1.162500,0.043230,1.736072,-0.226975,0.318216,0.893973,-0.280538,-0.228726,0.882885,-0.286600
280,1.166667,0.043035,1.735909,-0.227237,0.318193,0.893966,-0.280518,-0.228722,0.882889,-0.286614
281,1.170833,0.043093,1.735913,-0.227445,0.318181,0.893972,-0.280497,-0.228711,0.882914,-0.286619
282,1.175000,0.043303,1.736053,-0.226992,0.318226,0.893885,-0.280413,-0.228702,0.882917,-0.286639
283,1.179167,0.043320,1.736048,-0.226995,0.318150,0.893955,-0.280473,-0.228694,0.882932,-0.286659
284,1.183333,0.043346,1.736047,-0.227016,0.318138,0.893953,-0.280454,-0.228674,0.882929,-0.286679
285,1.187500,0.043417,1.736037,-0.227226,0.318120,0.893951,-0.280436,-0.228667,0.882942,-0.286692
286,1.191667,0.043441,1.736031,-0.227225,0.318102,0.893936,-0.280426,-0.228658,0.882960,-0.286715
287,1.195833,0.043466,1.736026,-0.227235,0.318089,0.893934,-0.280400,-0.228651,0.882966,-0.286731
288,1.200000,0.043471,1.736012,-0.227245,0.318079,0.893937,-0.280388,-0.228577,0.882909,-0.286730
289,1.204167,0.043505,1.736017,-0.227254,0.318061,0.893924,-0.280380,-0.228558,0.882922,-0.286792
290,1.208333,0.043519,1.736018,-0.227253,0.318037,0.893926,-0.280369,-0.228494,0.882877,-0.286806
291,1.212500,0.043908,1.736103,-0.227532,0.318029,0.893921,-0.280346,-0.228536,0.882935,-0.286840
292,1.216667,0.043932,1.736097,-0.227550,0.318015,0.893925,-0.280336,-0.228450,0.882885,-0.286858
293,1.220833,0.043937,1.736106,-0.227551,0.318003,0.893921,-0.280327,-0.228441,0.882894,-0.286875
