Format Version,1.23,Take Name,Werikson_IC_Gesto_H_003,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.44.35.392 ,Total Frames in Take,1407,Total Exported Frames,1305,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"94B0B5C902A11EC6E30FC7E4D48E499","94B0B5C902A11EC6E30FC7E4D48E499","94B0B5C902A11EC6E30FC7E4D48E499","94B0B5E902A11EC6E30FC7E4D48E499","94B0B5E902A11EC6E30FC7E4D48E499","94B0B5E902A11EC6E30FC7E4D48E499","94B0B60902A11EC6E30FC7E4D48E499","94B0B60902A11EC6E30FC7E4D48E499","94B0B60902A11EC6E30FC7E4D48E499"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
102,0.425000,0.107873,1.740620,-0.226758,0.383237,0.899458,-0.295637,-0.164847,0.893726,-0.335268
103,0.429167,0.107884,1.740618,-0.226752,0.383234,0.899469,-0.295704,-0.164863,0.893718,-0.335298
104,0.433333,0.107882,1.740609,-0.226766,0.383235,0.899452,-0.295765,-0.164812,0.893750,-0.335222
105,0.437500,0.107880,1.740595,-0.226766,0.383223,0.899439,-0.295835,-0.164884,0.893719,-0.335366
106,0.441667,0.107758,1.740657,-0.226777,0.383233,0.899451,-0.295892,-0.164848,0.893660,-0.335353
107,0.445833,0.107898,1.740570,-0.226788,0.383153,0.899559,-0.295792,-0.164913,0.893808,-0.335461
108,0.450000,0.107892,1.740555,-0.226770,0.383159,0.899550,-0.295843,-0.164925,0.893810,-0.335497
109,0.454167,0.107795,1.740616,-0.226797,0.383227,0.899431,-0.296065,-0.164739,0.894252,-0.336227
110,0.458333,0.107795,1.740621,-0.226817,0.383172,0.899550,-0.295952,-0.164946,0.893821,-0.335541
111,0.462500,0.107791,1.740599,-0.226821,0.383171,0.899554,-0.296000,-0.164748,0.894259,-0.336267
112,0.466667,0.107795,1.740591,-0.226826,0.383181,0.899545,-0.296052,-0.164761,0.894259,-0.336305
113,0.470833,0.107803,1.740574,-0.226837,0.383189,0.899554,-0.296104,-0.164766,0.894268,-0.336324
