Format Version,1.23,Take Name,Werikson_IC_Gesto_I_004,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.49.24.303 ,Total Frames in Take,1768,Total Exported Frames,1543,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"B29275018F6311EC6E30FC7E4D48E399","B29275018F6311EC6E30FC7E4D48E399","B29275018F6311EC6E30FC7E4D48E399","BD100DF28F6311EC6E30FC7E4D48E399","BD100DF28F6311EC6E30FC7E4D48E399","BD100DF28F6311EC6E30FC7E4D48E399","C3EDCDC98F6311EC6E30FC7E4D48E399","C3EDCDC98F6311EC6E30FC7E4D48E399","C3EDCDC98F6311EC6E30FC7E4D48E399"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
225,0.937500,0.033384,1.754768,-0.107992,0.325192,0.914613,-0.214139,-0.227300,0.901996,-0.228292
226,0.941667,0.033403,1.754755,-0.108012,0.328430,0.921326,-0.205553,-0.227285,0.901982,-0.228351
227,0.945833,0.033415,1.754734,-0.108038,0.324940,0.922013,-0.225851,-0.227255,0.901976,-0.228544
228,0.950000,0.033413,1.754735,-0.108050,0.324969,0.921984,-0.225852,-0.227198,0.902120,-0.228487
229,0.954167,0.033418,1.754716,-0.108061,0.325263,0.914593,-0.214235,-0.227178,0.902104,-0.228540
230,0.958333,0.033426,1.754705,-0.108071,0.328535,0.921322,-0.205643,-0.227222,0.901933,-0.228553
231,0.962500,0.033427,1.754701,-0.108061,0.331003,0.923900,-0.202530,-0.227154,0.902094,-0.228630
232,0.966667,0.033423,1.754693,-0.108094,0.331024,0.923895,-0.202561,-0.227131,0.902074,-0.228678
233,0.970833,0.033416,1.754679,-0.108103,0.325329,0.914567,-0.214348,-0.227114,0.902067,-0.228726
234,0.975000,0.033433,1.754664,-0.108120,0.328601,0.921330,-0.205735,-0.227106,0.901865,-0.228824
235,0.979167,0.033447,1.754656,-0.108140,0.330978,0.923986,-0.202487,-0.227049,0.901996,-0.228764
236,0.983333,0.033442,1.754641,-0.108146,0.330997,0.923980,-0.202517,-0.227017,0.901853,-0.228995
