Format Version,1.23,Take Name,Werikson_IC_Gesto_J_003,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 03.01.11.071 ,Total Frames in Take,1689,Total Exported Frames,1396,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"4DE0139D959611EC6E30FC7E4D48E999","4DE0139D959611EC6E30FC7E4D48E999","4DE0139D959611EC6E30FC7E4D48E999","4DE0139F959611EC6E30FC7E4D48E999","4DE0139F959611EC6E30FC7E4D48E999","4DE0139F959611EC6E30FC7E4D48E999","4DE013A1959611EC6E30FC7E4D48E999","4DE013A1959611EC6E30FC7E4D48E999","4DE013A1959611EC6E30FC7E4D48E999"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
293,1.220833,0.105501,1.761442,-0.220791,0.362433,0.922483,-0.325337,-0.197078,0.919368,-0.301311
294,1.225000,0.105508,1.761441,-0.220794,0.362458,0.922478,-0.325209,-0.197046,0.919348,-0.301397
295,1.229167,0.105510,1.761454,-0.220795,0.362491,0.922484,-0.325066,-0.196615,0.918248,-0.300813
296,1.233333,0.105514,1.761461,-0.220807,0.362517,0.922468,-0.324942,-0.196578,0.918234,-0.300894
297,1.237500,0.105519,1.761462,-0.220810,0.362550,0.922462,-0.324807,-0.196554,0.918202,-0.300976
298,1.241667,0.105506,1.761472,-0.220804,0.362576,0.922462,-0.324670,-0.196534,0.918192,-0.301063
299,1.245833,0.105502,1.761466,-0.220808,0.362598,0.922439,-0.324551,-0.196507,0.918169,-0.301143
300,1.250000,0.105512,1.761482,-0.220814,0.362627,0.922439,-0.324407,-0.196488,0.918152,-0.301236
301,1.254167,0.105508,1.761487,-0.220826,0.362483,0.922439,-0.324136,-0.196468,0.918128,-0.301327
302,1.258333,0.105498,1.761502,-0.220826,0.362564,0.922404,-0.324040,-0.196446,0.918117,-0.301423
303,1.262500,0.105484,1.761503,-0.220817,0.362650,0.922634,-0.323605,-0.196431,0.918111,-0.301512
304,1.266667,0.105487,1.761508,-0.220818,0.363029,0.922537,-0.322897,-0.196884,0.919178,-0.302420
305,1.270833,0.105249,1.761522,-0.220806,0.363039,0.922534,-0.322761,-0.196875,0.919162,-0.302514
306,1.275000,0.105222,1.761535,-0.220808,0.363063,0.922522,-0.322623,-0.196822,0.919197,-0.302600
307,1.279167,0.105231,1.761528,-0.220798,0.363075,0.922516,-0.322483,-0.196795,0.919175,-0.302704
308,1.283333,0.105470,1.761521,-0.220809,0.363092,0.922505,-0.322345,-0.196738,0.919174,-0.302773
309,1.287500,0.105208,1.761531,-0.220791,0.363093,0.922503,-0.322214,-0.196768,0.919203,-0.303119
310,1.291667,0.105426,1.761511,-0.220791,0.363119,0.922493,-0.322075,-0.196705,0.919197,-0.303196
311,1.295833,0.105181,1.761531,-0.220785,0.363125,0.922488,-0.321944,-0.196690,0.919189,-0.303316
312,1.300000,0.105165,1.761539,-0.220761,0.363140,0.922473,-0.321799,-0.196681,0.919169,-0.303423
313,1.304167,0.105151,1.761544,-0.220766,0.363146,0.922465,-0.321669,-0.196672,0.919134,-0.303542
314,1.308333,0.105150,1.761541,-0.220751,0.363160,0.922458,-0.321528,-0.196650,0.919120,-0.303651
315,1.312500,0.105139,1.761534,-0.220742,0.363137,0.922579,-0.321071,-0.196587,0.919102,-0.303852
316,1.316667,0.105128,1.761528,-0.220734,0.363138,0.922570,-0.320924,-0.196578,0.919080,-0.303974
317,1.320833,0.105101,1.761536,-0.220717,0.363150,0.922561,-0.320780,-0.196599,0.918895,-0.304143
318,1.325000,0.105077,1.761538,-0.220710,0.363162,0.922558,-0.320641,-0.196580,0.918875,-0.304257
319,1.329167,0.105073,1.761528,-0.220687,0.363166,0.922545,-0.320482,-0.196577,0.918855,-0.304374
320,1.333333,0.105044,1.761533,-0.220677,0.363173,0.922533,-0.320341,-0.196561,0.918828,-0.304497
321,1.337500,0.105030,1.761534,-0.220644,0.363179,0.922522,-0.320197,-0.196556,0.918805,-0.304609
322,1.341667,0.104994,1.761532,-0.220625,0.363188,0.922523,-0.320044,-0.196541,0.918780,-0.304722
323,1.345833,0.104985,1.761523,-0.220606,0.363194,0.922513,-0.319904,-0.196528,0.918752,-0.304852
324,1.350000,0.104976,1.761512,-0.220593,0.363213,0.922514,-0.319753,-0.196528,0.918724,-0.304962
325,1.354167,0.104947,1.761516,-0.220597,0.363218,0.922504,-0.319603,-0.196510,0.918699,-0.305085
326,1.358333,0.104911,1.761507,-0.220564,0.363193,0.922642,-0.319159,-0.196502,0.918683,-0.305200
327,1.362500,0.104892,1.761511,-0.220545,0.363197,0.922658,-0.319003,-0.196492,0.918647,-0.305326
328,1.366667,0.104881,1.761499,-0.220521,0.363199,0.922653,-0.318860,-0.196470,0.918686,-0.305649
