Format Version,1.23,Take Name,Werikson_IC_Gesto_K,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 03.05.28.262 ,Total Frames in Take,1601,Total Exported Frames,1493,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"4F7D93CC8F6311EC6E30FC7E4D48E399","4F7D93CC8F6311EC6E30FC7E4D48E399","4F7D93CC8F6311EC6E30FC7E4D48E399","5C5D514E8F6311EC6E30FC7E4D48E399","5C5D514E8F6311EC6E30FC7E4D48E399","5C5D514E8F6311EC6E30FC7E4D48E399","4F7D93CE8F6311EC6E30FC7E4D48E399","4F7D93CE8F6311EC6E30FC7E4D48E399","4F7D93CE8F6311EC6E30FC7E4D48E399"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
108,0.450000,0.190554,1.757581,-0.277022,0.449283,0.926247,-0.384652,-0.106213,0.905301,-0.405242
109,0.454167,0.190530,1.757575,-0.277011,0.449280,0.926248,-0.384612,-0.106239,0.905292,-0.405236
110,0.458333,0.190501,1.757581,-0.276996,0.449274,0.926249,-0.384574,-0.106260,0.905279,-0.405221
111,0.462500,0.190479,1.757578,-0.276976,0.449265,0.926255,-0.384518,-0.106281,0.905264,-0.405225
112,0.466667,0.190454,1.757584,-0.276967,0.449162,0.926325,-0.384177,-0.106298,0.905242,-0.405232
113,0.470833,0.190447,1.757584,-0.276948,0.449170,0.926328,-0.384133,-0.106320,0.905248,-0.405216
114,0.475000,0.190443,1.757581,-0.276930,0.449158,0.926325,-0.384082,-0.106347,0.905234,-0.405216
115,0.479167,0.190005,1.757232,-0.276876,0.449152,0.926333,-0.384039,-0.106369,0.905230,-0.405210
116,0.483333,0.190378,1.757585,-0.276891,0.449145,0.926337,-0.383993,-0.106393,0.905208,-0.405222
