Format Version,1.23,Take Name,Werikson_IC_Gesto_K_001,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 03.05.38.461 ,Total Frames in Take,1572,Total Exported Frames,1493,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"E843B518F6311EC6E30FC7E4D48E399","E843B518F6311EC6E30FC7E4D48E399","E843B518F6311EC6E30FC7E4D48E399","E843B538F6311EC6E30FC7E4D48E399","E843B538F6311EC6E30FC7E4D48E399","E843B538F6311EC6E30FC7E4D48E399","E843B558F6311EC6E30FC7E4D48E399","E843B558F6311EC6E30FC7E4D48E399","E843B558F6311EC6E30FC7E4D48E399"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
79,0.329167,0.178103,1.761853,-0.287295,0.443068,0.921503,-0.369199,-0.119585,0.904656,-0.394226
80,0.333333,0.177487,1.761258,-0.286600,0.443090,0.921507,-0.369207,-0.119579,0.904651,-0.394248
81,0.337500,0.177476,1.761250,-0.286562,0.443100,0.921512,-0.369204,-0.119562,0.904642,-0.394248
82,0.341667,0.178402,1.761923,-0.286866,0.443107,0.921519,-0.369200,-0.119549,0.904631,-0.394261
83,0.345833,0.177129,1.761242,-0.286252,0.443124,0.921518,-0.369213,-0.119556,0.904509,-0.394429
84,0.350000,0.177115,1.761245,-0.286226,0.443132,0.921525,-0.369209,-0.119526,0.904613,-0.394269
85,0.354167,0.177102,1.761232,-0.286182,0.443148,0.921530,-0.369217,-0.119566,0.904455,-0.394439
86,0.358333,0.177063,1.761222,-0.286136,0.443159,0.921527,-0.369210,-0.119536,0.904557,-0.394290
87,0.362500,0.177050,1.761218,-0.286087,0.443164,0.921535,-0.369210,-0.119497,0.904584,-0.394298
88,0.366667,0.177034,1.761217,-0.286046,0.443186,0.921539,-0.369202,-0.119473,0.904568,-0.394308
89,0.370833,0.177026,1.761221,-0.286012,0.443196,0.921534,-0.369204,-0.119505,0.904520,-0.394314
90,0.375000,0.176990,1.761204,-0.285970,0.443212,0.921549,-0.369203,-0.119464,0.904542,-0.394312
