Format Version,1.23,Take Name,Werikson_IC_Gesto_L,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 03.08.49.632 ,Total Frames in Take,1765,Total Exported Frames,1582,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"6AD637B88F5711EC6E30FC7E4D48E399","6AD637B88F5711EC6E30FC7E4D48E399","6AD637B88F5711EC6E30FC7E4D48E399","6AD637BA8F5711EC6E30FC7E4D48E399","6AD637BA8F5711EC6E30FC7E4D48E399","6AD637BA8F5711EC6E30FC7E4D48E399","71C0FE678F5711EC6E30FC7E4D48E399","71C0FE678F5711EC6E30FC7E4D48E399","71C0FE678F5711EC6E30FC7E4D48E399"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
183,0.762500,0.151601,1.751459,-0.200022,0.409470,0.909363,-0.239674,-0.100237,0.899351,-0.268878
184,0.766667,0.151400,1.751620,-0.199889,0.409483,0.909361,-0.239678,-0.100209,0.899344,-0.268850
185,0.770833,0.151367,1.751608,-0.199851,0.409431,0.909861,-0.239198,-0.100155,0.899336,-0.268828
186,0.775000,0.151346,1.751605,-0.199833,0.409512,0.909347,-0.239695,-0.100097,0.899326,-0.268790
187,0.779167,0.151300,1.751601,-0.199817,0.409506,0.909336,-0.239709,-0.100065,0.899314,-0.268785
188,0.783333,0.151267,1.751595,-0.199797,0.409525,0.909335,-0.239722,-0.100016,0.899296,-0.268748
189,0.787500,0.151241,1.751590,-0.199784,0.409536,0.909338,-0.239736,-0.099976,0.899268,-0.268710
190,0.791667,0.151211,1.751580,-0.199754,0.409500,0.909825,-0.239254,-0.099940,0.899266,-0.268697
191,0.795833,0.151171,1.751581,-0.199739,0.409550,0.909315,-0.239759,-0.099907,0.899245,-0.268649
192,0.800000,0.151208,1.751715,-0.199800,0.409520,0.909814,-0.239286,-0.099621,0.899161,-0.268541
193,0.804167,0.151151,1.751730,-0.199783,0.409578,0.909306,-0.239785,-0.099577,0.899143,-0.268497
194,0.808333,0.151118,1.751732,-0.199785,0.409539,0.909802,-0.239301,-0.099551,0.899114,-0.268470
195,0.812500,0.151088,1.751746,-0.199789,0.409600,0.909293,-0.239804,-0.099531,0.899106,-0.268447
196,0.816667,0.151037,1.751742,-0.199779,0.409608,0.909283,-0.239824,-0.099498,0.899083,-0.268410
197,0.820833,0.150999,1.751738,-0.199759,0.409623,0.909292,-0.239839,-0.099471,0.899049,-0.268360
198,0.825000,0.150953,1.751741,-0.199747,0.409635,0.909286,-0.239842,-0.099459,0.899027,-0.268335
199,0.829167,0.150818,1.751155,-0.199622,0.409644,0.909295,-0.239871,-0.099427,0.899009,-0.268288
200,0.833333,0.150858,1.751742,-0.199745,0.409653,0.909290,-0.239891,-0.099414,0.898993,-0.268252
201,0.837500,0.150720,1.751149,-0.199604,0.409660,0.909284,-0.239900,-0.099389,0.898984,-0.268214
202,0.841667,0.150499,1.750817,-0.199555,0.409680,0.909295,-0.239915,-0.099363,0.898956,-0.268174
203,0.845833,0.150451,1.750827,-0.199564,0.409683,0.909290,-0.239934,-0.099344,0.898946,-0.268154
204,0.850000,0.150401,1.750829,-0.199554,0.409702,0.909297,-0.239947,-0.099333,0.898931,-0.268109
205,0.854167,0.150118,1.750848,-0.199535,0.409706,0.909299,-0.239962,-0.099315,0.898915,-0.268087
206,0.858333,0.150056,1.750852,-0.199541,0.409709,0.909296,-0.239974,-0.099293,0.898889,-0.268035
207,0.862500,0.149947,1.751065,-0.199667,0.409722,0.909302,-0.240004,-0.099271,0.898889,-0.268022
208,0.866667,0.149433,1.751144,-0.200020,0.409723,0.909303,-0.240017,-0.099263,0.898873,-0.267989
209,0.870833,0.149392,1.751156,-0.200018,0.409731,0.909305,-0.240024,-0.099247,0.898871,-0.267945
210,0.875000,0.149506,1.751294,-0.200066,0.409752,0.909329,-0.240051,-0.099321,0.898979,-0.268075
211,0.879167,0.149526,1.751240,-0.200155,0.409750,0.909334,-0.240066,-0.099304,0.898974,-0.268032
212,0.883333,0.149488,1.751249,-0.200152,0.409753,0.909343,-0.240076,-0.099296,0.898951,-0.268005
213,0.887500,0.149431,1.751258,-0.200146,0.409756,0.909346,-0.240090,-0.099279,0.898947,-0.267970
214,0.891667,0.149383,1.751262,-0.200157,0.409778,0.909364,-0.240112,-0.099265,0.898948,-0.267963
215,0.895833,0.149328,1.751264,-0.200143,0.409782,0.909368,-0.240133,-0.099246,0.898933,-0.267915
216,0.900000,0.149271,1.751267,-0.200150,0.409787,0.909385,-0.240139,-0.099246,0.898944,-0.267914
217,0.904167,0.149227,1.751268,-0.200157,0.409797,0.909395,-0.240159,-0.099224,0.898935,-0.267888
218,0.908333,0.149186,1.751275,-0.200154,0.409808,0.909404,-0.240168,-0.099213,0.898933,-0.267857
219,0.912500,0.148649,1.751140,-0.199866,0.409815,0.909416,-0.240193,-0.099207,0.898919,-0.267842
220,0.916667,0.148600,1.751139,-0.199874,0.409828,0.909426,-0.240206,-0.099191,0.898912,-0.267829
221,0.920833,0.148551,1.751129,-0.199867,0.409831,0.909422,-0.240206,-0.099182,0.898930,-0.267801
222,0.925000,0.148494,1.751136,-0.199852,0.409850,0.909443,-0.240215,-0.099168,0.898918,-0.267774
223,0.929167,0.148443,1.751124,-0.199861,0.409858,0.909446,-0.240244,-0.099170,0.898902,-0.267770
224,0.933333,0.148376,1.751120,-0.199847,0.409869,0.909461,-0.240245,-0.099158,0.898910,-0.267754
225,0.937500,0.148326,1.751115,-0.199846,0.409880,0.909460,-0.240264,-0.099148,0.898905,-0.267740
226,0.941667,0.148295,1.751111,-0.199834,0.409871,0.909471,-0.240273,-0.099133,0.898905,-0.267725
227,0.945833,0.148254,1.751099,-0.199837,0.409885,0.909484,-0.240283,-0.099134,0.898898,-0.267714
228,0.950000,0.148200,1.751084,-0.199822,0.409894,0.909477,-0.240296,-0.099131,0.898905,-0.267677
229,0.954167,0.148160,1.751066,-0.199803,0.409906,0.909483,-0.240304,-0.099113,0.898883,-0.267693
