Format Version,1.23,Take Name,Werikson_IC_Gesto_L_001,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 03.09.23.517 ,Total Frames in Take,1582,Total Exported Frames,1582,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"EEFBC7DA8F6011EC6E30FC7E4D48E399","EEFBC7DA8F6011EC6E30FC7E4D48E399","EEFBC7DA8F6011EC6E30FC7E4D48E399","EEFBC7DC8F6011EC6E30FC7E4D48E399","EEFBC7DC8F6011EC6E30FC7E4D48E399","EEFBC7DC8F6011EC6E30FC7E4D48E399","F938A28A8F6011EC6E30FC7E4D48E399","F938A28A8F6011EC6E30FC7E4D48E399","F938A28A8F6011EC6E30FC7E4D48E399"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.133662,1.757548,-0.191355,0.406894,0.908227,-0.285351,-0.129496,0.899279,-0.302284
1,0.004167,0.133525,1.757180,-0.191310,0.406918,0.908236,-0.285375,-0.129427,0.899276,-0.302287
2,0.008333,0.133670,1.757531,-0.191094,0.406946,0.908512,-0.285575,-0.129349,0.899239,-0.302300
3,0.012500,0.133546,1.757155,-0.191055,0.406971,0.908235,-0.285400,-0.129254,0.899234,-0.302303
4,0.016667,0.133506,1.756993,-0.190703,0.406973,0.908520,-0.285582,-0.129176,0.899224,-0.302292
5,0.020833,0.133535,1.756968,-0.190682,0.406999,0.908245,-0.285396,-0.129088,0.899211,-0.302308
6,0.025000,0.133541,1.756967,-0.190643,0.407006,0.908528,-0.285578,-0.128998,0.899170,-0.302285
7,0.029167,0.133549,1.756943,-0.190628,0.407021,0.908251,-0.285365,-0.128919,0.899174,-0.302291
8,0.033333,0.133556,1.756934,-0.190613,0.407019,0.908544,-0.285537,-0.128816,0.899146,-0.302292
9,0.037500,0.133568,1.756921,-0.190577,0.407027,0.908267,-0.285326,-0.128562,0.899370,-0.302184
10,0.041667,0.133580,1.756906,-0.190561,0.407024,0.908270,-0.285286,-0.128468,0.899344,-0.302163
