Format Version,1.23,Take Name,Werikson_IC_Gesto_M_001,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 03.25.27.281 ,Total Frames in Take,1594,Total Exported Frames,1594,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right
,ID,"D20C09C68F4E11EC6E30FC7E4D48E399","D20C09C68F4E11EC6E30FC7E4D48E399","D20C09C68F4E11EC6E30FC7E4D48E399","D20C09C88F4E11EC6E30FC7E4D48E399","D20C09C88F4E11EC6E30FC7E4D48E399","D20C09C88F4E11EC6E30FC7E4D48E399","DAA3C00F8F4E11EC6E30FC7E4D48E399","DAA3C00F8F4E11EC6E30FC7E4D48E399","DAA3C00F8F4E11EC6E30FC7E4D48E399"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.128445,1.750592,-0.315146,0.374487,0.907497,-0.377814,-0.127839,0.888523,-0.414862
1,0.004167,0.128452,1.750609,-0.315123,0.374594,0.907473,-0.377912,-0.126782,0.887655,-0.415063
2,0.008333,0.128469,1.750610,-0.315092,0.374705,0.907447,-0.378005,-0.126080,0.887062,-0.415165
3,0.012500,0.128500,1.750619,-0.315076,0.374814,0.907423,-0.378103,-0.125912,0.886885,-0.415120
4,0.016667,0.128521,1.750617,-0.315033,0.375044,0.907461,-0.378199,-0.126165,0.887142,-0.414939
5,0.020833,0.128520,1.750623,-0.314989,0.375159,0.907423,-0.378300,-0.126129,0.887281,-0.414818
6,0.025000,0.128562,1.750618,-0.314964,0.375266,0.907409,-0.378384,-0.126098,0.887432,-0.414687
7,0.029167,0.128569,1.750620,-0.314929,0.375307,0.907410,-0.378418,-0.126148,0.887497,-0.414554
8,0.033333,0.128581,1.750632,-0.314897,0.375410,0.907383,-0.378504,-0.126164,0.887460,-0.414479
9,0.037500,0.128614,1.750632,-0.314873,0.375519,0.907353,-0.378583,-0.126061,0.887398,-0.414469
10,0.041667,0.128618,1.750636,-0.314824,0.375627,0.907324,-0.378663,-0.126238,0.887544,-0.414251
